score,level,totalLines
57600,19,20
130000,19,32
187600,19,51
748240,21,151
931340,29,231
959140,25,199
1059240,29,230
1062740,29,232
1072780,29,232
1079800,29,230
1086080,29,230
1097900,29,230
1106220,29,232
1109240,29,230
1113060,29,233
1114800,29,230
1116180,29,231
1124640,29,230
1125560,29,232
1128820,29,230
1129060,29,232
1130780,29,230
1132660,29,231
1138020,29,230
1147060,29,230
1148440,29,232
1150680,29,232
1154060,29,231
1154940,29,232
1156380,29,232
1158920,29,231
1163000,29,230
1167960,29,231
1168220,29,232
1172000,29,230
1172700,29,230
1172900,29,233
1174020,29,231
1177220,29,232
1178760,29,230
1182400,29,231
1183860,29,233
1184720,29,231
1187160,29,230
1188900,29,231
1189160,29,231
1191700,29,230
1192120,29,230
1192640,29,230
1194060,29,231
1194840,29,231
1195320,29,230
1195880,29,230
1197040,29,232
1199580,29,233
1200660,29,230
1200780,29,233
1201500,29,233
1202540,29,230
1205580,29,232
1206560,29,233
1206560,29,231
1208300,29,232
1208420,29,233
1208600,29,232
1208740,29,230
1209180,29,231
1209320,29,233
1209760,29,232
1210080,29,231
1211080,29,230
1212360,29,233
1212700,29,231
1215720,29,232
1221080,29,230
1222540,29,230
1227880,29,232
1227940,29,231
1229200,29,233
1230220,29,230
1230700,29,230
1230920,29,232
1232220,29,231
1233900,29,230
1235620,29,231
1237380,29,230
1237860,29,230
1238960,29,230
1243140,29,230
1245160,29,232
1247360,29,230
1247360,29,230
1250260,29,232
1252380,29,230
1253540,29,230
1254020,29,231
1256440,29,232
1260300,29,230
1261700,29,230
1261740,29,230
1263160,29,231
1263300,29,231
1266580,29,232
1267960,29,232
1268160,29,231
1272000,29,233
1274080,29,230
1274780,29,230
1275060,29,231
1275260,29,232
1277280,29,230
1280980,29,232
1282360,29,231
1282440,29,231
1282760,29,230
1286320,29,233
1293180,29,233
1298000,29,231
1298400,29,231
1298740,29,233
1301140,29,231
1301740,29,232
1303560,29,232
1303720,29,232
1305400,29,230
1305960,29,232
1309560,29,231
1309600,29,230
1309940,29,233
1310320,29,231
1313800,29,231
1313900,29,232
1313960,29,230
1314880,29,231
1314900,29,232
1315740,29,231
1317840,29,231
1318360,29,232
1324340,29,233
1324500,29,230
1328660,29,230
1328660,29,233
1331320,29,233
1336540,29,231
1338600,29,232
1341280,29,233
1347000,29,232
1354600,29,230
1358520,29,230
1377360,29,230
