score, level, totalLines
0, 19, 130
3600, 19, 134
3600, 19, 134
6000, 19, 137
13360, 20, 145
30480, 20, 142
32560, 20, 144
34620, 20, 146
46120, 21, 153
49600, 20, 140
50400, 20, 141
50440, 20, 141
50440, 20, 141
51240, 20, 142
51600, 20, 142
56220, 20, 147
58120, 20, 148
75600, 20, 145
78120, 20, 148
86600, 21, 153
94560, 22, 161
95540, 22, 162
103680, 21, 152
104020, 22, 165
109200, 21, 157
109700, 21, 157
116500, 22, 163
120240, 22, 165
129060, 21, 156
131660, 23, 176
147520, 23, 172
150820, 24, 182
155460, 22, 160
162800, 23, 176
163200, 22, 166
169780, 23, 170
176460, 23, 175
178180, 23, 178
192940, 23, 173
194160, 24, 183
200660, 23, 177
202040, 23, 176
206000, 25, 192
213040, 23, 171
218160, 23, 175
247520, 23, 179
248840, 25, 192
249900, 23, 179
256640, 25, 196
259160, 25, 199
267020, 24, 189
271660, 25, 190
276320, 26, 202
276420, 26, 204
290740, 25, 192
296540, 26, 206
297520, 25, 198
299560, 25, 199
307040, 26, 203
320660, 26, 207
326860, 27, 212
330240, 26, 202
334580, 26, 201
354380, 27, 213
357360, 27, 210
371020, 28, 220
374140, 27, 219
378700, 26, 204
380220, 26, 201
383100, 28, 223
389300, 29, 232
394000, 26, 209
402640, 29, 231
408800, 29, 233
410100, 29, 231
410760, 26, 207
413380, 29, 233
413760, 29, 230
414380, 29, 232
414740, 29, 231
420120, 29, 230
425120, 29, 230
430040, 29, 230
438700, 29, 230
439340, 29, 233
442380, 29, 230
443200, 29, 231
447120, 29, 233
447560, 29, 230
451320, 29, 231
454800, 29, 233
459620, 29, 231
465480, 29, 231
467400, 29, 230
471720, 29, 232
472040, 29, 231
476020, 29, 231
483980, 29, 230
484940, 29, 231
485300, 29, 230
486840, 29, 230
487820, 29, 230
490500, 29, 233
491280, 29, 230
492080, 29, 233
492320, 29, 232
492880, 29, 230
493320, 29, 231
494000, 29, 233
495300, 29, 231
497900, 29, 233
500020, 29, 230
508400, 29, 230
531800, 29, 233
532060, 29, 230
534580, 29, 230
540080, 29, 231
548920, 29, 230
561700, 29, 230
568460, 29, 231
