Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.33      0.11     0.11 37085438     0.00     0.00  BitBoard::vacant(Coord const&) const
  6.67      0.21     0.10 37310711     0.00     0.00  Coord::Coord(int, int)
  6.00      0.30     0.09    32590     0.00     0.03  MoveEvaluator::evaluate(BitBoard const&, BitPieceInfo const&, std::vector<double, std::allocator<double> > const&, ScoreManager const&)
  5.33      0.38     0.08 37097410     0.00     0.00  std::bitset<200ul>::_M_check(unsigned long, char const*) const
  5.33      0.46     0.08  3440429     0.00     0.00  std::_Base_bitset<4ul>::_M_do_and(std::_Base_bitset<4ul> const&)
  4.67      0.53     0.07 37097410     0.00     0.00  std::_Base_bitset<4ul>::_S_whichbit(unsigned long)
  4.67      0.60     0.07 37085438     0.00     0.00  std::_Base_bitset<4ul>::_M_getword(unsigned long) const
  4.33      0.67     0.07 37085438     0.00     0.00  std::bitset<200ul>::test(unsigned long) const
  4.00      0.72     0.06 37085438     0.00     0.00  std::bitset<200ul>::_Unchecked_test(unsigned long) const
  3.33      0.78     0.05 37097410     0.00     0.00  std::_Base_bitset<4ul>::_S_whichword(unsigned long)
  2.67      0.81     0.04  1350700     0.00     0.00  std::_Base_bitset<4ul>::_M_do_left_shift(unsigned long)
  2.67      0.85     0.04   109427     0.00     0.00  std::vector<Coord, std::allocator<Coord> >::vector(std::vector<Coord, std::allocator<Coord> > const&)
  2.00      0.89     0.03    32590     0.00     0.00  MoveEvaluator::calculateRowTransitions(BitBoard const&, int)
  1.33      0.91     0.02  3399594     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  1.33      0.93     0.02  1930708     0.00     0.00  BitPieceInfo const& std::forward<BitPieceInfo const&>(std::remove_reference<BitPieceInfo const&>::type&)
  1.33      0.94     0.02  1175884     0.00     0.00  std::_Hashtable<BitPieceInfo, BitPieceInfo, std::allocator<BitPieceInfo>, std::__detail::_Identity, std::equal_to<BitPieceInfo>, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_bucket_begin(unsigned long) const
  1.33      0.96     0.02   300060     0.00     0.00  Coord* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Coord*>, Coord*>(std::move_iterator<Coord*>, std::move_iterator<Coord*>, Coord*)
  1.33      0.98     0.02   150030     0.00     0.00  void std::vector<Coord, std::allocator<Coord> >::_M_realloc_insert<Coord>(__gnu_cxx::__normal_iterator<Coord*, std::vector<Coord, std::allocator<Coord> > >, Coord&&)
