RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=19, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: 1
numLines: 230
maxDropRem: 2
startingLines: 130
========
MoveEvaluator used: 37MoveEvaluatorBlockLinearNoTetrisReady

iteration,time_taken,train_score,eval_score,vector
1,1.660,153380.000,0.000,[0.26369155729048377 0.5096307843559159 0.6806688246478646 0.7419201656724874 0.3408867055709228 0.7457431464661121 0.8806582305594597 0.466667610073922 0.017685918353108065 0.7966980393752306 0.13395529732101796 0.4367050788010902 0.9932470103015348 0.8763664532805683 0.8894559498585783 0.4112793463106972 0.3172925770092321 0.9040025707063387 0.7437468949736918]
2,1.037,178720.000,0.000,[-3.744315354380103 -1.4273122643975202 -0.1228105932009409 3.3780107627344207 -4.008062352233159 1.6583265274848003 2.256420889952789 -3.283994769686222 2.233196986068042 -2.2968128224377016 2.2445188840706116 2.220186552884381 5.402408937252646 1.153610335068909 4.359214782956106 1.0762012509439625 -2.3827920567953043 -1.784482677072201 -0.8779322416210831]
3,1.218,195340.000,0.000,[-2.4715429711875334 -3.4295735945159826 -0.9595510222062451 5.903338312924634 -6.610992632360949 6.329540503112878 -5.76836928442239 -2.196334112491386 3.107924226086785 -2.9583957973283144 4.231411026676522 -4.1879566523589515 4.270000536764602 1.0815211512806382 3.2879408189244703 1.9536701402797865 -1.7671507514042073 -3.2734420096051284 0.030426184919905896]
4,1.321,195340.000,0.000,[-2.4715429711875334 -3.4295735945159826 -0.9595510222062451 5.903338312924634 -6.610992632360949 6.329540503112878 -5.76836928442239 -2.196334112491386 3.107924226086785 -2.9583957973283144 4.231411026676522 -4.1879566523589515 4.270000536764602 1.0815211512806382 3.2879408189244703 1.9536701402797865 -1.7671507514042073 -3.2734420096051284 0.030426184919905896]
5,1.292,195340.000,0.000,[-2.4715429711875334 -3.4295735945159826 -0.9595510222062451 5.903338312924634 -6.610992632360949 6.329540503112878 -5.76836928442239 -2.196334112491386 3.107924226086785 -2.9583957973283144 4.231411026676522 -4.1879566523589515 4.270000536764602 1.0815211512806382 3.2879408189244703 1.9536701402797865 -1.7671507514042073 -3.2734420096051284 0.030426184919905896]
6,1.252,195340.000,0.000,[-2.4715429711875334 -3.4295735945159826 -0.9595510222062451 5.903338312924634 -6.610992632360949 6.329540503112878 -5.76836928442239 -2.196334112491386 3.107924226086785 -2.9583957973283144 4.231411026676522 -4.1879566523589515 4.270000536764602 1.0815211512806382 3.2879408189244703 1.9536701402797865 -1.7671507514042073 -3.2734420096051284 0.030426184919905896]
7,1.272,220740.000,0.000,[-6.642453493325586 0.32631479836565513 -0.6824099760542233 3.9072820737626723 -2.393799415256533 3.5651543325392834 0.7895142645884974 -3.0614765045322336 1.7478701523917124 -1.6739437321745587 1.3801630174734298 0.6839883578428703 4.777580424792315 -2.5936246199135518 5.405842464697354 3.149078296900371 -1.9805280606517766 -3.3782272807193823 -2.1069870837918168]
8,1.306,220740.000,0.000,[-6.642453493325586 0.32631479836565513 -0.6824099760542233 3.9072820737626723 -2.393799415256533 3.5651543325392834 0.7895142645884974 -3.0614765045322336 1.7478701523917124 -1.6739437321745587 1.3801630174734298 0.6839883578428703 4.777580424792315 -2.5936246199135518 5.405842464697354 3.149078296900371 -1.9805280606517766 -3.3782272807193823 -2.1069870837918168]
9,1.325,220740.000,0.000,[-6.642453493325586 0.32631479836565513 -0.6824099760542233 3.9072820737626723 -2.393799415256533 3.5651543325392834 0.7895142645884974 -3.0614765045322336 1.7478701523917124 -1.6739437321745587 1.3801630174734298 0.6839883578428703 4.777580424792315 -2.5936246199135518 5.405842464697354 3.149078296900371 -1.9805280606517766 -3.3782272807193823 -2.1069870837918168]
10,1.301,220740.000,0.000,[-6.642453493325586 0.32631479836565513 -0.6824099760542233 3.9072820737626723 -2.393799415256533 3.5651543325392834 0.7895142645884974 -3.0614765045322336 1.7478701523917124 -1.6739437321745587 1.3801630174734298 0.6839883578428703 4.777580424792315 -2.5936246199135518 5.405842464697354 3.149078296900371 -1.9805280606517766 -3.3782272807193823 -2.1069870837918168]
11,1.260,220740.000,0.000,[-6.642453493325586 0.32631479836565513 -0.6824099760542233 3.9072820737626723 -2.393799415256533 3.5651543325392834 0.7895142645884974 -3.0614765045322336 1.7478701523917124 -1.6739437321745587 1.3801630174734298 0.6839883578428703 4.777580424792315 -2.5936246199135518 5.405842464697354 3.149078296900371 -1.9805280606517766 -3.3782272807193823 -2.1069870837918168]
12,1.284,248220.000,0.000,[-10.145860311967668 2.5725036005660256 -0.9999486022289844 9.00129654267596 -5.133125976463775 6.151689197583451 2.9334214195026833 -5.393060335546978 9.171349468927412 -4.149933114259457 4.655685820512559 -1.4831992977494977 -0.4485580282254862 0.9029298813453805 -1.768028301526197 0.2699394067844605 -1.6039551346146887 2.208089502916632 1.8706520375820164]
13,1.316,248220.000,0.000,[-10.145860311967668 2.5725036005660256 -0.9999486022289844 9.00129654267596 -5.133125976463775 6.151689197583451 2.9334214195026833 -5.393060335546978 9.171349468927412 -4.149933114259457 4.655685820512559 -1.4831992977494977 -0.4485580282254862 0.9029298813453805 -1.768028301526197 0.2699394067844605 -1.6039551346146887 2.208089502916632 1.8706520375820164]
