RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 230
maxDropRem: 2
startingLines: 110
startingLevel: 19
========
MoveEvaluator used: 24MoveEvaluatorBlockLinear

iteration,time_taken,train_score,eval_score,vector
1,81.777,162377.000,0.000,[0.8667564723948595 0.7370562449874367 0.32702640547080697 0.0803765598443329 0.9236602368224681 0.6003609586147565 0.7132324687936897 0.10181865856068495 0.4518196417875123 0.08815720852144437 0.41950147439521723 0.3385111457658384 0.11525057942861394 0.019033360353274187 0.49421088243270206 0.012944461104819394 0.5732599913988509 0.36025177232383065 0.4454003748312463 0.7466846874654626]
2,14.547,193407.000,0.000,[4.354586179761633 4.850533856942635 0.5212048529014136 2.5367646115168374 -3.411480135556006 4.6852589263079505 -2.007476414705531 -1.8385052672910789 3.7218747691052645 -1.0679188017618106 4.460851889305101 -3.674769764499727 2.8401658994231664 -0.4787175893613177 -1.9043021253602368 1.5669532856430228 4.672387928252442 -2.508449103633129 3.449811602190615 0.9050351287817439]
3,55.655,345105.000,0.000,[-0.7528535267377436 -2.6562796537662035 -2.0174549105912924 4.859896902184664 -6.53949317521103 5.8996639368748784 -1.1050473775768292 -4.609604494043788 1.3759934221726473 -2.1135270504031265 5.77188150313147 -7.626754161925335 0.2976527673152565 -0.883696038207568 -5.358520399225171 2.2924413683846843 5.270140205937349 -1.4566152799578411 4.410199985591988 2.9331957635824715]
4,60.010,395475.000,0.000,[1.560783963506231 -4.978478751277454 -3.077038556107703 6.665799220815138 -7.027158500285795 8.639543028706209 -0.3193266733479536 -6.481472167665383 2.2856948744266896 -6.346556710847459 7.5343389451337845 -5.783174761323572 6.021866088579177 -4.182952941854618 -5.558602817944343 1.576264782498304 8.026836468439798 -3.446519200367785 5.37347283416513 6.5958297717907275]
5,55.191,441489.000,0.000,[1.620224665597486 5.508652750346908 -1.3720168485099284 2.271841324890707 -5.228913538630535 7.742597455083038 -1.2207471556922698 -2.609519832070813 4.1313577445425995 -5.268645776174768 10.247328588934792 -5.2335438137682 5.20302501840194 -2.3706025218514615 -4.904705479729943 0.8890043697831072 2.4638208586929142 -2.933997196641022 2.7686722641576313 4.297783449803904]
6,48.339,441489.000,0.000,[1.620224665597486 5.508652750346908 -1.3720168485099284 2.271841324890707 -5.228913538630535 7.742597455083038 -1.2207471556922698 -2.609519832070813 4.1313577445425995 -5.268645776174768 10.247328588934792 -5.2335438137682 5.20302501840194 -2.3706025218514615 -4.904705479729943 0.8890043697831072 2.4638208586929142 -2.933997196641022 2.7686722641576313 4.297783449803904]
7,54.242,457155.000,0.000,[0.6966515230591357 9.404490143703406 4.273331437474903 -0.24874363731519455 -1.2818977746202975 8.087519005133622 -1.5356736507866795 -4.329316701454284 7.626177088871922 2.904781261387792 8.980063854062653 -6.5627896207671235 3.8458153089177136 -1.2705810247911682 -7.887482158987187 1.3147407158206028 3.2879699905656503 -4.242220413796094 -6.3736241241558105 4.170701459539861]
8,52.554,457155.000,0.000,[0.6966515230591357 9.404490143703406 4.273331437474903 -0.24874363731519455 -1.2818977746202975 8.087519005133622 -1.5356736507866795 -4.329316701454284 7.626177088871922 2.904781261387792 8.980063854062653 -6.5627896207671235 3.8458153089177136 -1.2705810247911682 -7.887482158987187 1.3147407158206028 3.2879699905656503 -4.242220413796094 -6.3736241241558105 4.170701459539861]
9,58.607,463940.000,0.000,[1.1018707898569753 9.17631881892968 3.68124098232348 0.5867187069436857 -0.4186451136106122 6.910461613234592 1.8443965753611877 -3.152644695871661 7.226177088871921 2.5047812613877927 9.45150381618896 -6.162789620767125 3.950622998007073 -0.7840137452062885 -7.487482158987188 1.2014197542902645 1.536147235476875 -7.425168160808944 -4.960367474064833 3.1014415229211165]
10,56.665,491461.000,0.000,[0.8925720688286103 8.543718354751293 6.796150276983936 4.70321671109291 1.9583498105473085 8.112697868391823 3.162351937883695 -5.430278689470717 10.801587386041497 7.938081197496986 11.752679385797315 -9.259839974977286 0.9062343205142174 -9.561266770297406 -8.600246936133047 2.3971111587957683 -0.580566939197424 -8.060095413001376 -8.554144876320963 -1.3553036456324072]
11,56.488,504757.000,0.000,[0.30522856717049596 8.143497832846077 4.314589517017708 5.86543921053196 -0.7959294415295624 8.009563541730387 7.910922016737747 -4.845668392941326 2.4453966176078525 9.850529077224031 10.805172792571314 -9.841907130131341 -0.9967106795841718 -8.576200949589202 -8.040888679706056 2.111568290352033 2.9062968371476288 -9.840040520553583 -9.670553269324436 -4.417641453372829]
12,58.664,517717.000,0.000,[-0.7059967233195308 6.052131615830473 0.8920223932824136 8.38656135542355 0.40840396163547243 7.6165566005898455 3.585241657099485 -3.03496722793578 4.56489510119587 0.4233970348161664 12.968258129590085 -7.432547470774015 -1.497424527673073 -7.802410220943408 -6.654374630186927 1.3634278503393502 -2.6906064870334676 -6.674156365267489 -6.066001168870017 -4.62771611137528]
