iteration,time_taken,train_score,eval_score,vector
1,759.892,142379.000,0.000,[0.18288194240468736 0.9959404526801591 0.35320783343773166 0.8132404407386057 0.6540876307773054 0.79803582673582 0.9703883161360892 0.15178327159450866 0.28564073962398506 0.12839849324857167 0.014714145233465814 0.4096404625898594 0.2263776066755847 0.7152784706495668 0.15069645223948747 0.24506847605292048 0.23429614641175156 0.023726743578317944 0.517310140288741]
2,170.421,158279.000,0.000,[-0.06899349365381013 3.9158562172158153 0.3321831229057617 2.2152876690597303 -3.786382303135649 4.01398677115311 -0.3035975673113521 1.6679230492077366 -0.9035850915003211 -1.5147458882967046 1.7433645152686679 3.1879241575214774 4.3333606727443605 4.523139889392782 -1.3829485191657942 -0.32231591426672435 -1.6801905509082822 0.7854981762337491 -1.0455074827105064]
3,276.279,179976.000,0.000,[-0.43848171168607686 3.9729017752761058 2.122064405122212 4.465900915815547 -5.870969941693726 7.73662636513275 -1.285074895361198 1.216014516020833 -1.764189034909811 -3.446449766664216 3.107361193739399 2.011125710095316 3.0111943434969914 1.2281682905216007 -5.177201702263554 1.0297850440073582 -1.9142767697589138 1.4193395900582648 -1.6313786089251163]
4,467.247,361086.000,0.000,[5.050908983078823 5.92648442995175 3.89231920850743 -1.9991649828545244 -3.7961431074805274 7.9732215987430575 1.5317235870340202 0.23719851827632887 1.3062258327451661 -2.654509354471854 1.0204047900165478 1.690300357630862 6.257701254519261 -0.6404255154845231 -5.230901484703573 0.2948050367441004 0.010074678971696116 -3.012420057424765 2.21380632264298]
5,517.420,389170.000,0.000,[7.177598155297933 8.508385463400026 9.811859354785762 2.1372476621995045 -6.305364136376806 10.364660386541484 2.5427514321824023 -1.531173298897668 -1.8125826894846329 -7.952311823882681 0.6734940195043508 0.3450845786686898 3.057582357856545 -2.3493682182048654 -9.81825138248023 1.2660802395941604 0.7147636334767777 -1.6806096022711903 6.766603840846515]
6,393.102,397569.000,0.000,[8.078000181998217 11.472543015883755 5.3968734570815515 -1.846615081294746 -7.511090454425623 9.264324175886223 2.2742851984009116 -2.761157168589154 -1.4160641382993897 -8.189195707657815 6.299765919486472 0.6427553037712079 4.274516601369192 -3.6385896878620825 -12.976033430423287 1.0217915078579227 1.8652436193980577 -6.707279040856544 8.254176382225197]
7,408.770,449415.000,0.000,[5.45898118905599 11.754090221639139 3.8501080208967267 -0.7956582185591881 -6.468076900492817 10.685902444444498 1.9148127767186978 -0.5932391879722783 -0.8925091205385423 -4.734687688748528 6.185851269117741 -0.5727363679694044 2.3065548096729027 -2.28836070089251 -9.921937574724282 1.1063247477186602 0.9444162720800504 -6.433172455729458 2.6339363634049553]
8,436.116,449415.000,0.000,[5.45898118905599 11.754090221639139 3.8501080208967267 -0.7956582185591881 -6.468076900492817 10.685902444444498 1.9148127767186978 -0.5932391879722783 -0.8925091205385423 -4.734687688748528 6.185851269117741 -0.5727363679694044 2.3065548096729027 -2.28836070089251 -9.921937574724282 1.1063247477186602 0.9444162720800504 -6.433172455729458 2.6339363634049553]
9,466.097,449415.000,0.000,[5.45898118905599 11.754090221639139 3.8501080208967267 -0.7956582185591881 -6.468076900492817 10.685902444444498 1.9148127767186978 -0.5932391879722783 -0.8925091205385423 -4.734687688748528 6.185851269117741 -0.5727363679694044 2.3065548096729027 -2.28836070089251 -9.921937574724282 1.1063247477186602 0.9444162720800504 -6.433172455729458 2.6339363634049553]
10,525.653,449415.000,0.000,[5.45898118905599 11.754090221639139 3.8501080208967267 -0.7956582185591881 -6.468076900492817 10.685902444444498 1.9148127767186978 -0.5932391879722783 -0.8925091205385423 -4.734687688748528 6.185851269117741 -0.5727363679694044 2.3065548096729027 -2.28836070089251 -9.921937574724282 1.1063247477186602 0.9444162720800504 -6.433172455729458 2.6339363634049553]
