iteration,time_taken,train_score,eval_score,vector
1,235.466,150194.000,0.000,[0.9923584227365433 0.5804995959658269 0.22229941604527825 0.8925429311925552 0.5186327868949139 0.6664736451792328 0.558344535768432 0.05444869274552855 0.01835793144672193 0.8086214534741948 0.2531789343130618 0.4041941813690333 0.2863986063716655 0.18174401739280355 0.03916494028651474 0.10384587034982673 0.32044105607869766 0.42137472223785655 0.07276776610492042]
2,48.504,199137.000,0.000,[-2.2525319453873514 2.898718646416155 1.8717248312483912 -2.724172120534385 -0.6536608128295179 2.705339371109784 3.7290080624114337 0.6595187390393316 2.071398431521095 1.3282303848243069 3.7886180674234944 -3.5427422347195425 4.4037265673877135 -2.2869442428061304 -0.07515841736544593 0.26764604879040566 2.8740485177918043 3.217276550279048 0.7115099885590032]
3,115.844,355814.000,0.000,[0.5795326158502894 6.998590926690137 2.2752803540138062 -5.688921053854815 0.2919878546368322 5.663056906952943 6.233415244637041 0.26144777431866206 3.6735556419717614 -3.4524626679008525 4.165099997023134 -4.783876756357662 -4.707410345822936 -5.694731170633605 -0.0003164606228489575 0.5509175905405121 4.595634906870611 -0.9138405277065123 2.544290465857503]
4,159.012,431275.000,0.000,[-3.727198458445827 6.883902224197971 4.983984901408782 -6.886001666123384 -1.3237745007623996 4.928116900831763 5.517194018766003 -0.6419561734001082 6.401546535405066 -3.3682839576341252 3.927176461102717 -3.8281906935108525 -2.9861166917387294 -3.4828816225560453 -2.295015611461139 0.49042763516559784 2.1699503739478248 1.694038942023305 2.920444240195974]
5,151.311,431275.000,0.000,[-3.727198458445827 6.883902224197971 4.983984901408782 -6.886001666123384 -1.3237745007623996 4.928116900831763 5.517194018766003 -0.6419561734001082 6.401546535405066 -3.3682839576341252 3.927176461102717 -3.8281906935108525 -2.9861166917387294 -3.4828816225560453 -2.295015611461139 0.49042763516559784 2.1699503739478248 1.694038942023305 2.920444240195974]
6,110.933,431275.000,0.000,[-3.727198458445827 6.883902224197971 4.983984901408782 -6.886001666123384 -1.3237745007623996 4.928116900831763 5.517194018766003 -0.6419561734001082 6.401546535405066 -3.3682839576341252 3.927176461102717 -3.8281906935108525 -2.9861166917387294 -3.4828816225560453 -2.295015611461139 0.49042763516559784 2.1699503739478248 1.694038942023305 2.920444240195974]
7,118.572,431275.000,0.000,[-3.727198458445827 6.883902224197971 4.983984901408782 -6.886001666123384 -1.3237745007623996 4.928116900831763 5.517194018766003 -0.6419561734001082 6.401546535405066 -3.3682839576341252 3.927176461102717 -3.8281906935108525 -2.9861166917387294 -3.4828816225560453 -2.295015611461139 0.49042763516559784 2.1699503739478248 1.694038942023305 2.920444240195974]
8,138.402,431275.000,0.000,[-3.727198458445827 6.883902224197971 4.983984901408782 -6.886001666123384 -1.3237745007623996 4.928116900831763 5.517194018766003 -0.6419561734001082 6.401546535405066 -3.3682839576341252 3.927176461102717 -3.8281906935108525 -2.9861166917387294 -3.4828816225560453 -2.295015611461139 0.49042763516559784 2.1699503739478248 1.694038942023305 2.920444240195974]
9,144.373,431275.000,0.000,[-3.727198458445827 6.883902224197971 4.983984901408782 -6.886001666123384 -1.3237745007623996 4.928116900831763 5.517194018766003 -0.6419561734001082 6.401546535405066 -3.3682839576341252 3.927176461102717 -3.8281906935108525 -2.9861166917387294 -3.4828816225560453 -2.295015611461139 0.49042763516559784 2.1699503739478248 1.694038942023305 2.920444240195974]
10,123.618,431275.000,0.000,[-3.727198458445827 6.883902224197971 4.983984901408782 -6.886001666123384 -1.3237745007623996 4.928116900831763 5.517194018766003 -0.6419561734001082 6.401546535405066 -3.3682839576341252 3.927176461102717 -3.8281906935108525 -2.9861166917387294 -3.4828816225560453 -2.295015611461139 0.49042763516559784 2.1699503739478248 1.694038942023305 2.920444240195974]
11,122.084,438619.000,0.000,[-4.362935686897286 9.46208812505883 6.212725128425223 -4.132655837871477 -0.33570075147058187 4.5251042182249925 6.537418284664415 -1.8070139944495232 -0.21137133575441602 -4.236122536674586 4.239312858150889 -4.489934248173843 -0.2901257392607537 -7.863290936724175 -2.5671055018245976 0.6812271379836642 -0.014993545068608505 2.633054175448453 0.8947037910282098]
12,154.075,442043.000,0.000,[-3.148891004788177 10.869908471184925 4.654374638268356 -2.933012531509103 0.22661068668178752 7.291394945219247 6.801584449107211 -7.053478945413415 3.572092801230501 -3.809609278163009 3.7176122445899082 -4.111989215660783 0.9393551795050108 -7.220134227098134 -1.736944722865159 0.34105124297739 2.64852830149638 5.52552797461217 6.109660987199837]
13,132.615,442043.000,0.000,[-3.148891004788177 10.869908471184925 4.654374638268356 -2.933012531509103 0.22661068668178752 7.291394945219247 6.801584449107211 -7.053478945413415 3.572092801230501 -3.809609278163009 3.7176122445899082 -4.111989215660783 0.9393551795050108 -7.220134227098134 -1.736944722865159 0.34105124297739 2.64852830149638 5.52552797461217 6.109660987199837]
14,137.765,442043.000,0.000,[-3.148891004788177 10.869908471184925 4.654374638268356 -2.933012531509103 0.22661068668178752 7.291394945219247 6.801584449107211 -7.053478945413415 3.572092801230501 -3.809609278163009 3.7176122445899082 -4.111989215660783 0.9393551795050108 -7.220134227098134 -1.736944722865159 0.34105124297739 2.64852830149638 5.52552797461217 6.109660987199837]
15,137.258,442043.000,0.000,[-3.148891004788177 10.869908471184925 4.654374638268356 -2.933012531509103 0.22661068668178752 7.291394945219247 6.801584449107211 -7.053478945413415 3.572092801230501 -3.809609278163009 3.7176122445899082 -4.111989215660783 0.9393551795050108 -7.220134227098134 -1.736944722865159 0.34105124297739 2.64852830149638 5.52552797461217 6.109660987199837]
16,124.334,442043.000,0.000,[-3.148891004788177 10.869908471184925 4.654374638268356 -2.933012531509103 0.22661068668178752 7.291394945219247 6.801584449107211 -7.053478945413415 3.572092801230501 -3.809609278163009 3.7176122445899082 -4.111989215660783 0.9393551795050108 -7.220134227098134 -1.736944722865159 0.34105124297739 2.64852830149638 5.52552797461217 6.109660987199837]
17,139.791,442043.000,0.000,[-3.148891004788177 10.869908471184925 4.654374638268356 -2.933012531509103 0.22661068668178752 7.291394945219247 6.801584449107211 -7.053478945413415 3.572092801230501 -3.809609278163009 3.7176122445899082 -4.111989215660783 0.9393551795050108 -7.220134227098134 -1.736944722865159 0.34105124297739 2.64852830149638 5.52552797461217 6.109660987199837]
18,137.263,442275.000,0.000,[-0.426628995856146 11.819217402190434 9.504635204631757 -2.8513766206562448 0.06094369746145478 8.136489494490867 6.605384761773638 -5.226435405057917 3.769237490566085 -1.1735067639916177 3.4235828776560853 -4.567740618824335 2.5915933581272075 -7.705960787208559 -8.532122321847478 1.3736313607713617 -0.5215786384586355 4.921894331829832 6.131271725497592]
