RunnerSettings(num_particles=100, num_neighbours=100, iterations=6900, local=False, velocity_clamp=(-5, 5), optimizer_options={'c1': 2.5, 'c2': 2.5, 'w': 0.92})
iteration,time_taken,train_score,eval_score,vector
1,551.607,295867.000,295867.000,[0.8548994979009015 0.47913902797423014 0.39869573596717767 0.7235185222575967 0.005413547009211039 0.637143463295067 0.752355536925258 0.03249264716117184 0.6927345728160982 0.4597458453908071 0.3642276090485166 0.1155523160854125 0.14215089833242145 0.4622627178160198 0.16782085536699543 0.0028928691571903364 0.8055216104242714]
2,183.447,320853.000,320853.000,[1.162231779615341 -2.1714100197582056 4.404216886537089 -1.012517101179816 3.093930161828136 3.7380550482148123 3.9956803480657674 -1.6348651665805347 0.481249229495434 4.3950396320392295 2.6362374144871605 -3.2176372910055426 -1.4394074681703293 1.6593616748750712 -1.3949368671023996 0.8866163320942531 -2.3203723243218617]
3,277.613,604453.000,604453.000,[2.7167027374837547 -0.6684080982918852 3.1313499674036223 3.1664186449448977 1.9950885825483375 3.804046908335922 1.637393786423156 -3.341656258711158 -1.6528456256895216 5.0690885628042395 3.9603436139031163 -3.890933219703625 1.8185910279248612 -0.673390628282772 0.19165709248782026 0.41360662960140804 1.1408128960709076]
4,375.246,604453.000,604453.000,[2.7167027374837547 -0.6684080982918852 3.1313499674036223 3.1664186449448977 1.9950885825483375 3.804046908335922 1.637393786423156 -3.341656258711158 -1.6528456256895216 5.0690885628042395 3.9603436139031163 -3.890933219703625 1.8185910279248612 -0.673390628282772 0.19165709248782026 0.41360662960140804 1.1408128960709076]
5,366.289,604453.000,604453.000,[2.7167027374837547 -0.6684080982918852 3.1313499674036223 3.1664186449448977 1.9950885825483375 3.804046908335922 1.637393786423156 -3.341656258711158 -1.6528456256895216 5.0690885628042395 3.9603436139031163 -3.890933219703625 1.8185910279248612 -0.673390628282772 0.19165709248782026 0.41360662960140804 1.1408128960709076]
6,332.370,659331.000,659331.000,[5.278594000390915 4.023749733943651 2.9472531417102648 3.403113288800971 -0.3588967944500103 6.283862890963784 4.0157974482992875 -4.9123741839167625 2.3649808529935616 5.927565345851397 6.436551170639396 -4.999091409149308 4.520199910438228 0.27362531472930307 -3.3622398274021035 1.2007659798491808 -1.940775417018842]
7,352.224,761709.000,761709.000,[2.332874585171581 5.529744228339366 3.208176959976546 3.0112990926483874 1.5739042237305378 5.720941773358442 4.304356457638792 -4.746970220796405 2.1362445316635243 3.105469371947404 8.24566243311951 -5.710765105492766 1.7855363701963798 0.3923515706287124 -3.6644543425840466 0.7917147011630843 0.6771451514991593]
8,346.161,761709.000,761709.000,[2.332874585171581 5.529744228339366 3.208176959976546 3.0112990926483874 1.5739042237305378 5.720941773358442 4.304356457638792 -4.746970220796405 2.1362445316635243 3.105469371947404 8.24566243311951 -5.710765105492766 1.7855363701963798 0.3923515706287124 -3.6644543425840466 0.7917147011630843 0.6771451514991593]
9,419.752,761709.000,761709.000,[2.332874585171581 5.529744228339366 3.208176959976546 3.0112990926483874 1.5739042237305378 5.720941773358442 4.304356457638792 -4.746970220796405 2.1362445316635243 3.105469371947404 8.24566243311951 -5.710765105492766 1.7855363701963798 0.3923515706287124 -3.6644543425840466 0.7917147011630843 0.6771451514991593]
10,406.679,762244.000,762244.000,[4.2922951264485185 8.345298432568597 0.15261065941747787 1.4345024814799148 1.887267385416505 9.7825365191188 5.520162377127619 -9.149972946649648 1.153265934486793 2.9573249819579175 11.891461314600242 -5.469514385219416 1.484334088205741 1.4383103840321554 -3.9216207109888033 0.5449208214204531 0.05186953022239038]
