RunnerSettings(num_particles=11, num_neighbours=11, iterations=6900, local=False, velocity_clamp=(-5, 5), optimizer_options={})
iteration,time_taken,train_score,eval_score,vector
1,144.409,245693.000,0.000,[0.7277814729139835 0.563882289363282 0.7447336930617057 0.2934116553258882 0.6114614818691358 0.9796364987999802 0.6636633439976884 0.28420627217747974 0.2590359795724233 0.5896863668486435 0.46833196634406893 0.47294969283576505 0.785555684050039 0.20726141760653705 0.16808182759847934 0.7962904522318155 0.8122644654138502]
2,70.962,245693.000,0.000,[0.7277814729139835 0.563882289363282 0.7447336930617057 0.2934116553258882 0.6114614818691358 0.9796364987999802 0.6636633439976884 0.28420627217747974 0.2590359795724233 0.5896863668486435 0.46833196634406893 0.47294969283576505 0.785555684050039 0.20726141760653705 0.16808182759847934 0.7962904522318155 0.8122644654138502]
3,129.554,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
4,143.703,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
5,129.893,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
6,129.958,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
7,141.824,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
8,118.091,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
9,81.208,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
10,141.693,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
11,133.687,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
12,144.926,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
13,94.880,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
14,126.850,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
15,76.439,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
16,118.114,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
17,111.667,297348.000,0.000,[-0.8620448103995595 0.7934817996667627 2.4980459351298423 -2.0387707924109866 3.349600636793899 3.0604808121634264 -1.8934551830087014 0.700158977737674 2.866266262724923 -1.9192561504925734 0.7478886733410376 2.3455669628553855 -0.3724640487687605 1.1198646061381643 -1.9424039359526044 0.38320714656150423 0.4923606288002822]
18,115.748,308357.000,0.000,[-2.454931883518677 0.01727437894471806 0.7269781579373475 -2.439202036279185 -0.6278740849908768 3.810500425871183 -2.7716035072625296 -4.777008378056324 2.4498915388576665 -1.9213837947757284 1.7161949212306506 1.4400358577142143 -2.062116634599392 1.0497791100803386 -1.540364515156627 0.2399026695443507 3.2164532242190917]
19,134.256,308357.000,0.000,[-2.454931883518677 0.01727437894471806 0.7269781579373475 -2.439202036279185 -0.6278740849908768 3.810500425871183 -2.7716035072625296 -4.777008378056324 2.4498915388576665 -1.9213837947757284 1.7161949212306506 1.4400358577142143 -2.062116634599392 1.0497791100803386 -1.540364515156627 0.2399026695443507 3.2164532242190917]
