RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=18, local=False, velocity_clamp=(-5, 5), optimizer_options={})
iteration,time_taken,train_score,eval_score,vector
1,743.813,143014.000,0.000,[0.6073411014388886 0.4061352953794256 0.9817100306444876 0.09423188519772996 0.2687325954058254 0.8099429350984351 0.3658217586945648 0.1975343947735979 0.4162604230345385 0.966612977977392 0.2689686580114945 0.4934652607100868 0.8430435894984386 0.5296918689596549 0.5233800879405806 0.4699150711061657 0.18942674550913052 0.15648028484691912]
2,223.384,174403.000,0.000,[-2.242244789319244 2.671999747541363 3.7679432443794476 0.5797495421020191 -2.497923992009209 1.1893602592458148 0.11767593336356608 -1.7364225858344322 1.5054691688213024 -2.299457146305731 4.142582102868964 1.9064015877369653 4.294212161559744 -3.533981856182357 -3.788466247119558 0.22288995842654438 -1.6219338957969462 -2.0434603058560876]
3,418.747,284628.000,0.000,[-5.105674051001843 4.899479619821367 7.165101703732938 0.7721190860975412 -5.3055024888052635 2.098402103439897 0.08156134188737839 -3.48391836090639 2.639283622503098 -4.735367241281875 7.034893784894824 3.140697979322602 7.849659582461916 -7.283586276608529 -7.866882381137579 0.3525995065264921 -3.1202308382862953 -3.9665742122220795]
4,454.604,341131.000,0.000,[-7.740028971749835 6.94876110231897 10.290487486338149 0.9490990665734216 -7.888474705857634 2.934720600098453 0.048335917729285714 -5.091614473972592 3.6823929198903493 -6.976404528659927 9.695820532358615 4.276250659581388 11.120671209691915 -10.733222343400607 -11.619025224434159 0.471932290778444 -4.498664025376496 -5.735839006078792]
5,489.306,408079.000,0.000,[-3.5135691357656507 3.5013330036235066 5.62298158349667 3.9350339255932 -7.403100947068721 5.796239158821525 0.93595796111165 1.3850890018725108 2.379923755730626 -5.2022640520488554 6.028036681021307 0.05096498879497391 6.385716630927323 -5.73565990734248 -13.060579002647696 1.6198168168220004 -1.9326821335925821 -0.33132244895068563]
6,580.493,414905.000,0.000,[-10.44681625984291 3.9706157231658397 9.332802445189852 3.9601856807008757 -10.500755868859539 9.643804176731479 0.9885660774282671 -1.445201197812455 9.06200621983876 -7.980035654021339 11.260237714417647 2.4044626277642296 7.007028533335698 -10.0763604223621 -16.978626618600444 1.3244185786564664 -1.9820089708727808 -3.9810364293997136]
7,553.282,456271.000,0.000,[-3.1318178805659427 8.469407676165511 9.684644544633864 9.279109296271148 -11.383022230519934 11.829707577774215 4.690448437352355 -2.3627254899697787 2.0336580523793666 -12.821200620805666 9.570416539059334 1.3375965716775964 2.6232292626453475 -3.6251279842729582 -21.6567966310134 1.8888069033822468 -1.5255100458229665 -2.1567953772834767]
8,460.185,456271.000,0.000,[-3.1318178805659427 8.469407676165511 9.684644544633864 9.279109296271148 -11.383022230519934 11.829707577774215 4.690448437352355 -2.3627254899697787 2.0336580523793666 -12.821200620805666 9.570416539059334 1.3375965716775964 2.6232292626453475 -3.6251279842729582 -21.6567966310134 1.8888069033822468 -1.5255100458229665 -2.1567953772834767]
9,547.246,463087.000,0.000,[-1.8431713471045281 7.095547720426609 9.91594012896105 14.00367137816979 -11.355499604565612 16.155477507268632 8.848910683158122 -11.14483109363649 15.85646950987417 -15.759308152132213 10.2347999842524 0.8835094040747267 2.6947694663412065 -3.478221845335719 -25.564502216981843 2.554174531073882 0.2662215511734245 1.1422555570729935]
10,611.024,463087.000,0.000,[-1.8431713471045281 7.095547720426609 9.91594012896105 14.00367137816979 -11.355499604565612 16.155477507268632 8.848910683158122 -11.14483109363649 15.85646950987417 -15.759308152132213 10.2347999842524 0.8835094040747267 2.6947694663412065 -3.478221845335719 -25.564502216981843 2.554174531073882 0.2662215511734245 1.1422555570729935]
