RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=27, local=False, velocity_clamp=(-5, 5), optimizer_options={})
CONFIG
========
seed: -1
numGames: -1
numLines: 230
maxDropRem: 2
startingLines: 130
========

iteration,time_taken,train_score,eval_score,vector
1,786.349,137327.000,0.000,[0.00484384152656081 0.00424303826399719 0.030597578534790726 0.5463050236881255 0.4642019769370169 0.9293297566290222 0.2991953064537475 0.4316819533851318 0.8415532612102397 0.8388263232779918 0.715646971599773 0.4027303473226631 0.8095172031702689 0.07350709687465495 0.606965211505402 0.0408931524544337 0.9903204908179079 0.8672067831036924 0.37962136879055475 0.5883798611651829 0.26981661956943703 0.04508006136346532 0.6287452254331934 0.39576457868457915 0.786868471784358 0.7897340063156617 0.24266635251320767]
2,233.638,168800.000,0.000,[0.41461902047616445 3.906055474034052 1.3054736969989031 4.378475232565937 -2.3150475200442546 4.084324028097525 3.6900385662345596 -4.128895277805623 3.313631900653968 -0.9721233276455047 4.065957385655691 1.1573860130506772 -1.4437453916178153 -3.5828228855645587 3.4004334010648885 -0.49502461111150353 -2.4461742600006984 2.586640043296625 -2.4202668351269354 4.687412210910958 -4.061490444887879 -4.256289821201792 1.8555915359377901 -1.072386652927122 4.275625883729415 -2.7059422276745373 -1.82292865559754]
3,443.813,190650.000,0.000,[-1.1576901232627734 2.7376067826169375 1.6002319905580196 1.7715150880969177 0.15447626583333385 2.8898065201244263 1.5966042379655043 -7.06481681892334 4.2598211285617875 -0.5076034776784635 1.773485112192589 -0.8800173474956625 0.8629168109943914 2.9019429239359322 2.21356467506849 0.045733718716180094 0.31823103500660643 3.9410255078504193 -4.258120516580605 0.3047626834256154 -5.462040187455151 -2.0806779066494205 -0.7572470531666635 -1.0535362147613527 4.123385986907689 -0.8776147126806961 -0.2096807750218841]
4,458.518,198789.000,0.000,[-2.989324636097754 3.2991494577050737 -2.6436455903235516 5.7686798796370615 -2.428823899987937 7.039564847474102 5.779034378151211 -2.032105827892906 -0.3131686825437914 2.2372242818607955 4.372755135579501 -2.5722090917195213 -0.49638719602827575 1.6467153507142065 -0.27329005188158995 1.1329920788730377 0.10419104207551655 1.6647735496391336 -5.394465956806913 -3.6986683241254528 -1.461488706323527 -6.677953863259969 -0.1095363769141322 -3.5061512635629377 0.28745240530174243 0.9363388821670329 3.5272072343528422]
5,495.607,258591.000,0.000,[-7.594529804739466 3.7584399531777795 -6.620933243497932 6.464148862334989 -1.3613260432223795 9.234329040507944 10.511521026892103 -10.250275335552246 1.660814402653747 5.4646275749758075 7.057071918921276 -7.992991599195285 4.669936769980234 6.419516314593239 -1.7251827484396332 0.8447130584179661 5.443273852374161 1.472094486327567 -9.816794878432436 -3.69519599128785 -8.819158165144712 -7.589280511582787 -1.0187039581158928 7.025250395297048 1.2616683214166242 -2.8345808545043467 5.606999859422777]
6,394.801,362223.000,0.000,[-4.296583764272722 -0.1001808105711306 -6.160784733457349 2.2066815575323186 2.6274730594488265 7.066404159734377 2.192413268313455 -4.770536824321571 2.230396646898712 3.6861385119864685 10.201473992655469 -9.340087109615386 -6.170801898896745 -6.795238681785989 -0.4013714819639804 1.248915526291055 5.5147210770465245 -3.1254865133322784 -6.466674650936916 9.859526841921959 -6.47166350827347 -6.377995022994364 4.1199020989988036 3.5598702955470367 1.2772006752178928 -4.159445026480693 8.511638926876218]
7,455.943,363201.000,0.000,[-4.111071413424387 -4.729958726526013 -7.8033869901374215 1.879238012893297 6.854334110669731 12.555859625590728 10.175912152361338 -0.8751078958717922 8.292016249960174 7.146075545803523 14.806045902637234 -9.050661213346938 1.339973980205265 -2.1144145030578883 -3.3945366474804377 1.6257252497758774 6.415765187046277 -7.812274731215825 -7.3207063703038955 -11.646881712276745 -11.245655982462994 -5.7525871488336335 7.860324435553915 5.52887174657813 0.8163031961555007 -8.067083578559778 9.903805421401238]
8,507.987,387163.000,0.000,[-3.980026698535895 1.6174557640049088 -7.3200755541398 5.802603488666438 8.058670401252652 7.997555503247581 10.55795682907952 -3.113738667028869 3.2259999517785567 3.845958897793876 15.644483423455275 -12.37927235986291 0.7822370627480195 2.647692352632458 -2.0990883015037802 1.6720214431381786 2.131196071965656 -9.424914541372877 -10.098113762642013 -6.185597205033103 -8.948073509142567 -7.511833199601448 5.749185428758148 5.135668896842959 3.1707085703192295 -6.621590480170107 5.002505993516968]
9,530.098,387163.000,0.000,[-3.980026698535895 1.6174557640049088 -7.3200755541398 5.802603488666438 8.058670401252652 7.997555503247581 10.55795682907952 -3.113738667028869 3.2259999517785567 3.845958897793876 15.644483423455275 -12.37927235986291 0.7822370627480195 2.647692352632458 -2.0990883015037802 1.6720214431381786 2.131196071965656 -9.424914541372877 -10.098113762642013 -6.185597205033103 -8.948073509142567 -7.511833199601448 5.749185428758148 5.135668896842959 3.1707085703192295 -6.621590480170107 5.002505993516968]
10,447.618,387941.000,0.000,[-3.057391585765349 0.7144868331423444 -9.712697119727451 4.022603811222503 11.5825153771665 6.414969747161701 14.63497920367017 -4.972975028436936 5.879155729179612 6.897807401405888 16.153806523600885 -7.950232113353047 3.0915516767043165 -8.215688733059494 -1.103909928193588 0.8007628982703023 2.2074466292315202 -12.511305203430528 -14.145623429273744 -12.900440754486063 -9.95844444214364 -3.67603448140558 5.019548893756849 7.643109519466375 3.23558345722423 -11.324557376737271 3.821289526081274]
