RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 230
maxDropRem: 2
startingLines: 130
========

iteration,time_taken,train_score,eval_score,vector
1,803.075,141514.000,0.000,[0.7887963829574128 0.22043662616056658 0.585124345283498 0.9086859828153412 0.8547534056004412 0.9586109519968284 0.9997820674516414 0.3371145153709896 0.8317140564016101 0.768476188932064 0.3260335206342546 0.027104080863487146 0.26948950978441677 0.6940110347582542 0.6773017760900282 0.7520716504956382 0.43466145592536576 0.11443184007702345 0.31770436179321226 0.7446393980224352]
2,205.829,168453.000,0.000,[0.8177924038047752 2.084286390717212 -3.5688380446146626 3.563890069184099 -0.625716645754039 4.274759048590247 -2.4068742296943197 4.6861542749379 -3.832886962886239 0.7250444597884502 4.26655090115719 -2.1844871031431143 -3.040273802284389 1.943373974066632 -1.6664979078952264 0.8251470768302682 2.1835266462184055 -0.006898426067198482 0.000800865647139104 -0.09096022128889164]
3,393.171,238670.000,0.000,[0.07098846560886868 1.7411220114940207 -2.3419956223350824 2.4836722476901203 -0.2884409190720634 6.716561600774784 -3.8699291991205826 0.8531104935615739 -3.2695079146359887 2.1199919108919114 6.085421007780179 -1.6392047585680078 -6.302665942624657 0.14936975011795806 -0.08364984436545586 0.1659949202492328 1.025888817386532 -0.2225286809546282 2.9784797086300996 1.0344754889314052]
4,410.794,286232.000,0.000,[2.699974474932796 4.932029579942949 -6.326716100901204 4.789222468000367 -2.425478361317428 8.302527557898905 -5.428019987830108 1.2904950186808826 -7.357432052555057 4.623586545206148 9.32417122041823 -4.06230109269682 -3.90731369173427 -3.780959009261569 -4.925454213843343 1.5467015097263634 0.25973701526947335 0.5859943569463381 0.8258378472326307 2.9763688441181193]
5,413.542,327851.000,0.000,[1.3471752373132189 6.842785581258047 -6.026458482500651 6.101852065124997 -4.551651435512045 10.34756093874697 -6.053570631771259 4.504795226119423 -8.330480219538574 4.4948336544783665 10.877755768897902 -2.171524215791164 -8.33464018558293 1.3977408097074875 -5.451748533564248 1.038332280248784 -0.21425336952634133 -0.3444501700350209 1.0200815098083407 1.270245441340248]
6,450.869,327851.000,0.000,[1.3471752373132189 6.842785581258047 -6.026458482500651 6.101852065124997 -4.551651435512045 10.34756093874697 -6.053570631771259 4.504795226119423 -8.330480219538574 4.4948336544783665 10.877755768897902 -2.171524215791164 -8.33464018558293 1.3977408097074875 -5.451748533564248 1.038332280248784 -0.21425336952634133 -0.3444501700350209 1.0200815098083407 1.270245441340248]
7,481.145,327851.000,0.000,[1.3471752373132189 6.842785581258047 -6.026458482500651 6.101852065124997 -4.551651435512045 10.34756093874697 -6.053570631771259 4.504795226119423 -8.330480219538574 4.4948336544783665 10.877755768897902 -2.171524215791164 -8.33464018558293 1.3977408097074875 -5.451748533564248 1.038332280248784 -0.21425336952634133 -0.3444501700350209 1.0200815098083407 1.270245441340248]
8,437.829,327851.000,0.000,[1.3471752373132189 6.842785581258047 -6.026458482500651 6.101852065124997 -4.551651435512045 10.34756093874697 -6.053570631771259 4.504795226119423 -8.330480219538574 4.4948336544783665 10.877755768897902 -2.171524215791164 -8.33464018558293 1.3977408097074875 -5.451748533564248 1.038332280248784 -0.21425336952634133 -0.3444501700350209 1.0200815098083407 1.270245441340248]
9,459.749,327851.000,0.000,[1.3471752373132189 6.842785581258047 -6.026458482500651 6.101852065124997 -4.551651435512045 10.34756093874697 -6.053570631771259 4.504795226119423 -8.330480219538574 4.4948336544783665 10.877755768897902 -2.171524215791164 -8.33464018558293 1.3977408097074875 -5.451748533564248 1.038332280248784 -0.21425336952634133 -0.3444501700350209 1.0200815098083407 1.270245441340248]
10,457.058,327851.000,0.000,[1.3471752373132189 6.842785581258047 -6.026458482500651 6.101852065124997 -4.551651435512045 10.34756093874697 -6.053570631771259 4.504795226119423 -8.330480219538574 4.4948336544783665 10.877755768897902 -2.171524215791164 -8.33464018558293 1.3977408097074875 -5.451748533564248 1.038332280248784 -0.21425336952634133 -0.3444501700350209 1.0200815098083407 1.270245441340248]
