RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=17, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 130
maxDropRem: 3
startingLines: 0
========
MoveEvaluator used: 13MoveEvaluator

iteration,time_taken,train_score,eval_score,vector
1,81.318,156522.000,0.000,[0.9797040678091784 0.1335210233716031 0.2036722936266191 0.27388180813887864 0.4222167546093403 0.9197810533982287 0.7384472757987656 0.014186798259135713 0.8176692133736907 0.12105356489884034 0.8334981515271795 0.4753260612196656 0.8032203318062456 0.7795738915113972 0.20232150189049303 0.077649284360219 0.3343766418252969]
2,22.429,165515.000,0.000,[4.06715227179289 -3.5717630180518354 -0.05147088329771887 2.024052468606728 3.9018034641791552 1.3989002750643018 1.4989969746301581 -4.188603156424609 2.9738144612710187 -2.566674517690741 5.32366630531397 -3.1729748362532 0.337882754090438 -0.10988344541577477 -0.9514104629300599 1.2802463429334106 -3.982442664889902]
3,37.386,364597.000,0.000,[3.6773908450106654 -2.841196160610716 -0.22890952385247076 7.637601265410842 5.006064143672497 4.284563590927325 4.437020948422895 -2.239448174667674 0.7670526149783887 2.0733767737178153 4.0129454433687775 -6.31503774625444 -3.6384176123840017 -1.8798100131811288 -2.687959546602255 1.5411369107888369 3.8535973848512026]
4,51.742,391983.000,0.000,[8.81457290304336 4.868056653284283 -4.752277190544433 2.99203858539215 7.662981934978228 7.4408029848413655 5.850240648311438 -5.411725767189505 -2.386370149079782 -5.868621230027634 6.233521149448672 -7.457727793727841 -0.32473789511437356 -6.062730898207417 -4.658000606124315 1.7718763118816727 3.62311868362927]
5,51.446,455240.000,0.000,[9.897429655008567 -2.4319619374091874 -1.174336888582832 9.83988660815869 12.277182812564824 9.11027258373478 10.188023769479464 -6.541311489851886 4.052576370945008 -2.1584518095315666 9.385953781613194 -10.18003434560529 0.23577915928043058 -10.03724661203767 -10.412363222652349 2.4576344617784507 2.5225215764979514]
6,48.436,457748.000,0.000,[12.394900484076835 8.987061766939537 0.39873267470670726 14.671345936278884 16.30362529902594 11.260936730944891 12.54027536679402 -9.858112726755488 -1.1677757652278498 -0.3277711517093813 12.415050145943397 -12.66375899709033 0.8946785335433063 -14.184812051506832 -11.607770650439388 3.2867886224426615 4.802933301359829]
7,63.810,469693.000,0.000,[9.497064938669594 6.789046265648124 -0.6450326981174266 6.343171860412793 18.106232353181507 12.189917842595728 15.781406151066 -8.910516131927038 -2.9589683074907254 -0.3728004055434848 12.964771553993447 -9.73516909759083 -1.8255182435861617 -12.662309688558615 -12.065127461372711 3.1713662361491357 2.6865065712024796]
8,64.711,492049.000,0.000,[6.877428736843735 3.639393970515579 -1.6877643990329037 7.506711969938447 10.303679492663777 9.445009083236494 9.69298603871863 -2.578394102103937 -5.766155249742021 2.544275774626458 9.542868762551114 -7.0942982427563255 -1.2134597613878695 -10.775555161308874 -7.154968961104828 1.4395181207419734 4.203799481839063]
9,43.710,492049.000,0.000,[6.877428736843735 3.639393970515579 -1.6877643990329037 7.506711969938447 10.303679492663777 9.445009083236494 9.69298603871863 -2.578394102103937 -5.766155249742021 2.544275774626458 9.542868762551114 -7.0942982427563255 -1.2134597613878695 -10.775555161308874 -7.154968961104828 1.4395181207419734 4.203799481839063]
10,43.132,492049.000,0.000,[6.877428736843735 3.639393970515579 -1.6877643990329037 7.506711969938447 10.303679492663777 9.445009083236494 9.69298603871863 -2.578394102103937 -5.766155249742021 2.544275774626458 9.542868762551114 -7.0942982427563255 -1.2134597613878695 -10.775555161308874 -7.154968961104828 1.4395181207419734 4.203799481839063]
11,58.281,492049.000,0.000,[6.877428736843735 3.639393970515579 -1.6877643990329037 7.506711969938447 10.303679492663777 9.445009083236494 9.69298603871863 -2.578394102103937 -5.766155249742021 2.544275774626458 9.542868762551114 -7.0942982427563255 -1.2134597613878695 -10.775555161308874 -7.154968961104828 1.4395181207419734 4.203799481839063]
12,56.316,492518.000,0.000,[13.607044664921855 8.41668122661994 -2.193931919038035 9.622353177684406 12.11016970351652 9.863789581239363 17.711936387023037 -5.397729879245903 -0.813965915652509 2.8853362607626103 13.660854579229646 -8.325296274041545 2.4362567786194536 -12.521750161493102 -11.098491459623006 1.541076195181374 6.734894501538753]
13,46.002,501575.000,0.000,[12.856634523746695 14.2810501401717 -0.7745475026688426 16.363765246035367 18.436325939085314 13.784477556515153 21.823286769578758 -11.842530416227413 2.389934800317593 5.153474814516732 12.25500991775673 -8.933680768188758 1.7725094047313315 -17.784956968550986 -17.939163425396348 3.1293879948164083 7.706177423385313]
