RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=17, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 150
maxDropRem: 3
startingLines: 0
========
MoveEvaluator used: 13MoveEvaluator

iteration,time_taken,train_score,eval_score,vector
1,95.073,166960.000,0.000,[0.7445870623374098 0.6376002144132132 0.15476684277152242 0.6927402935223392 0.8714211443196365 0.5868472248522737 0.7357248829214618 0.3858194121468964 0.1563289049748393 0.3921158965284197 0.008635850923095822 0.2541445430638565 0.3945341798104606 0.3588982817716697 0.15650319509975175 0.1413645802419523 0.1333542427563671]
2,17.222,192654.000,0.000,[1.7626023132457873 -4.004364338533206 -3.0700305777362047 1.4206409988116329 -0.17769594175814418 5.009134471529897 3.475050958382859 -2.4402568610858495 2.5125275309969104 -0.2002521952522377 2.964378369650809 -3.1185282944359507 3.339419048287174 0.8140296352858303 0.037794122310389575 2.2480235452092514 1.8273855371565615]
3,54.409,340680.000,0.000,[0.012445422698338593 -1.5657425400482161 0.4046056047180584 0.8356082028447744 2.7768485262915275 5.15813342631211 6.403413578601767 -1.2798466167061469 1.002148018554922 1.2644941733749353 1.0473257710532065 -3.323608948257201 0.2898208746879596 0.7812008339796419 -0.428724285046614 0.40878782135863156 1.831794109308561]
4,38.301,340680.000,0.000,[0.012445422698338593 -1.5657425400482161 0.4046056047180584 0.8356082028447744 2.7768485262915275 5.15813342631211 6.403413578601767 -1.2798466167061469 1.002148018554922 1.2644941733749353 1.0473257710532065 -3.323608948257201 0.2898208746879596 0.7812008339796419 -0.428724285046614 0.40878782135863156 1.831794109308561]
5,35.320,340680.000,0.000,[0.012445422698338593 -1.5657425400482161 0.4046056047180584 0.8356082028447744 2.7768485262915275 5.15813342631211 6.403413578601767 -1.2798466167061469 1.002148018554922 1.2644941733749353 1.0473257710532065 -3.323608948257201 0.2898208746879596 0.7812008339796419 -0.428724285046614 0.40878782135863156 1.831794109308561]
6,37.200,340680.000,0.000,[0.012445422698338593 -1.5657425400482161 0.4046056047180584 0.8356082028447744 2.7768485262915275 5.15813342631211 6.403413578601767 -1.2798466167061469 1.002148018554922 1.2644941733749353 1.0473257710532065 -3.323608948257201 0.2898208746879596 0.7812008339796419 -0.428724285046614 0.40878782135863156 1.831794109308561]
7,43.723,392963.000,0.000,[1.5332692721871481 -0.3449361117935773 0.18861347983297827 3.0690032995983105 -1.1699765242043978 4.639958546151145 6.798993026762681 -1.8660118214585433 4.669855230344068 -1.9547619681644286 1.8161632660071723 -3.058433133404524 1.6551921677264718 1.0875002931677107 -0.2716166708388741 0.4346202846908067 0.6534467422964381]
8,40.574,396684.000,0.000,[1.8328076162304177 -3.2659305509792307 -3.7118181597722497 5.293075267309305 2.4065128441363193 5.469760896091799 11.044607715522272 -2.5344997225313968 0.24318511293722 -6.989509297269061 9.861650859264575 -7.791935579519408 0.2596619415261392 1.7881654813087184 -8.345774657976994 2.549432602168554 1.246608288736812]
9,53.123,411482.000,0.000,[-0.5215421074484308 -1.797663562667414 -2.5113390454203253 2.039765217275117 2.3130217043336136 3.904593860835873 12.499315520880929 -3.194452887426176 -2.1474496847337337 2.1542628184026036 8.588602030210785 -5.56379869899974 0.852385069636644 0.9102465189594717 -5.175828225331219 1.5371808235531272 1.864007094566504]
10,56.564,489835.000,0.000,[0.826870246761275 -0.01454838829710825 -0.3623468779557948 3.4082990512558204 6.838740140918999 7.692085026465614 12.25867109836008 -6.884579845554887 -4.415717451716761 -2.9953349195972 5.757251948513918 -2.9916864932092864 0.36594583703962513 -4.42399302980977 -5.002579116576966 0.8176535649076988 1.9653675753362827]
11,50.477,514129.000,0.000,[3.3928290789002924 2.5964009442196714 -0.8843487830532322 -0.12716614179475894 6.650593111831405 1.0684428132945016 12.72352897259636 -2.8842274836147137 2.865697200091059 2.7159135344505927 8.878184690763485 0.11547166795107167 -1.203858599147737 -4.238755946562193 -4.845710560273673 0.14936089218628412 1.3919605381447333]
