RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=19, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 150
maxDropRem: 3
startingLines: 0
startingLevel: 18
========
MoveEvaluatorGroup used: Burns

iteration,time_taken,train_score,eval_score,vector
1,111.953,167014.000,0.000,[0.19301375501081763 0.3026850616522554 0.7465034541755301 0.03887168626492987 0.04973920346023952 0.9421904231152476 0.7937952407567974 0.28438697987873074 0.8369650252092496 0.186092812770565 0.27792669030803363 0.5590915129250816 0.009207527333577326 0.09024920210240295 0.1239907253791167 0.0694472283448645 0.37904895148264406 0.7108823553850473 0.689110545647529]
2,17.567,167014.000,0.000,[0.19301375501081763 0.3026850616522554 0.7465034541755301 0.03887168626492987 0.04973920346023952 0.9421904231152476 0.7937952407567974 0.28438697987873074 0.8369650252092496 0.186092812770565 0.27792669030803363 0.5590915129250816 0.009207527333577326 0.09024920210240295 0.1239907253791167 0.0694472283448645 0.37904895148264406 0.7108823553850473 0.689110545647529]
3,40.544,186785.000,0.000,[0.42966880912254773 2.118738473369901 2.9748717981204216 1.514877487753107 5.193861785068153 4.204905304550096 0.5633995796384305 0.9763184693665767 -1.6657968658502011 0.9038453644992299 0.7058236881841039 2.234974080863775 -0.1671475860177689 1.3965417339536965 -0.46170087816635075 0.0955353244131708 1.2419756645127342 -0.37434032625064795 -2.0633676680764736]
4,61.016,228142.000,0.000,[-1.201936366384113 5.89082200810617 -0.5719093402174578 5.260919244888742 5.931071143233137 3.298987932798662 4.520944085175019 -4.519043512321831 -3.1230989455713942 1.9116701986981666 0.2625247407343304 4.632435520874814 0.6338338010567637 5.607059691303151 -3.8501407106870618 0.34809473224132015 3.5995253222565484 -0.8891240054161966 -2.0438125461173096]
5,73.231,379389.000,0.000,[-1.6571416262732068 8.925110563318988 -3.8954893429139723 7.712679907147495 10.946816519774714 3.668195313032591 4.389793056703906 -1.3515554064326443 -9.05041276565749 3.604531467949193 3.5544721655900973 1.3122396003744397 3.5318137151408044 4.936398211151891 -7.8971862384519955 0.5293346535608991 1.8066164219935945 -4.4117554994558965 -6.002018188647774]
6,53.639,392851.000,0.000,[-1.2258559312624477 6.80491775227697 -4.364567796400726 6.784816416457505 9.34642566243009 3.585790978139897 6.548243158533127 -3.63308450876306 -11.557571898639008 5.430007619600821 4.5164567213991536 2.873126576398797 4.723619455829827 6.850340126748441 -10.28079282672433 0.4616054582966935 1.6746187176569052 -4.352204417180946 -6.09867061421126]
7,52.251,396687.000,0.000,[-1.278255794166212 4.475627670028821 -1.73723993109114 6.27151359510613 9.380774765953667 1.3858770402674772 6.42745645451906 -3.877011329098341 -3.8053804032916663 3.0351655432965785 5.283106566877248 0.7604660844798525 2.3153821541069397 4.031666138446583 -11.724775298219011 0.7597181127370898 1.8917450498111794 -5.1403753969360695 -8.839575000954365]
8,58.536,462215.000,0.000,[2.285195499867153 3.7949113497536047 3.9126540641479193 3.1648149113620576 5.682237056360631 2.582021797288937 6.1857213681023815 -3.0366617047504203 -3.0605054280936734 6.770046419980746 4.594557330490371 -1.7068254048898925 4.651323779681668 0.052016172729763 -15.029937536028896 2.229265693833128 -0.5612610354489034 -10.554897760513292 -8.537493879285254]
9,77.296,470231.000,0.000,[1.1790141097258058 2.610709296063776 1.4587838876590737 7.572155366961953 4.991259341593546 3.6066445502268807 6.68436582800525 -3.733721447447195 -7.854326210596611 9.85674382743056 7.275234596846607 -1.4917870793159493 4.739801858770011 0.9483207619156033 -18.127274986856847 2.0855946746061633 -1.4253504579439724 -10.21681143708278 -7.376308769534743]
10,68.521,488731.000,0.000,[0.5867064903487451 -4.297284565539034 1.6975067147233833 4.211648943738046 5.558803437150715 1.3613907664517224 7.706782753156999 -3.4366617047504198 -3.460505428093673 11.098574897902743 4.337973650447557 -1.306825404889893 6.8779131313712725 -2.002645086300052 -15.504449073834321 1.6525962632229503 0.2941533759149406 -9.78950956974581 -6.611437065744219]
