RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=24, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 3
numGames: -1
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: BothLinearAdvVar

iteration,time_taken,train_score,eval_score,vector
1,20.697,127527.000,0.000,[0.5117539769438514 0.03589767570426783 0.46267186245502356 0.6679221602480836 0.4895684092988971 0.9801030278412945 0.8712141266282967 0.07155455658399212 0.5892560511114999 0.13954561859208803 0.5848054527707688 0.7604170220218405 0.7749691644130626 0.7745373724393061 0.4617385777305475 0.4913757585511598 0.689873425061259 0.3476903253631304 0.0027435959606888494 0.18286118976578647 0.4333761700140215 0.3634683089450712 0.06755369599246464 0.026384498389582123]
2,11.751,127527.000,0.000,[0.5117539769438514 0.03589767570426783 0.46267186245502356 0.6679221602480836 0.4895684092988971 0.9801030278412945 0.8712141266282967 0.07155455658399212 0.5892560511114999 0.13954561859208803 0.5848054527707688 0.7604170220218405 0.7749691644130626 0.7745373724393061 0.4617385777305475 0.4913757585511598 0.689873425061259 0.3476903253631304 0.0027435959606888494 0.18286118976578647 0.4333761700140215 0.3634683089450712 0.06755369599246464 0.026384498389582123]
3,11.786,127527.000,0.000,[0.5117539769438514 0.03589767570426783 0.46267186245502356 0.6679221602480836 0.4895684092988971 0.9801030278412945 0.8712141266282967 0.07155455658399212 0.5892560511114999 0.13954561859208803 0.5848054527707688 0.7604170220218405 0.7749691644130626 0.7745373724393061 0.4617385777305475 0.4913757585511598 0.689873425061259 0.3476903253631304 0.0027435959606888494 0.18286118976578647 0.4333761700140215 0.3634683089450712 0.06755369599246464 0.026384498389582123]
4,9.467,178957.000,0.000,[2.049954828150035 0.052634880544032814 0.06072599612897356 0.09658324099603044 2.015589724222388 5.608072857758283 4.438603091667592 -4.367625332822222 -3.930835937587486 5.629681047694961 3.3578680915159924 -2.846151304210603 -0.8450604810299476 -1.6974101884190311 0.31085832524953755 2.0641321625183147 5.059345462042322 2.7774686631228933 5.457926467728322 -0.08016551437700037 -3.7935889943289425 1.4731441362217073 -4.585391656329243 3.328095908257339]
5,22.624,218712.000,0.000,[1.3795106684392375 0.009403909979059044 2.271159164526303 -1.6875870059912537 0.4552671221153024 7.409998103592946 6.681677269512708 -3.386980025969138 -2.2724545751009586 4.536932621418016 6.789293989311143 -3.5883637487472475 2.1354414477719867 1.171460896578692 -0.36841306264248314 1.399330256740444 3.2427086676960917 1.8064585558460908 7.566837021776862 -1.0395757160084327 -1.8460405094675854 6.881403702261184 -1.125585291701583 4.997637817355543]
6,24.177,218712.000,0.000,[1.3795106684392375 0.009403909979059044 2.271159164526303 -1.6875870059912537 0.4552671221153024 7.409998103592946 6.681677269512708 -3.386980025969138 -2.2724545751009586 4.536932621418016 6.789293989311143 -3.5883637487472475 2.1354414477719867 1.171460896578692 -0.36841306264248314 1.399330256740444 3.2427086676960917 1.8064585558460908 7.566837021776862 -1.0395757160084327 -1.8460405094675854 6.881403702261184 -1.125585291701583 4.997637817355543]
7,21.897,254389.000,0.000,[1.7060722617169404 4.2815102188639615 5.204063366530411 -4.0565989623791685 4.078274321535579 3.8820762261892923 7.297293150426048 -6.980656582344114 -4.309744516199806 11.15976514209517 11.065020852827711 -8.57735720085071 -1.3682355679962632 3.3215351878683768 0.8122842538374018 0.49955458909979966 -2.9399534182508074 2.892118504124699 7.408270256156925 -5.623175668700221 2.7004233516714216 8.999648633098593 1.5984219372488173 4.671981388677237]
8,21.449,267854.000,0.000,[4.49165658032367 3.357422087041634 2.8002735491271067 -5.171545464869466 3.938115431360101 0.6284047736065066 2.541332956685965 -7.466420671623576 -5.639353436308899 10.255672073451311 8.965352174167368 -8.147463637114477 -6.893163134346651 2.5367202693425535 0.5940558571131598 1.122352693450869 -5.517129003739346 1.1327483504646572 3.5354360056806935 -0.7029544418428904 -2.0087606892618974 4.5612893726010775 3.458880498263241 3.4411819536642065]
9,19.661,327047.000,0.000,[3.541950355110971 0.11571300074701174 2.6336049230189627 -6.384785497061639 4.978048012957388 3.797507380427927 3.2935548080403887 -2.862593208344949 -1.4681106465214553 12.717802412271872 9.252242527428999 -5.856914015567375 -1.0548092976698906 1.5802784087326511 -2.727472307870517 1.1776283719352925 -3.9052840257868553 -1.886434901819024 4.597175033045372 -2.274906225052657 -2.234045754264192 4.836020197331738 2.1517442813342544 4.8617358426310915]
10,17.616,327047.000,0.000,[3.541950355110971 0.11571300074701174 2.6336049230189627 -6.384785497061639 4.978048012957388 3.797507380427927 3.2935548080403887 -2.862593208344949 -1.4681106465214553 12.717802412271872 9.252242527428999 -5.856914015567375 -1.0548092976698906 1.5802784087326511 -2.727472307870517 1.1776283719352925 -3.9052840257868553 -1.886434901819024 4.597175033045372 -2.274906225052657 -2.234045754264192 4.836020197331738 2.1517442813342544 4.8617358426310915]
