RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 130
maxDropRem: 3
startingLines: 0
startingLevel: 18
averageAmount: 50
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,20.081,139779.000,0.000,[0.8505188273655806 0.982834735505093 0.20286740782347035 0.4593191473246623 0.21691873554320829 0.9753778985372564 0.5974396636993269 0.07629795836805275 0.5366604795219856 0.6725949406604431 0.26004437550751625 0.44880916004660776 0.9658577302005955 0.04883715730625615 0.6021468603427584 0.035681485264441926 0.8482383898754524 0.5121303687394094 0.4487783810460728 0.5809618275454346]
2,4.330,153588.000,0.000,[4.2615815773056145 -2.0209508257482467 3.209142784922581 0.44209027074404245 -3.2802319261788053 4.829356140773978 3.799239647062379 -2.9145395481494623 0.9013169058808461 -1.4300578155534027 2.782585326187463 -1.4984156470399839 -3.656281661464184 -0.7552483831898684 2.10142476954708 0.6893567171515835 0.39773666924153145 1.4680117914675428 -3.525874863566666 4.173547031383913]
3,11.566,309806.000,0.000,[4.905726842469142 2.4841066936423792 1.5852769133257438 -0.07377363462043629 -2.775145283201142 4.394615807783223 5.5251966319254375 -4.403258708747074 0.780524793797595 1.7273622337752945 -0.4282069623480602 -2.1983539783194437 -2.101404022018263 1.4920983615856276 -0.978671544818861 0.4194042600740655 2.45066866412217 -0.07282315559205277 0.9377682149106956 0.8420110974122843]
4,9.433,309806.000,0.000,[4.905726842469142 2.4841066936423792 1.5852769133257438 -0.07377363462043629 -2.775145283201142 4.394615807783223 5.5251966319254375 -4.403258708747074 0.780524793797595 1.7273622337752945 -0.4282069623480602 -2.1983539783194437 -2.101404022018263 1.4920983615856276 -0.978671544818861 0.4194042600740655 2.45066866412217 -0.07282315559205277 0.9377682149106956 0.8420110974122843]
5,8.052,370926.000,0.000,[4.05465384252431 1.3693085352865424 1.417535345399849 -1.435328785956328 -1.905909946935319 6.001475791317635 9.639294027940725 -3.963974446218944 -2.50364521701286 3.214016618039476 3.9236327716454737 -4.636071798697444 -1.3379586059765272 -1.2011804908788064 -1.8923922717556672 0.9327728813777556 -0.6222011730955783 1.1387105071065369 -0.1568717747394821 1.3086344998513586]
6,8.436,399866.000,0.000,[4.780989246324362 1.368434753861937 1.9453722268297204 0.9795136471495215 -1.1209833657129247 6.56504825708002 9.108520093857356 -2.2059425825154415 -4.9416457244511545 -1.4870670128513783 3.8838216380841137 -4.87867404025542 -4.278779361004048 0.05090414329103243 -2.99635610021863 1.1818313492127146 1.2349321154706967 1.5661919979068664 -0.4785306782699795 1.6198645491327408]
7,12.931,399866.000,0.000,[4.780989246324362 1.368434753861937 1.9453722268297204 0.9795136471495215 -1.1209833657129247 6.56504825708002 9.108520093857356 -2.2059425825154415 -4.9416457244511545 -1.4870670128513783 3.8838216380841137 -4.87867404025542 -4.278779361004048 0.05090414329103243 -2.99635610021863 1.1818313492127146 1.2349321154706967 1.5661919979068664 -0.4785306782699795 1.6198645491327408]
8,13.849,399866.000,0.000,[4.780989246324362 1.368434753861937 1.9453722268297204 0.9795136471495215 -1.1209833657129247 6.56504825708002 9.108520093857356 -2.2059425825154415 -4.9416457244511545 -1.4870670128513783 3.8838216380841137 -4.87867404025542 -4.278779361004048 0.05090414329103243 -2.99635610021863 1.1818313492127146 1.2349321154706967 1.5661919979068664 -0.4785306782699795 1.6198645491327408]
9,10.618,399866.000,0.000,[4.780989246324362 1.368434753861937 1.9453722268297204 0.9795136471495215 -1.1209833657129247 6.56504825708002 9.108520093857356 -2.2059425825154415 -4.9416457244511545 -1.4870670128513783 3.8838216380841137 -4.87867404025542 -4.278779361004048 0.05090414329103243 -2.99635610021863 1.1818313492127146 1.2349321154706967 1.5661919979068664 -0.4785306782699795 1.6198645491327408]
10,8.663,399866.000,0.000,[4.780989246324362 1.368434753861937 1.9453722268297204 0.9795136471495215 -1.1209833657129247 6.56504825708002 9.108520093857356 -2.2059425825154415 -4.9416457244511545 -1.4870670128513783 3.8838216380841137 -4.87867404025542 -4.278779361004048 0.05090414329103243 -2.99635610021863 1.1818313492127146 1.2349321154706967 1.5661919979068664 -0.4785306782699795 1.6198645491327408]
