RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 3
numGames: -1
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,27.422,145312.000,0.000,[0.06761093089377634 0.24872848427963978 0.036972307645540825 0.4082245167771503 0.9709765873363948 0.8906838959341197 0.5728792273599881 0.36856267259777553 0.40724086420454153 0.4003261299213775 0.2173873024184969 0.05109589790611058 0.7914035138628895 0.7761810652453457 0.023154127470620733 0.09835870243551359 0.5317667018773333 0.4030315039802559 0.32319523721806187 0.06571640377623267]
2,6.804,145312.000,0.000,[0.06761093089377634 0.24872848427963978 0.036972307645540825 0.4082245167771503 0.9709765873363948 0.8906838959341197 0.5728792273599881 0.36856267259777553 0.40724086420454153 0.4003261299213775 0.2173873024184969 0.05109589790611058 0.7914035138628895 0.7761810652453457 0.023154127470620733 0.09835870243551359 0.5317667018773333 0.4030315039802559 0.32319523721806187 0.06571640377623267]
3,10.241,162762.000,0.000,[-0.589987405128678 -0.36279937576329147 -1.4201841638263089 0.5236229613439607 -0.3193450623210117 2.5257412058948745 2.155029842697396 1.0389544862891904 1.5288127102766382 1.6422199657910492 1.1437521335030865 1.713750682555307 0.40206099119444527 1.3191498906086885 -1.6276933496588755 0.3636030026018684 1.7376721386051095 0.7727230268265425 -0.3230998610699575 0.5802931220952745]
4,15.464,173467.000,0.000,[1.8416418383864417 1.8967704767237432 -1.3795962135544737 -0.3179271609459313 -0.9351516503925259 4.195304565363856 5.1003840336245965 -1.8353178693669863 -2.486212835677604 3.9118667961611497 4.141048155859459 2.975182465756774 -1.709327579800572 -0.4233408790951656 -2.0378399059669094 0.4915920326407588 4.205118302382858 4.8324227269518865 -0.8831238582920622 0.8543848091568682]
5,25.841,246542.000,0.000,[3.333214429225542 5.641083963240241 1.9767006723343097 -0.8093281787912119 -1.9681980821271803 3.1058249397339277 6.589294750806031 -3.971688779957191 -3.079356773005392 4.685662038820235 -2.360016783587205 2.32654670633087 -2.319612563765929 -1.6549094445554333 -3.9472659872077536 0.3860858117901351 6.42039350893843 6.608168289036616 -1.8803983103204818 0.03321675572523297]
6,16.725,258903.000,0.000,[3.8435971676492056 8.480606431044759 -2.9913837186805043 -2.194842404341435 -3.943053848305642 8.604269645990584 9.829627112494647 -6.767776930107609 -6.613992609835934 10.74725168664542 1.5445923291541463 1.631214158949625 0.26845199910692896 -4.8740602503738 -3.151045041325362 0.06602888696617104 9.51897520683723 6.878374107455284 -2.1746438823821097 -0.25783664640655957]
7,16.496,260190.000,0.000,[3.1106186830327984 2.5474647339590204 -3.1076063595439845 -4.523634983736482 -1.9842415809965193 9.098796970877428 7.405120795982359 -4.077844239640674 -1.839324987264284 3.285995340473029 0.9451874581495092 -0.8724499035417992 2.7405192075704647 -0.5517805457987022 -3.767052860465962 0.7302561493469596 9.276208894694296 2.8751276795654217 -2.833483770194914 2.7160768668537716]
8,20.508,260190.000,0.000,[3.1106186830327984 2.5474647339590204 -3.1076063595439845 -4.523634983736482 -1.9842415809965193 9.098796970877428 7.405120795982359 -4.077844239640674 -1.839324987264284 3.285995340473029 0.9451874581495092 -0.8724499035417992 2.7405192075704647 -0.5517805457987022 -3.767052860465962 0.7302561493469596 9.276208894694296 2.8751276795654217 -2.833483770194914 2.7160768668537716]
9,21.829,331119.000,0.000,[0.6383951761787101 3.400331436760546 -1.8275965465078983 -4.127846424392192 -3.4731031930395897 9.852364067763174 5.811610256090349 -4.475696793202984 -3.1873644413436195 2.3751340028825725 4.7488494030351305 -0.16655535384909426 0.761377144117855 -3.299596990589113 -6.156617997936361 0.7108031567182025 9.718302706010492 -1.1294461273706855 -2.2577311835242386 2.57899256182702]
10,22.727,375777.000,0.000,[5.504930780737155 9.081528792658698 1.927956148820174 0.568441791278496 -3.091445227152894 8.755362884832554 7.18686391621352 -9.379913820821134 -4.505112878640867 6.981569620449696 2.9959646872094767 -1.8762841158719734 -3.028357415484609 -6.68971804152649 -8.408818185955049 1.064321552053464 10.978306592592592 5.263296946991581 -1.6680188091742187 -2.8035852165084445]
11,19.430,375777.000,0.000,[5.504930780737155 9.081528792658698 1.927956148820174 0.568441791278496 -3.091445227152894 8.755362884832554 7.18686391621352 -9.379913820821134 -4.505112878640867 6.981569620449696 2.9959646872094767 -1.8762841158719734 -3.028357415484609 -6.68971804152649 -8.408818185955049 1.064321552053464 10.978306592592592 5.263296946991581 -1.6680188091742187 -2.8035852165084445]
12,23.456,375777.000,0.000,[5.504930780737155 9.081528792658698 1.927956148820174 0.568441791278496 -3.091445227152894 8.755362884832554 7.18686391621352 -9.379913820821134 -4.505112878640867 6.981569620449696 2.9959646872094767 -1.8762841158719734 -3.028357415484609 -6.68971804152649 -8.408818185955049 1.064321552053464 10.978306592592592 5.263296946991581 -1.6680188091742187 -2.8035852165084445]
13,22.463,384446.000,0.000,[5.159790523383084 13.409575909415368 2.9913797012426446 0.062407484975953054 -1.9907896105970955 8.11013012836091 6.080405450125702 -8.000412785906835 -1.8851522675850112 10.705833770658666 7.44622128319206 -1.366777858047734 -1.2206402337478863 -7.218689665975107 -12.65201480205317 1.0299073445878086 11.812244189967652 7.208463006371957 -0.4684181813752992 -0.926550221468676]
14,21.527,419218.000,0.000,[6.832816585801206 14.215653943343996 2.9325227593259457 -2.173232930717168 -2.8534639040987053 8.313735486058661 6.473238885455091 -6.311712183649156 -3.273622230171574 5.733325281726356 6.044813592066193 -2.1752017843600733 -2.6727589008019437 -6.743462158913987 -11.347361571983303 1.2214472934604048 10.261193676122083 7.911348923658597 0.3126617525751165 -0.05770343997077543]
