RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=22, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 100
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: WellLocationsNotBoth

iteration,time_taken,train_score,eval_score,vector
1,18.761,130926.000,0.000,[0.8039610523400527 0.4890777563494896 0.638073603273351 0.5842238232048448 0.09512220190076837 0.8562736147535458 0.3441996056890366 0.4237350733920432 0.5147382057784249 0.9728648581026458 0.38715466079733996 0.3172815084493501 0.8831676873409819 0.09234966006733625 0.3144724948345736 0.0934190387623145 0.10743653714035362 0.4637937913402156 0.3660760156319567 0.3501300542540875 0.18740794262635574 0.967142473975132]
2,3.256,141917.000,0.000,[2.1661006458965884 4.860066987386727 5.129896677771925 2.018822408822483 2.5152846764297387 2.660243048960892 4.627419134516876 -2.051414617113669 -1.1413762300653758 3.551736580743465 0.32831002314137914 -0.6716592682933742 -2.8154296126528076 -3.0247754792851103 -1.8097510955993306 1.0928884220642503 4.118742096574808 2.1451514213423057 -0.10468850257927398 0.7194241524133412 4.3554042839141225 -3.284899437372148]
3,10.213,332778.000,0.000,[1.2199133190741827 4.40431459599088 1.8974285686725514 4.677113262779185 1.1721707523094826 3.9156800128334406 2.6369893813905314 -1.077176223639489 -0.8042728458283257 1.430610092731261 3.2070455657962342 -0.2512189677377477 -4.279536452818933 -4.331267562650369 -4.260813749083554 0.8409220217166855 1.5002824776137684 2.4656215958866143 -2.6681380953527167 1.99502467471596 5.073736398240304 -1.9313842770257497]
4,13.461,379398.000,0.000,[4.7914535296621406 4.8143313599319235 5.816393629388719 2.3968276597134057 3.546877087496884 6.662706642580876 3.9957448701912286 -5.706339966599629 -3.93039912008292 3.640579028791608 6.231400752979062 -0.6146715339963746 -8.86758577617209 -6.748769129759813 -7.387958538593256 0.6877977780928306 7.782879554996434 -0.9275440572136331 -0.22827312804169386 3.6690877565754576 9.804659805689687 -3.6144513833688183]
5,12.782,379398.000,0.000,[4.7914535296621406 4.8143313599319235 5.816393629388719 2.3968276597134057 3.546877087496884 6.662706642580876 3.9957448701912286 -5.706339966599629 -3.93039912008292 3.640579028791608 6.231400752979062 -0.6146715339963746 -8.86758577617209 -6.748769129759813 -7.387958538593256 0.6877977780928306 7.782879554996434 -0.9275440572136331 -0.22827312804169386 3.6690877565754576 9.804659805689687 -3.6144513833688183]
6,12.052,379398.000,0.000,[4.7914535296621406 4.8143313599319235 5.816393629388719 2.3968276597134057 3.546877087496884 6.662706642580876 3.9957448701912286 -5.706339966599629 -3.93039912008292 3.640579028791608 6.231400752979062 -0.6146715339963746 -8.86758577617209 -6.748769129759813 -7.387958538593256 0.6877977780928306 7.782879554996434 -0.9275440572136331 -0.22827312804169386 3.6690877565754576 9.804659805689687 -3.6144513833688183]
7,13.445,379398.000,0.000,[4.7914535296621406 4.8143313599319235 5.816393629388719 2.3968276597134057 3.546877087496884 6.662706642580876 3.9957448701912286 -5.706339966599629 -3.93039912008292 3.640579028791608 6.231400752979062 -0.6146715339963746 -8.86758577617209 -6.748769129759813 -7.387958538593256 0.6877977780928306 7.782879554996434 -0.9275440572136331 -0.22827312804169386 3.6690877565754576 9.804659805689687 -3.6144513833688183]
8,11.651,414400.000,0.000,[1.945397321310426 6.743272483898775 6.484861015783551 7.431971173718045 6.070397086803034 11.278543692779376 5.946683389259283 -1.3779412281080718 1.0731778827043277 4.808815758723592 10.799156534713383 -1.6439658210798362 -9.7676654933837 -4.9654312407204895 -10.016149810105357 1.0095237075840608 7.954553394748102 -1.0524950258057495 -1.6201121110993877 -3.061568766019774 13.35440565147369 0.6697960985602824]
9,13.080,416970.000,0.000,[-0.33697308423451333 8.398511316797935 6.212378809341927 5.2872157424639745 4.009851840310128 5.983938909710195 4.383368759532662 -1.853093296331786 2.3253495335765315 -0.4511367039999872 3.15719425040099 0.4579448202244871 1.1342124207672875 -5.656013201748358 -9.164093667341193 0.7071413190944629 5.570734351857297 -1.7324566997351316 -0.7589966925999349 -2.465276228868595 12.206283997514035 2.0456655383946494]
10,14.103,423856.000,0.000,[-1.9144196120452994 5.1523252757533164 6.191951636146186 3.5089050076346417 4.874018934604161 10.401885460859166 12.283548750322693 -3.01244679923413 2.516286890100082 3.543081971763197 7.12334467940692 -1.5431054664638637 -15.50904233562818 -7.19400477539722 -14.603185918982945 1.9500201239803054 7.145245341479022 -2.6843214541010045 -4.015888825192854 2.151750189835056 15.3153191259781 -3.1688562338607635]
