RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 80
maxDropRem: -1
numGames: 100
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,7.389,124948.000,0.000,[0.03992741164400038 0.4524332546140979 0.6565020497716292 0.263678987350487 0.8085446136459109 0.8458466078695641 0.4986600291306226 0.03896246723624708 0.9579810537527154 0.8849922976338894 0.9159339338511222 0.6417248854983482 0.34339190574521505 0.5046354285068495 0.1879995998263604 0.007983050958300764 0.40871477582771 0.8638973225474902 0.16041349934076732 0.48657903789672863]
2,2.063,124948.000,0.000,[0.03992741164400038 0.4524332546140979 0.6565020497716292 0.263678987350487 0.8085446136459109 0.8458466078695641 0.4986600291306226 0.03896246723624708 0.9579810537527154 0.8849922976338894 0.9159339338511222 0.6417248854983482 0.34339190574521505 0.5046354285068495 0.1879995998263604 0.007983050958300764 0.40871477582771 0.8638973225474902 0.16041349934076732 0.48657903789672863]
3,2.970,124948.000,0.000,[0.03992741164400038 0.4524332546140979 0.6565020497716292 0.263678987350487 0.8085446136459109 0.8458466078695641 0.4986600291306226 0.03896246723624708 0.9579810537527154 0.8849922976338894 0.9159339338511222 0.6417248854983482 0.34339190574521505 0.5046354285068495 0.1879995998263604 0.007983050958300764 0.40871477582771 0.8638973225474902 0.16041349934076732 0.48657903789672863]
4,1.851,124948.000,0.000,[0.03992741164400038 0.4524332546140979 0.6565020497716292 0.263678987350487 0.8085446136459109 0.8458466078695641 0.4986600291306226 0.03896246723624708 0.9579810537527154 0.8849922976338894 0.9159339338511222 0.6417248854983482 0.34339190574521505 0.5046354285068495 0.1879995998263604 0.007983050958300764 0.40871477582771 0.8638973225474902 0.16041349934076732 0.48657903789672863]
5,2.496,134521.000,0.000,[0.5574036576082451 2.416905095675685 0.7777622270951142 3.540377669065607 1.5575308713535718 3.0197305220069377 2.2662927718890318 -1.723978653515449 0.18072495965226498 0.5110017386298135 0.5142221716942337 0.452209706915629 -3.293017055947126 0.8739191307668801 3.0679436798818096 0.2685576344588627 0.6233041556799752 6.196430095400697 -0.3800425415349773 -0.08481901880668996]
6,3.566,151016.000,0.000,[-2.876186285674503 2.97769726764563 0.17224266145925582 4.2163594615901205 1.1967147621518457 5.787455158992542 -1.8616637849417592 -5.213714495367848 1.581445760098548 -1.3529308558337974 3.3672598738524497 1.835795970361813 -2.7506912462414275 1.2343536049990318 -0.1395605469205572 -0.0973569646163785 1.611193870133866 2.626669857771382 -2.498338876540618 1.9546929763359784]
7,4.978,178357.000,0.000,[-4.217481514522242 5.016843294649304 -0.6850585002011202 8.816359461590121 0.1513210339958484 9.836021619211696 -1.1540995402583358 -8.786648229794139 4.16153906236921 -5.952930855833798 7.96725987385245 3.190565027533781 -4.344102955727946 5.834353604999032 -4.739560546920558 -0.045970080378907485 1.4834845706437032 3.188804811338157 -5.580936912361663 6.5546929763359785]
8,5.024,189797.000,0.000,[-5.4514731250621615 6.892857639492684 -1.4737755689286662 13.048359461590122 -0.8104411959076692 13.560702762613317 -0.5031404351495864 -12.073747265466327 6.5352249004582195 -10.184930855833798 12.199259873852451 4.436952560131991 -5.810041728455543 10.066353604999033 -8.971560546920559 0.001305853119565846 1.3659920151127536 3.70596896861959 -8.416927105317026 10.78669297633598]
9,5.045,223978.000,0.000,[-3.5555735586556954 8.256060400542363 0.983383889854816 6.7719077010175175 -1.216523697901593 11.32507336265047 3.4046170280316512 2.3467659076972742 5.79921276312226 -1.9974835362243772 5.242474838952893 3.8673679439233495 -2.215541947348825 9.659368303757468 -10.653265043866966 0.7596792692747046 -1.2924943150020294 5.198870460655909 -4.990527543014438 11.436648176706212]
10,5.244,269072.000,0.000,[-1.8705701259283467 12.246786949055119 0.6465869278726899 8.134073862924033 -6.273082653608319 13.639725722929384 5.06239237192591 -6.806414266674427 8.496565038469498 -2.430047421925833 18.41003918792029 4.046991847833945 -5.175545834359209 14.209181797542005 -15.138948811918269 1.1691401789607 -4.413179913622079 6.8119577779242855 -4.3742792961430235 15.693610869023875]
11,5.057,293188.000,0.000,[-1.2876818164142847 11.993860090190024 0.3218435758783882 7.525552065529407 0.2911795405099866 13.072454628989812 9.242627978829201 -2.5550825491123 12.163102106910276 1.8701122233603922 16.44273716684226 3.0396590297638904 -5.949369991279491 17.58949799662755 -18.33440346651424 1.5651781009171442 -2.123983008825981 7.677913043573135 -5.27189883756901 18.447771431044487]
12,5.485,336976.000,0.000,[0.977060377582541 12.133458469007309 1.5958802145631115 3.239710481172026 -1.6598508454821062 11.88947594571416 7.9544828577496105 -0.20434920459323358 16.233397286803488 2.055366461307674 20.24008958113967 3.5312820931927247 -1.523488282491801 9.50088249745874 -18.478813436480557 0.9469310467930545 -0.2875978160938897 3.7663541354953884 -5.115889546783148 9.638710317250474]
