RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 230
maxDropRem: 2
startingLines: 130
startingLevel: 19
averageAmount: 50
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,86.937,131280.000,0.000,[0.18156883701919413 0.9813564134806843 0.24115917431155975 0.7954825153390016 0.7226258519071809 0.7604888415868113 0.4506745740999304 0.13712077669006195 0.7557662925613957 0.5254420799075241 0.0709883532516693 0.6579755233111455 0.49624535978110984 0.969360618799421 0.1798106876526121 0.019876853882839995 0.44336504555854295 0.9499283818055405 0.7838259754565263 0.9232328528744655]
2,22.051,166536.000,0.000,[-3.1238444972037276 2.655855320541219 3.0820402215396556 -2.9437419508635525 -3.993039954644747 3.170789986756981 -2.26794250881526 -2.559554557043912 5.066090207515145 1.079974312684433 0.7755375399543263 2.1963340912724103 2.766341033354025 0.9168572146862486 -1.7656390393385886 0.18416119958273125 3.368492867121855 4.43157712725581 -0.9473095228278079 3.195519148732063]
3,53.957,173081.000,0.000,[-1.8234654687761434 3.4754929555562857 2.4768934196092625 -0.7927835889380864 0.6783002956503168 5.139327416520091 -3.2100770769606357 -0.4807596336576392 3.89312617443603 1.1500151043944973 4.168541947483342 -0.06164827933971484 0.4744311307632506 3.3637492656741914 -3.205314827712693 0.8542345337876585 2.0658702982138037 1.283566974109549 -2.4316222054008914 2.3804149299388646]
4,60.228,200322.000,0.000,[-0.4423418204790406 3.9640240462647327 8.496566924273184 -5.478355087396921 -1.9951338355578763 3.2546354242306785 -3.1693089536366736 -4.249574042177529 6.8833501853081 3.065135541392961 4.550720449981785 -3.675338677837941 0.7308121316751335 3.7763908839820437 -5.090854047054675 1.8327750571833983 2.076857916602876 3.2820409373582584 -7.205725414182338 8.225888167293087]
5,61.818,293901.000,0.000,[4.727292780213391 0.15296315050328424 4.826576521447406 -5.2632196794202555 2.2073606931843104 4.537239651832176 -5.25106989855188 -5.825732393753777 4.701145045668402 4.224850877869629 8.525094608350024 -7.1624563535403345 -3.2834706192272014 5.331909217626633 -2.313113618667754 1.4884976519942512 -3.316181549233777 4.4414171617058535 -2.9703574788969016 -1.321889840623335]
6,46.619,293901.000,0.000,[4.727292780213391 0.15296315050328424 4.826576521447406 -5.2632196794202555 2.2073606931843104 4.537239651832176 -5.25106989855188 -5.825732393753777 4.701145045668402 4.224850877869629 8.525094608350024 -7.1624563535403345 -3.2834706192272014 5.331909217626633 -2.313113618667754 1.4884976519942512 -3.316181549233777 4.4414171617058535 -2.9703574788969016 -1.321889840623335]
7,42.835,293901.000,0.000,[4.727292780213391 0.15296315050328424 4.826576521447406 -5.2632196794202555 2.2073606931843104 4.537239651832176 -5.25106989855188 -5.825732393753777 4.701145045668402 4.224850877869629 8.525094608350024 -7.1624563535403345 -3.2834706192272014 5.331909217626633 -2.313113618667754 1.4884976519942512 -3.316181549233777 4.4414171617058535 -2.9703574788969016 -1.321889840623335]
8,50.841,293901.000,0.000,[4.727292780213391 0.15296315050328424 4.826576521447406 -5.2632196794202555 2.2073606931843104 4.537239651832176 -5.25106989855188 -5.825732393753777 4.701145045668402 4.224850877869629 8.525094608350024 -7.1624563535403345 -3.2834706192272014 5.331909217626633 -2.313113618667754 1.4884976519942512 -3.316181549233777 4.4414171617058535 -2.9703574788969016 -1.321889840623335]
9,53.581,349762.000,0.000,[2.9211011050828146 -0.08215876047534154 7.240486921669116 -4.499821351290141 2.3167597278044902 3.8823484792305702 -1.875007845731659 -5.120853756873197 7.770806971677072 7.0030758855493485 11.405181193999681 -6.223052678171495 -3.5929896586274643 4.639311936939151 -4.841999883665913 1.3267952148230369 -3.4502310695414993 4.898248954882836 -1.4913396147141063 -2.15609291732161]
10,57.870,368186.000,0.000,[-7.161231263620385 -2.1796879707305843 6.428817757222918 -10.585704291581214 8.84333659321146 6.030148486929665 1.3973526270153651 -2.441225778814971 8.688281506135652 8.909939532692498 12.037434701176728 -9.706571601978302 -8.670805926537204 5.103267797781702 -5.6144304644242045 2.008169337737878 -1.203353552169908 7.957401360410628 -3.9033205971804072 -3.594305927930021]
