RunnerSettings(num_particles=96, num_neighbours=99, iterations=3600, dimensions=17, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 150
numLines: 230
seed: -1
startingLevel: 19
startingLines: 0
========
MoveEvaluatorGroup used: Normal

iteration,time_taken,train_score,eval_score,vector
1,18.782,282720.000,0.000,[0.858086545502287 0.5327640340876367 0.13267203499388858 0.10212349186016034 0.10695407596477802 0.6522821792131416 0.7085880061413286 0.13634876818617958 0.001989127124319756 0.5634431712587343 0.21157262187548576 0.5324330256414603 0.27102963351429943 0.5610913384475255 0.1557817561915038 0.013137567068066902 0.7718826936679177]
2,2.411,367099.000,0.000,[0.029948811569610934 2.9538428546046296 0.3002430262621955 -4.139080772879929 -2.348285213137156 2.69606864929847 1.038489856226144 -4.311067910092314 0.7825260557063864 -2.157582365458689 3.497694350971544 4.84206057934057 2.7726454817972943 -2.742557211097553 -4.001872285916618 -0.14741795142640046 1.977307953797804]
3,8.240,703023.000,0.000,[1.2388310132947153 2.448239626289339 3.2668166813376613 -0.2577741546798764 0.28756544509602355 3.399440985728427 -0.5400793133465509 -6.135628758396452 3.8335337442896003 -1.0058229008398172 1.3484329268369266 1.3799027799023418 -0.670556978046636 -4.502175503015334 -5.607962587017878 0.4427027977266612 4.419898393395558]
4,10.121,798348.000,0.000,[-0.02982818668487086 6.699686825218171 3.576114676094684 -3.7168232067690483 -2.928287144578425 7.428986114099271 6.446287009388593 -10.655687316889455 0.9140578961970478 -5.542594873166155 3.3883793479812527 1.4713100851364311 -0.24026472590565984 -7.024093501703943 -9.40568540271937 0.6483503437991387 5.973873290557698]
5,11.482,798348.000,0.000,[-0.02982818668487086 6.699686825218171 3.576114676094684 -3.7168232067690483 -2.928287144578425 7.428986114099271 6.446287009388593 -10.655687316889455 0.9140578961970478 -5.542594873166155 3.3883793479812527 1.4713100851364311 -0.24026472590565984 -7.024093501703943 -9.40568540271937 0.6483503437991387 5.973873290557698]
6,9.389,798348.000,0.000,[-0.02982818668487086 6.699686825218171 3.576114676094684 -3.7168232067690483 -2.928287144578425 7.428986114099271 6.446287009388593 -10.655687316889455 0.9140578961970478 -5.542594873166155 3.3883793479812527 1.4713100851364311 -0.24026472590565984 -7.024093501703943 -9.40568540271937 0.6483503437991387 5.973873290557698]
7,12.817,846239.000,0.000,[0.22040358038712687 6.216509721987492 5.991448193028006 -3.1293134743197912 -2.470247049911311 6.012922634409945 5.786850283988901 -7.711318093034146 3.031418563030604 0.07910558398122003 3.342650896885135 0.709264198555501 -0.09934315937356053 -4.285258517561905 -13.731642152178434 1.1610930611373105 6.283539177903829]
8,11.289,846239.000,0.000,[0.22040358038712687 6.216509721987492 5.991448193028006 -3.1293134743197912 -2.470247049911311 6.012922634409945 5.786850283988901 -7.711318093034146 3.031418563030604 0.07910558398122003 3.342650896885135 0.709264198555501 -0.09934315937356053 -4.285258517561905 -13.731642152178434 1.1610930611373105 6.283539177903829]
9,10.843,849237.000,0.000,[-0.10885448756966465 6.356968850913545 6.079810194664397 -5.241021665717984 -2.983146810521938 3.8753856559483344 4.528780264069634 -6.8484258409088286 1.0967063711896063 2.189169829957511 5.2314006821511505 1.5514794193308807 -3.4292310788093516 -7.480461939720245 -12.935615088101677 1.1424384428095027 3.5760467524314206]
10,11.881,863308.000,0.000,[0.09399433847851357 6.9784953465805915 6.915848933615477 -5.828982896841504 -3.6317089839701406 12.748664506456771 5.681591260999159 -5.9576335499378 -1.0175417166743794 -0.26448349616447686 4.369028784800844 1.783494575969672 -0.4862789288288414 -6.007845548437104 -14.30136393729526 1.036154348060547 8.39830526578438]
