RunnerSettings(num_particles=96, num_neighbours=99, iterations=3600, dimensions=17, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 33
maxDropRem: -1
numGames: 100
numLines: 230
seed: -1
startingLevel: 19
startingLines: 0
========
MoveEvaluatorGroup used: Normal

iteration,time_taken,train_score,eval_score,vector
1,12.495,288280.000,0.000,[0.37119392082679303 0.8595441511928311 0.06027071540091411 0.030871567877935546 0.9860649303751486 0.9341294905833166 0.8219993754330416 0.044399462902268594 0.905267977906111 0.7790483973585264 0.6871246942718185 0.667667339845064 0.07063914110116887 0.6877358238049989 0.789579774670045 0.0921379587378457 0.5744588787677125]
2,2.335,289950.000,0.000,[-0.43443641410778444 4.750721348118185 2.223024780766082 -2.62504076719142 4.607473653622259 5.065734575116908 -3.3106203390347186 -1.48104713496187 0.030754479661876 4.165647423050068 2.659955017551538 -3.3681521444773552 2.455704064099728 1.6514642783797127 -2.043117651602327 2.8495297084828892 0.7305984662339036]
3,8.151,549093.000,0.000,[-1.7034060072924597 1.7765256253686368 1.3632117027933899 -1.8858116016950337 3.9416191883752805 1.8389840215431992 -2.035879963610991 -1.1570767081360644 2.6121183593095574 5.857835360498408 3.1306928760673505 -5.0035087014791655 4.1464915645363085 -1.5487085577593054 -2.6224373924938993 1.3469082422402583 -0.5936388921997726]
4,5.598,623844.000,0.000,[-6.327783406647908 8.599714942990007 2.1601655548847933 1.9454843919571214 7.508605232316273 6.441351045484625 1.0758121949802812 -5.487740914790239 -3.333767618127733 8.753547601308396 4.223187183544021 -9.41851648840295 7.255158638288199 1.1219732715868669 -7.279155395631243 1.7231906372762058 -0.013347304360160628]
5,5.859,644038.000,0.000,[-9.699659186736884 7.379966874049953 1.5163274455430285 -5.688983208659931 11.143743236104115 10.541295984610231 3.782926991984097 -7.312229316629585 -0.6981933936501683 12.624491660999531 11.292842550701442 -5.529771396863079 11.533257973760833 -0.5007936099152408 -5.738613020375004 1.0627293108521538 2.609771991180854]
6,6.869,817336.000,0.000,[-13.243872672869667 11.96692634583271 -0.5271732355636916 -1.384343471375895 12.64548960504802 14.893882902435049 8.347673361411855 -7.855882353283992 -3.131820119054311 -2.1455033079992365 13.66935126267904 -9.216711762718804 10.397859744455623 -0.2826073612066755 -8.884175827244814 1.3884198643563384 -0.6393535151199279]
7,8.831,817336.000,0.000,[-13.243872672869667 11.96692634583271 -0.5271732355636916 -1.384343471375895 12.64548960504802 14.893882902435049 8.347673361411855 -7.855882353283992 -3.131820119054311 -2.1455033079992365 13.66935126267904 -9.216711762718804 10.397859744455623 -0.2826073612066755 -8.884175827244814 1.3884198643563384 -0.6393535151199279]
8,8.938,876379.000,0.000,[-11.110928648791884 11.698757325628137 -0.6714679229230249 -3.6144224710271358 17.29124094281891 12.88653684932168 9.804675743587373 -10.368531752741747 -4.755170084599939 4.87336966424734 16.11846979435314 -13.790855439008544 7.854611211034188 -3.578123472258378 -13.46535150643988 2.350900269544723 1.9131606556134129]
9,8.183,930025.000,0.000,[-8.266894866121783 8.326259334596198 2.422905646402958 -7.1661556260685035 14.830311235707581 7.271139493966496 9.37661063331943 -5.3532275222285595 -6.456550719347796 5.564881658625258 12.870322436432932 -2.9829832444914492 5.463595301450502 -7.4861888451196545 -11.395023397666826 0.7938227959593034 2.074138979759779]
10,7.389,930025.000,0.000,[-8.266894866121783 8.326259334596198 2.422905646402958 -7.1661556260685035 14.830311235707581 7.271139493966496 9.37661063331943 -5.3532275222285595 -6.456550719347796 5.564881658625258 12.870322436432932 -2.9829832444914492 5.463595301450502 -7.4861888451196545 -11.395023397666826 0.7938227959593034 2.074138979759779]
