RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=24, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 2
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinearAdv

iteration,time_taken,train_score,eval_score,vector
1,5.298,120462.000,0.000,[0.6989587802046148 0.9551652202276566 0.3117054305776795 0.020416373807717214 0.27536492546593894 0.9934377984139098 0.9439763297609468 0.31698598538719536 0.04103933739945109 0.8037631782220177 0.33757205035252213 0.5055568357118038 0.5058147376133681 0.8063733787268612 0.6673734549368315 0.02488105252502537 0.8917064506882154 0.7853747537277553 0.5397952178505883 0.8237651933435391 0.3417437933595261 0.03829023574290835 0.32447942597006485 0.0689731902874815]
2,2.033,127000.000,0.000,[4.3959267247282705 4.6942977660428475 4.3576244915960185 -1.182004899864944 0.8756852958679225 2.4669084168123745 -1.5534694280322772 -0.20063561498159566 2.9035974779848592 2.5111230916434777 4.07182004157148 0.9800309642325884 1.4808133053118684 2.6386541699496036 -3.218705881123456 1.6010885837063287 2.7046201158757808 1.4689186470533357 0.12714725638490815 -2.898890028056219 3.9759212423273356 0.2799013784900193 0.4983914441515299 3.2297963907370577]
3,3.441,136539.000,0.000,[7.474860174607606 3.561911029292389 3.912764691243612 -2.2434884882419794 1.4649537151841483 4.543146623778914 0.44234274253497974 -1.9730276362813797 1.5624655442075697 1.3732426796841088 4.770653483795773 1.9938425286147496 3.553610461623043 1.2359824333470883 -0.28315007194665043 1.1661064781940076 -0.14459379023853947 -1.8217880187875055 -0.9565073276695613 -4.055079105724454 6.938293057668111 3.5068699900215243 -1.3164704886972949 1.0734029795717208]
4,4.448,174719.000,0.000,[2.177743252969443 0.27987054785408905 2.2603923510876527 -5.084887498810501 -1.464959496583723 7.313981557924203 1.168725907163322 0.7123048153397616 5.420806387382788 1.543391660827585 6.770070327052864 -1.9779967762446664 5.9039599581565705 -2.668639934973855 3.709927161247057 0.3474850027736138 -1.5387148404257598 -2.936284824589902 -2.7941998706658375 -2.7967463028053126 1.467264769942065 -2.4691219595063103 0.28550118933605617 -0.4786861013601609]
5,3.311,206076.000,0.000,[5.905798956086613 1.874245927310807 4.770216271770121 -9.363185480903564 -2.1072347009464645 10.411004600708111 1.8420551943845154 0.24987155483652845 3.5992893492154474 4.057952686634173 5.4526881543171175 -0.4167407533620646 5.417272188911434 -3.106433159566201 -1.1482575050704886 -0.14107206103092662 3.0451695997891948 -4.133137460986074 -1.582234484683398 -5.392648849857906 3.587805800495971 2.0643466470891987 -1.0357172826432857 -2.2040826011650845]
6,2.899,206076.000,0.000,[5.905798956086613 1.874245927310807 4.770216271770121 -9.363185480903564 -2.1072347009464645 10.411004600708111 1.8420551943845154 0.24987155483652845 3.5992893492154474 4.057952686634173 5.4526881543171175 -0.4167407533620646 5.417272188911434 -3.106433159566201 -1.1482575050704886 -0.14107206103092662 3.0451695997891948 -4.133137460986074 -1.582234484683398 -5.392648849857906 3.587805800495971 2.0643466470891987 -1.0357172826432857 -2.2040826011650845]
7,4.022,206076.000,0.000,[5.905798956086613 1.874245927310807 4.770216271770121 -9.363185480903564 -2.1072347009464645 10.411004600708111 1.8420551943845154 0.24987155483652845 3.5992893492154474 4.057952686634173 5.4526881543171175 -0.4167407533620646 5.417272188911434 -3.106433159566201 -1.1482575050704886 -0.14107206103092662 3.0451695997891948 -4.133137460986074 -1.582234484683398 -5.392648849857906 3.587805800495971 2.0643466470891987 -1.0357172826432857 -2.2040826011650845]
8,4.176,206076.000,0.000,[5.905798956086613 1.874245927310807 4.770216271770121 -9.363185480903564 -2.1072347009464645 10.411004600708111 1.8420551943845154 0.24987155483652845 3.5992893492154474 4.057952686634173 5.4526881543171175 -0.4167407533620646 5.417272188911434 -3.106433159566201 -1.1482575050704886 -0.14107206103092662 3.0451695997891948 -4.133137460986074 -1.582234484683398 -5.392648849857906 3.587805800495971 2.0643466470891987 -1.0357172826432857 -2.2040826011650845]
9,3.817,206076.000,0.000,[5.905798956086613 1.874245927310807 4.770216271770121 -9.363185480903564 -2.1072347009464645 10.411004600708111 1.8420551943845154 0.24987155483652845 3.5992893492154474 4.057952686634173 5.4526881543171175 -0.4167407533620646 5.417272188911434 -3.106433159566201 -1.1482575050704886 -0.14107206103092662 3.0451695997891948 -4.133137460986074 -1.582234484683398 -5.392648849857906 3.587805800495971 2.0643466470891987 -1.0357172826432857 -2.2040826011650845]
10,3.603,206076.000,0.000,[5.905798956086613 1.874245927310807 4.770216271770121 -9.363185480903564 -2.1072347009464645 10.411004600708111 1.8420551943845154 0.24987155483652845 3.5992893492154474 4.057952686634173 5.4526881543171175 -0.4167407533620646 5.417272188911434 -3.106433159566201 -1.1482575050704886 -0.14107206103092662 3.0451695997891948 -4.133137460986074 -1.582234484683398 -5.392648849857906 3.587805800495971 2.0643466470891987 -1.0357172826432857 -2.2040826011650845]
