RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 100
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinear

iteration,time_taken,train_score,eval_score,vector
1,5.337,128162.000,0.000,[0.8173652564277513 0.5059939168762053 0.6745743177060116 0.9055393829630867 0.8606946823964857 0.9289126656967909 0.07451729843704835 0.10478193875739039 0.039538948904215054 0.6413209745401501 0.8191491131861613 0.7886948977336622 0.03595664180521052 0.7271242167291647 0.440492341020716 0.06117827338501891 0.02586652733910988 0.08993716335556523 0.717193309069843 0.9246344200846688]
2,1.664,146098.000,0.000,[0.19740684193787805 -1.2106645854527844 3.6113275037522508 -2.6291406582936196 3.0308605606804253 3.3042896458626982 0.11662426478311849 -4.283040207032935 2.437808092121571 2.9900941470438043 4.109844720812826 4.219207687911732 -3.3032154295384393 5.002806403861931 -0.7052413590101442 -0.5264749070115148 1.633024426928452 -0.9981140307264155 1.3254839867039423 4.220999314302031]
3,3.201,148575.000,0.000,[3.426829404793494 -0.508945042681689 -0.16856921379231427 -2.528686200281235 0.9321188766033508 3.6035384395578474 -0.017095903771416343 -8.284136882146381 4.571785931855362 1.1657824339331584 5.96054326039572 2.769289307966372 -0.7261514975726993 3.191156589840529 -1.437906352150844 0.5126670057008211 3.036003535640031 0.5046397848635653 -3.3080698957303163 4.052557954607607]
4,3.784,152431.000,0.000,[0.29749792615262494 -1.4184536938717205 -4.399678034829882 -3.9893718522694437 5.01839587277212 7.992005643750738 -4.50035352243476 -6.876386169820589 7.408865383373381 0.6673942839476539 10.543158840419306 4.649899137837773 -3.128247081003162 1.9466065802978287 -2.624229145952424 1.0636092006764033 4.447917452309157 0.6376267133487046 0.09522063288817684 9.4880831339212]
5,4.507,175803.000,0.000,[-0.9839496321715471 -0.45181733189705175 -6.269943751954218 -1.6745655551076508 5.802645149539964 7.4327296572146215 -3.6829211633991745 -1.3652859152208956 6.920471536638866 2.0209724392901274 10.95408401131007 -0.8957377559673003 1.9744145844239558 -1.0319207099502146 -3.4099776903827497 1.1598172267066138 5.928959596721086 -3.627818529884457 -4.76608773850365 4.900776281979242]
6,3.910,222134.000,0.000,[-1.2918315928835065 -1.5711368780178123 3.7745967618834375 -5.883128152917928 9.692598240239636 11.835028580285456 -8.34334000561131 0.2859949376344795 11.126507103806336 -6.869505394455466 8.477551790941698 -2.3319890785602833 6.341461419366526 -2.440168276416945 -6.873789068320635 1.3475893788557025 8.713527752386842 0.5805244189101693 -6.129947999069675 4.802866726520614]
7,2.862,231462.000,0.000,[-1.0221628129110538 1.140538139607714 0.307327139530857 -3.011770445167661 7.750477085555967 6.7419941484230534 -0.111523940816729 2.9852029332136762 2.5505142477423477 -3.245263030327223 9.286609873429597 -5.786936709379783 3.4555718091749434 -1.9078103819602563 -7.851708795558402 2.1555077779398335 -0.3597566204240037 -1.3838607264626166 -6.825456362120342 0.12238282188204419]
8,3.521,245605.000,0.000,[-1.9375630094387764 1.4769791263695788 4.861249874986629 -3.022828442367688 12.926799208861347 14.811648547292348 -6.206586432393474 3.7181476848970707 7.000717119522614 -7.056334512201497 12.252639780118024 -3.9787947609625363 4.512575740079425 -6.556186365669392 -8.753064048536332 2.027595147541584 7.602409050299391 1.292766936913456 -7.538662965096693 -0.6124783717759232]
9,4.316,268500.000,0.000,[-6.1128757360973385 1.3894541102155586 9.324872259609934 -6.01238095670108 16.162293934000612 15.340993247013087 -1.5515351140052944 2.768530013217072 2.997674087252004 -11.005799401785069 11.2478421749293 -5.431416402031723 3.531353634487264 -7.586967043473389 -13.377235526077373 2.968535955508378 4.445576614841674 0.882887331693416 -10.063434288470043 -4.258619651355879]
10,4.191,272576.000,0.000,[-9.501014996755135 -3.190374791231966 13.662550861731383 -2.999330407752794 10.182367504080885 13.356169207066413 0.32747026830391146 0.28071513975873597 4.954924282664111 -10.248271659032406 14.423055973171866 -9.733392944080986 8.908955394736902 -7.293546614431136 -14.405167499327856 3.5673238633513247 2.139144242478099 -2.678495645824039 -14.099919853753246 -8.730138531723714]
