RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=22, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 100
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: WellLocations

iteration,time_taken,train_score,eval_score,vector
1,5.076,127315.000,0.000,[0.2110587943589215 0.6945995787087992 0.08909505812402829 0.43909569584519026 0.48508602436821935 0.8838352326664976 0.20018103455251512 0.21463953601243402 0.9725776849999151 0.7396512518147887 0.5729752460098451 0.2817455086340718 0.8675949470645378 0.540898072886141 0.4008342644723826 0.08024684549871475 0.4907109698341461 0.8291845290790784 0.11718530546613704 0.9975543158227532 0.29458546188833346 0.9003628668467484]
2,1.474,128250.000,0.000,[1.9974671003629019 3.5090021736966293 1.2539353024725588 -1.0552733346648016 1.3624919071082733 4.908280063879263 2.413898655750481 -2.822600951778323 4.780141500223537 -0.41921456933998713 4.154634680025037 -4.003016773398981 3.3521528606042437 -0.8042834208838971 -2.200971607349433 3.276325164796071 -2.6834561809773567 3.8421387536545635 0.07398174632152232 -1.0243128059444015 -0.7722330274245877 5.045624947799324]
3,3.495,208400.000,0.000,[0.461345647174606 2.6122243815595665 1.2029701868795164 -1.311599419014149 1.1283406265511233 3.0808453975023973 -1.5734507099222204 -4.581652590682671 1.645682947985768 1.9322880467961565 2.183202872368926 -3.6797827459730694 1.263990387343338 -1.7758941574445637 -0.49072319393490593 0.882260016713091 -0.10003513416469012 2.124908184293909 0.15322204295530062 0.42576194533802436 -0.8087805988981271 0.05140228184772333]
4,2.904,208400.000,0.000,[0.461345647174606 2.6122243815595665 1.2029701868795164 -1.311599419014149 1.1283406265511233 3.0808453975023973 -1.5734507099222204 -4.581652590682671 1.645682947985768 1.9322880467961565 2.183202872368926 -3.6797827459730694 1.263990387343338 -1.7758941574445637 -0.49072319393490593 0.882260016713091 -0.10003513416469012 2.124908184293909 0.15322204295530062 0.42576194533802436 -0.8087805988981271 0.05140228184772333]
5,1.829,208400.000,0.000,[0.461345647174606 2.6122243815595665 1.2029701868795164 -1.311599419014149 1.1283406265511233 3.0808453975023973 -1.5734507099222204 -4.581652590682671 1.645682947985768 1.9322880467961565 2.183202872368926 -3.6797827459730694 1.263990387343338 -1.7758941574445637 -0.49072319393490593 0.882260016713091 -0.10003513416469012 2.124908184293909 0.15322204295530062 0.42576194533802436 -0.8087805988981271 0.05140228184772333]
6,2.779,234849.000,0.000,[0.4464003990533367 0.9967872975652916 3.73473563099385 -1.3489227792950818 1.22745366887162 7.4338246662081 4.650466163643503 -2.9551260735882634 4.193381132171895 -1.4826752448023939 5.858294209651978 -4.904023461888366 0.7979484799331006 -2.73345306281187 -0.04816691731344491 0.784732744365794 2.5732785964814475 3.504064666559401 -1.70421656350877 -2.7579990856717194 -3.990096037356159 -1.557215834396029]
7,4.080,258545.000,0.000,[-5.548402109286654 4.365628903567249 5.255179395225596 -2.8345362356260466 1.6915077548978865 8.557535027790667 4.855684982314923 0.8191074235891769 1.958464181178699 -0.7141920957614007 4.6860374505078575 -4.237207977890478 3.314005601471367 -3.0568424185487 -3.2673992526413658 1.199631535521598 -1.001836276574556 1.7814113442096966 -0.926382272913087 -3.210824863869881 -4.823419486486102 1.0080201649072489]
8,3.653,300002.000,0.000,[-4.8354769054673845 2.3180647686480276 9.678328558731579 -4.972974277449487 3.129494081116502 11.819917390438167 0.22970916432862065 1.9105852059562736 4.57545113895656 -1.3685814461873012 9.396581305427762 -5.718122426785124 2.9653926743191192 -8.33983377793879 -8.463740667221348 1.6783046790432206 0.594565767061283 2.2691294393748325 1.9762010151598957 -3.4898376244551432 -5.976704850941076 -1.3487020808003538]
9,3.664,300002.000,0.000,[-4.8354769054673845 2.3180647686480276 9.678328558731579 -4.972974277449487 3.129494081116502 11.819917390438167 0.22970916432862065 1.9105852059562736 4.57545113895656 -1.3685814461873012 9.396581305427762 -5.718122426785124 2.9653926743191192 -8.33983377793879 -8.463740667221348 1.6783046790432206 0.594565767061283 2.2691294393748325 1.9762010151598957 -3.4898376244551432 -5.976704850941076 -1.3487020808003538]
10,3.726,340337.000,0.000,[1.1880809112579982 4.068020914855297 9.683798897865884 -6.223055009412198 3.1073289119513223 8.976151873274805 0.2622757456601228 -3.496578195861047 7.381257926337911 -0.8662403251355411 7.680530958020983 -5.2833299002946035 -1.4015632399016358 -11.645582677133568 -8.45054989663073 1.6547205537744443 4.493818104876279 1.5237046657584807 5.837350473809273 -2.680061993230815 -8.909344750943031 -4.491435464223505]
