RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 100
maxDropRem: -1
numGames: 100
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,0.459,4.380,0.000,[0.6832171415666872 0.6537321061413058 0.4954186518828606 0.43780047272144074 0.06586901835678038 0.5279613975995947 0.04767458338030761 0.6594239169987346 0.5763496784225787 0.20521460596497643 0.8305697419097594 0.17528748324022259 0.973810383174864 0.7910128233552383 0.5550001345766042 0.57546984731179 0.441875427970276 0.8542563756642619 0.262888076876192 0.7401071670972608]
2,0.342,4.380,0.000,[0.6832171415666872 0.6537321061413058 0.4954186518828606 0.43780047272144074 0.06586901835678038 0.5279613975995947 0.04767458338030761 0.6594239169987346 0.5763496784225787 0.20521460596497643 0.8305697419097594 0.17528748324022259 0.973810383174864 0.7910128233552383 0.5550001345766042 0.57546984731179 0.441875427970276 0.8542563756642619 0.262888076876192 0.7401071670972608]
3,0.349,4.410,0.000,[2.6030613539488243 2.6405521771112257 1.688835149133093 -0.7219316663001507 -0.4274699217147525 0.3307600968350637 -0.3267265057118749 -1.5026400421146167 -1.9123396989684984 -0.41048231087810194 1.9330004175460482 2.229186102982424 0.06758652625115558 0.4614989977059023 -2.3770862809054587 0.6686561344722848 0.6845576339633969 2.992571103732495 -0.39586738848074443 1.231217727805997]
4,0.370,5.530,0.000,[0.6556524793776592 0.7069081787549624 2.7800533471356386 2.0258446563075827 2.576289372322841 0.11640464806312556 -1.154380493884669 1.2497535271260487 -2.3470115634905393 1.952376069404419 2.6070053861518914 2.774595865902949 -2.586327929756871 -1.6496231303988464 -0.055407276446058695 0.6206374966725994 0.22207748681741957 1.4466948715346741 0.12211757989401528 3.229568919045874]
5,0.375,5.800,0.000,[3.098121148303611 0.6934754768602518 2.583998950059443 3.337007865967646 3.662669539776296 0.6224480088382457 -1.5361528907231143 -0.35812031929317834 -3.2771598101422095 3.3283696797422193 7.2070053861518915 6.957957761207532 -5.41089053133193 -2.267960448814695 -0.2758695350085879 0.17182127765538352 0.4323942162520087 4.148346307859915 -0.10773971140807459 5.651280565454765]
6,0.390,5.800,0.000,[3.098121148303611 0.6934754768602518 2.583998950059443 3.337007865967646 3.662669539776296 0.6224480088382457 -1.5361528907231143 -0.35812031929317834 -3.2771598101422095 3.3283696797422193 7.2070053861518915 6.957957761207532 -5.41089053133193 -2.267960448814695 -0.2758695350085879 0.17182127765538352 0.4323942162520087 4.148346307859915 -0.10773971140807459 5.651280565454765]
7,0.405,5.800,0.000,[3.098121148303611 0.6934754768602518 2.583998950059443 3.337007865967646 3.662669539776296 0.6224480088382457 -1.5361528907231143 -0.35812031929317834 -3.2771598101422095 3.3283696797422193 7.2070053861518915 6.957957761207532 -5.41089053133193 -2.267960448814695 -0.2758695350085879 0.17182127765538352 0.4323942162520087 4.148346307859915 -0.10773971140807459 5.651280565454765]
8,0.405,5.800,0.000,[3.098121148303611 0.6934754768602518 2.583998950059443 3.337007865967646 3.662669539776296 0.6224480088382457 -1.5361528907231143 -0.35812031929317834 -3.2771598101422095 3.3283696797422193 7.2070053861518915 6.957957761207532 -5.41089053133193 -2.267960448814695 -0.2758695350085879 0.17182127765538352 0.4323942162520087 4.148346307859915 -0.10773971140807459 5.651280565454765]
9,0.402,5.800,0.000,[3.098121148303611 0.6934754768602518 2.583998950059443 3.337007865967646 3.662669539776296 0.6224480088382457 -1.5361528907231143 -0.35812031929317834 -3.2771598101422095 3.3283696797422193 7.2070053861518915 6.957957761207532 -5.41089053133193 -2.267960448814695 -0.2758695350085879 0.17182127765538352 0.4323942162520087 4.148346307859915 -0.10773971140807459 5.651280565454765]
10,0.409,5.960,0.000,[5.442628796885177 -2.925117840753293 9.415325159364201 2.9088003707334766 0.6092023289621249 0.8378689153217176 -1.192068123749146 -0.23057319566873624 -5.181862614103588 4.39431002888597 7.801705300225351 5.065643118455265 -7.128280990408561 -4.3459424225688075 4.290881041478926 1.8150766357225274 -0.06077472841386 -3.63643015029181 1.274417928894386 5.688012285436914]
11,0.423,5.960,0.000,[5.442628796885177 -2.925117840753293 9.415325159364201 2.9088003707334766 0.6092023289621249 0.8378689153217176 -1.192068123749146 -0.23057319566873624 -5.181862614103588 4.39431002888597 7.801705300225351 5.065643118455265 -7.128280990408561 -4.3459424225688075 4.290881041478926 1.8150766357225274 -0.06077472841386 -3.63643015029181 1.274417928894386 5.688012285436914]
12,0.424,5.960,0.000,[5.442628796885177 -2.925117840753293 9.415325159364201 2.9088003707334766 0.6092023289621249 0.8378689153217176 -1.192068123749146 -0.23057319566873624 -5.181862614103588 4.39431002888597 7.801705300225351 5.065643118455265 -7.128280990408561 -4.3459424225688075 4.290881041478926 1.8150766357225274 -0.06077472841386 -3.63643015029181 1.274417928894386 5.688012285436914]
13,0.412,6.440,0.000,[3.4744265904521763 -0.8433067806119483 8.807284053432651 3.1055916778148074 0.344544997266524 -0.6508725377259261 -0.0010366963604928614 2.2253597087760104 -4.695992449490249 3.333964456402125 6.891520363489233 5.393446195568533 -10.058987095397454 -4.177343952743128 0.8703625529852701 1.9368880373734125 -0.2898318401907609 -5.265804547116042 -1.6647219894294256 0.7252723688930782]
