RunnerSettings(num_particles=96, num_neighbours=99, iterations=2400, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 100
maxDropRem: -1
numGames: 200
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

NOTE: hi
iteration,time_taken,train_score,eval_score,vector
1,0.899,4.380,0.000,[0.7840274479869082 0.6718104232016451 0.9692919136828589 0.7028607284418258 0.6936922314646629 0.22002399929545324 0.6177547144075998 0.5658870318931624 0.4329089724348191 0.13591607981706355 0.8153306155355172 0.5069019521102444 0.7232563039170463 0.04187733485104139 0.16138150297730425 0.1484217506170622 0.23209498493401182 0.7226964681132102 0.6073910044668005 0.15160018002735842]
2,0.601,4.380,0.000,[0.7840274479869082 0.6718104232016451 0.9692919136828589 0.7028607284418258 0.6936922314646629 0.22002399929545324 0.6177547144075998 0.5658870318931624 0.4329089724348191 0.13591607981706355 0.8153306155355172 0.5069019521102444 0.7232563039170463 0.04187733485104139 0.16138150297730425 0.1484217506170622 0.23209498493401182 0.7226964681132102 0.6073910044668005 0.15160018002735842]
3,0.628,4.380,0.000,[0.7840274479869082 0.6718104232016451 0.9692919136828589 0.7028607284418258 0.6936922314646629 0.22002399929545324 0.6177547144075998 0.5658870318931624 0.4329089724348191 0.13591607981706355 0.8153306155355172 0.5069019521102444 0.7232563039170463 0.04187733485104139 0.16138150297730425 0.1484217506170622 0.23209498493401182 0.7226964681132102 0.6073910044668005 0.15160018002735842]
4,0.674,4.380,0.000,[0.7840274479869082 0.6718104232016451 0.9692919136828589 0.7028607284418258 0.6936922314646629 0.22002399929545324 0.6177547144075998 0.5658870318931624 0.4329089724348191 0.13591607981706355 0.8153306155355172 0.5069019521102444 0.7232563039170463 0.04187733485104139 0.16138150297730425 0.1484217506170622 0.23209498493401182 0.7226964681132102 0.6073910044668005 0.15160018002735842]
5,0.673,4.675,0.000,[-1.134375321307204 -0.7315198750896803 0.4468291822601396 2.9016483255179066 1.6931882404101235 1.5943170156591673 0.5641405816802165 0.0028837530552827673 1.183829342688884 -1.2256010629494234 5.462246563709069 4.817283226107284 0.721903374017518 0.6805245536820899 -3.942007018478642 -0.08620660581757211 3.2428288923287854 1.8295334113003494 0.9964919284926039 3.765715534908828]
6,0.789,4.675,0.000,[-1.134375321307204 -0.7315198750896803 0.4468291822601396 2.9016483255179066 1.6931882404101235 1.5943170156591673 0.5641405816802165 0.0028837530552827673 1.183829342688884 -1.2256010629494234 5.462246563709069 4.817283226107284 0.721903374017518 0.6805245536820899 -3.942007018478642 -0.08620660581757211 3.2428288923287854 1.8295334113003494 0.9964919284926039 3.765715534908828]
7,0.796,4.925,0.000,[-3.960562038681352 -3.9630532978727016 0.8108214665924798 0.543200047822519 3.2280793978194886 3.137190069654931 -0.6206938444302492 -1.2553823607952206 3.134172533093175 -2.659895603347241 7.355677221992652 9.564464611057328 -4.04327039015711 -1.502985841523378 -0.904584808918683 0.26192647430446775 6.920725022569734 -5.538912788128135 1.2437456706083605 3.6780717117911736]
8,0.837,4.935,0.000,[-1.3703906414087181 -5.224493486370154 -0.33659986036196754 -3.245179360863986 3.0442327482538847 0.8605214049310268 -1.0986352562057573 -3.348787539689628 0.9989186331628156 -2.3542721367341057 6.231626883686289 10.175332158425253 -2.1146791924918418 -3.870986872398423 2.4518215060013606 1.3190944079466846 7.554334738699029 -4.86377997370146 0.0504820593097588 5.197313855539576]
9,0.837,5.650,0.000,[-1.0317606612226653 -9.667937988973456 -0.5581163675199058 -2.841605039909516 7.0316522942010025 0.11074022543693696 -0.903940591137359 -1.918346964150931 -0.8179211411491778 -4.3208221643891775 8.640913219016802 14.797059378024603 -5.231467272565718 -7.632772972529821 -1.1783709723661406 1.801611623861564 8.239563805827203 -7.773243211811841 -2.258017470185009 4.500415963777616]
10,0.844,5.800,0.000,[1.1290393015211382 -6.651220427801382 3.1276617961073545 -0.829027409369002 5.418313917451261 1.3890204778122248 -0.23720709087452407 -0.9044900940623954 -2.7481878715099617 -5.770593785966305 7.239192580570001 6.615663454292466 -0.8939644043815194 -8.347032889283927 3.4094843227238316 2.29572072864383 6.386717668355175 -6.840465096806616 -2.7740489912384794 2.9858845284827806]
