RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 100
maxDropRem: -1
numGames: 100
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,0.520,3.720,0.000,[0.5681590768912709 0.1102436820853212 0.8841405793817226 0.25124311930643517 0.10251454136998295 0.2973745458310807 0.9550945245859275 0.2617259632785728 0.22272048445464487 0.3356675351406716 0.9949196292286543 0.43868566550945753 0.021830095555652518 0.031131795864090317 0.32959856323855874 0.16373438259464168 0.5922743298574432 0.7124542998065619 0.9017798088647195 0.7593692292311242]
2,0.381,3.720,0.000,[0.5681590768912709 0.1102436820853212 0.8841405793817226 0.25124311930643517 0.10251454136998295 0.2973745458310807 0.9550945245859275 0.2617259632785728 0.22272048445464487 0.3356675351406716 0.9949196292286543 0.43868566550945753 0.021830095555652518 0.031131795864090317 0.32959856323855874 0.16373438259464168 0.5922743298574432 0.7124542998065619 0.9017798088647195 0.7593692292311242]
3,0.417,3.890,0.000,[3.2303383459792814 -0.3660436511412709 3.965743082620246 0.11319320617653483 -2.5242751753223 -0.1548728157488266 0.12832435438612588 -0.9008656709272809 3.8785110591405134 0.2853453886108545 1.4917514894925459 5.518425383965635 -0.18731002493540472 0.01021415261266212 -0.2984358036978233 0.5110929877589132 0.10222741070590102 0.6886204787853991 1.8582442097679381 0.9373077440501745]
4,0.437,4.320,0.000,[4.273035031656377 -0.48059499626189295 5.536287632698713 -0.3319571231962253 -4.832632313016053 0.6371624671101569 -1.474103648224812 -1.934085583593478 2.5820338548589983 1.0101984504467194 2.707422379062693 4.661014597442739 -3.891813688054199 -2.4272674493170348 1.018712317584416 1.2055809232589176 0.564861973363949 0.334123693999552 2.7196932055095484 -2.589990350566259]
5,0.431,4.320,0.000,[4.273035031656377 -0.48059499626189295 5.536287632698713 -0.3319571231962253 -4.832632313016053 0.6371624671101569 -1.474103648224812 -1.934085583593478 2.5820338548589983 1.0101984504467194 2.707422379062693 4.661014597442739 -3.891813688054199 -2.4272674493170348 1.018712317584416 1.2055809232589176 0.564861973363949 0.334123693999552 2.7196932055095484 -2.589990350566259]
6,0.424,4.350,0.000,[-3.9539309783800647 -3.515951932633606 6.604317321845787 5.875908512382903 -2.902995975919135 1.6685308632579432 -2.713346622453815 -0.7492612943164363 -0.9870970791962392 3.8296723699215836 7.27892422886278 6.242816217094145 -3.9695678568121795 -3.3187402654758964 1.6204810922918496 4.605171074523094 1.7178590447062196 4.331248628021868 4.4942919268919 -1.4313327355542573]
7,0.503,4.430,0.000,[9.61558356049856 -4.552211301507374 8.477709921459821 4.48882610400358 -3.6424857617408257 1.0248400518559753 0.35983011336324466 -4.5332022136198065 -1.767489029414893 5.142804340438902 9.836763579685503 10.504053246846055 -6.975069067825917 -3.8714360638745275 2.581930545624441 5.038531948448263 3.0126437829271913 -4.680570941286357 4.541929658063629 -7.732745403159173]
8,0.540,4.720,0.000,[11.17631262502979 -8.967227034620414 9.873452918483782 5.13524398805459 -3.6020518768020686 0.4993412289601791 1.303529476966966 -4.658396453189473 -1.4271175947286547 6.184956187234383 13.144335930467165 14.864821899477105 -9.10892965669828 -5.724484440480693 1.8195585067420348 5.933311397805995 1.6870647187176784 0.6735367247597619 5.859871400846914 -8.203679565779883]
9,0.531,4.720,0.000,[11.17631262502979 -8.967227034620414 9.873452918483782 5.13524398805459 -3.6020518768020686 0.4993412289601791 1.303529476966966 -4.658396453189473 -1.4271175947286547 6.184956187234383 13.144335930467165 14.864821899477105 -9.10892965669828 -5.724484440480693 1.8195585067420348 5.933311397805995 1.6870647187176784 0.6735367247597619 5.859871400846914 -8.203679565779883]
10,0.534,4.900,0.000,[7.680315977987942 -10.691667532648786 5.619797219604511 4.800405621087796 -4.993499699977588 1.2294061241978493 2.074304636883995 -4.288082839384268 -4.616686762542505 5.444445474948568 17.240399130644096 12.968107953426038 -5.296934654755633 -3.7560128109656663 2.9687249432406135 0.7002054850564798 2.8358783837949395 -2.4398772035701635 7.005751283734046 -6.945885149433479]
11,0.505,4.950,0.000,[12.27650604394366 -2.1556199633602784 8.196915602228858 6.843182375860589 -3.8688578579350095 1.0553708780405366 -1.530315675792703 1.5432536705415156 -7.566017127309532 8.060010596275536 21.018892316725747 16.820741601173626 -10.861914945155792 -3.5867624675888132 2.5919277263161926 0.38450700907513635 1.6812818829787513 1.1195953073651848 7.079236145345313 -6.323786336394106]
12,0.495,5.090,0.000,[9.691955551238603 -4.213743460309228 7.622793570228436 5.678846386982721 -4.030727495274071 0.15183286876945434 1.462560694948344 -3.6281142626881913 -3.068359782158792 0.24363026201033833 14.602135158785355 15.733971300987928 -11.396764979283608 -2.84676887458887 2.687765781525169 0.8021801979114147 0.44034776928578045 0.06435486571061233 6.2181912983893195 -7.212011480278443]
13,0.501,5.090,0.000,[9.691955551238603 -4.213743460309228 7.622793570228436 5.678846386982721 -4.030727495274071 0.15183286876945434 1.462560694948344 -3.6281142626881913 -3.068359782158792 0.24363026201033833 14.602135158785355 15.733971300987928 -11.396764979283608 -2.84676887458887 2.687765781525169 0.8021801979114147 0.44034776928578045 0.06435486571061233 6.2181912983893195 -7.212011480278443]
14,0.509,5.190,0.000,[11.168281690909701 -3.3101218253985634 7.368685496372471 4.9809820473197135 -3.677248553830636 0.06298802080035881 -0.6665562574092044 -2.2745305037344847 -6.73456640523419 8.659911403093272 14.907805675439242 12.26822806784315 -11.862586549024128 -3.865005752152017 3.8468410903115853 1.3573968575973128 0.89329245842886 0.5213296164454202 4.590065716980831 -8.863254731844835]
15,0.515,5.190,0.000,[11.168281690909701 -3.3101218253985634 7.368685496372471 4.9809820473197135 -3.677248553830636 0.06298802080035881 -0.6665562574092044 -2.2745305037344847 -6.73456640523419 8.659911403093272 14.907805675439242 12.26822806784315 -11.862586549024128 -3.865005752152017 3.8468410903115853 1.3573968575973128 0.89329245842886 0.5213296164454202 4.590065716980831 -8.863254731844835]
16,0.496,5.190,0.000,[11.168281690909701 -3.3101218253985634 7.368685496372471 4.9809820473197135 -3.677248553830636 0.06298802080035881 -0.6665562574092044 -2.2745305037344847 -6.73456640523419 8.659911403093272 14.907805675439242 12.26822806784315 -11.862586549024128 -3.865005752152017 3.8468410903115853 1.3573968575973128 0.89329245842886 0.5213296164454202 4.590065716980831 -8.863254731844835]
17,0.507,5.210,0.000,[5.694500622238195 -5.596049395627176 11.948292320231698 2.784925640419932 -2.621541608527551 -1.061027203332816 0.4614634677077989 5.236587656825305 -3.301137124187968 11.904725528207166 13.625744282783153 14.159054944961571 -8.977160674228525 -7.644147746535648 6.591040393172224 1.0893632684953296 -0.1319425270197705 0.8854613512280158 8.537212025855542 -5.215748187393]
18,0.499,5.210,0.000,[5.694500622238195 -5.596049395627176 11.948292320231698 2.784925640419932 -2.621541608527551 -1.061027203332816 0.4614634677077989 5.236587656825305 -3.301137124187968 11.904725528207166 13.625744282783153 14.159054944961571 -8.977160674228525 -7.644147746535648 6.591040393172224 1.0893632684953296 -0.1319425270197705 0.8854613512280158 8.537212025855542 -5.215748187393]
19,0.478,5.210,0.000,[5.694500622238195 -5.596049395627176 11.948292320231698 2.784925640419932 -2.621541608527551 -1.061027203332816 0.4614634677077989 5.236587656825305 -3.301137124187968 11.904725528207166 13.625744282783153 14.159054944961571 -8.977160674228525 -7.644147746535648 6.591040393172224 1.0893632684953296 -0.1319425270197705 0.8854613512280158 8.537212025855542 -5.215748187393]
20,0.496,5.240,0.000,[1.7082065792042815 -5.290687089426264 11.594203482112604 1.0423169610698793 -4.122621196076185 -1.9399518247176868 0.41786315417949393 5.64538748433888 -4.534255235171026 16.002883542576598 11.577089704125099 14.897911301782845 -8.880582892770818 -4.728351496971401 9.105818466446905 0.6173932974336185 0.1114519846126093 1.6339534704933847 8.404663844266619 -0.6051205760229963]
21,0.490,5.240,0.000,[1.7082065792042815 -5.290687089426264 11.594203482112604 1.0423169610698793 -4.122621196076185 -1.9399518247176868 0.41786315417949393 5.64538748433888 -4.534255235171026 16.002883542576598 11.577089704125099 14.897911301782845 -8.880582892770818 -4.728351496971401 9.105818466446905 0.6173932974336185 0.1114519846126093 1.6339534704933847 8.404663844266619 -0.6051205760229963]
22,0.494,5.240,0.000,[1.7082065792042815 -5.290687089426264 11.594203482112604 1.0423169610698793 -4.122621196076185 -1.9399518247176868 0.41786315417949393 5.64538748433888 -4.534255235171026 16.002883542576598 11.577089704125099 14.897911301782845 -8.880582892770818 -4.728351496971401 9.105818466446905 0.6173932974336185 0.1114519846126093 1.6339534704933847 8.404663844266619 -0.6051205760229963]
23,0.504,5.240,0.000,[1.7082065792042815 -5.290687089426264 11.594203482112604 1.0423169610698793 -4.122621196076185 -1.9399518247176868 0.41786315417949393 5.64538748433888 -4.534255235171026 16.002883542576598 11.577089704125099 14.897911301782845 -8.880582892770818 -4.728351496971401 9.105818466446905 0.6173932974336185 0.1114519846126093 1.6339534704933847 8.404663844266619 -0.6051205760229963]
24,0.505,5.240,0.000,[1.7082065792042815 -5.290687089426264 11.594203482112604 1.0423169610698793 -4.122621196076185 -1.9399518247176868 0.41786315417949393 5.64538748433888 -4.534255235171026 16.002883542576598 11.577089704125099 14.897911301782845 -8.880582892770818 -4.728351496971401 9.105818466446905 0.6173932974336185 0.1114519846126093 1.6339534704933847 8.404663844266619 -0.6051205760229963]
25,0.484,5.280,0.000,[3.489353321852029 -5.514712535076351 17.64391368696544 5.6556660229032545 -5.285390050319382 -1.2864541154541058 1.2478716769672227 -2.5446935806534765 -6.222286973346326 14.379223948815554 11.412954793796441 18.080127435980124 -8.405512853444144 -9.116429817266543 1.376681407959989 4.2229042003033905 0.9780731334746262 -0.5050143360970747 10.244351300850068 0.363560168930559]
