RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=17, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 130
maxDropRem: 3
startingLines: 0
startingLevel: 18
averageAmount: 50
========
MoveEvaluatorGroup used: Normal

iteration,time_taken,train_score,eval_score,vector
1,84.465,134011.000,0.000,[0.8917214645456285 0.5369586843329724 0.48113504668824647 0.12798330938776392 0.8781081293949885 0.8703725067954388 0.854807660140023 0.9821537996892133 0.3614056837885882 0.8875818767802746 0.41312358852804865 0.45493036184234326 0.9315648127390446 0.6635227066700232 0.7596380351616108 0.031567749891630026 0.8173267998011127]
2,18.440,149173.000,0.000,[3.8506524885079374 3.85688845759864 4.062171913580741 1.5604603094721583 5.121160002675865 5.081785347707667 2.887450287539717 -0.8821809199847894 2.2315062659438754 4.080303039587635 2.300037878773817 3.470625112941527 0.9660499642141618 3.5464269615018305 2.090286025211509 -0.28640188868777283 4.778039981692201]
3,68.157,182172.000,0.000,[5.441323332599278 1.97211148180673 1.131038865883427 0.694240967389103 5.551681735552201 7.651780349695265 4.096449392720174 0.23305051069599592 1.8705825644457825 4.487215132619188 2.7225830886981868 1.04073101890536 0.9350979745070518 3.6803844330817332 1.2479476049192169 0.05445684371531767 2.0636599344738973]
4,66.111,216630.000,0.000,[7.767232250343429 2.33454861131168 -1.827524033924667 -1.2282428578234843 9.787183985953382 10.380018021156214 7.457233129235585 -0.1581261309649391 6.4366926509805396 8.807632574559676 5.786634211985323 -0.22224594644455076 -3.4910466681331407 6.163347996368353 -3.305714356538248 0.7650890875129407 6.525675487263998]
5,63.838,284977.000,0.000,[2.433901364567662 1.2333560504679104 -3.6994796308039395 1.069446572513781 2.2939598247529878 7.584018255965114 -2.2982171069651587 -0.8924034603458516 6.2777423532777075 -0.8726924764398447 2.6951941986714907 -3.9982342857126225 -0.013013038859177262 0.5201788988129752 -5.360035297531022 1.7247044234121855 4.825439966855145]
6,49.479,329148.000,0.000,[12.597298824364373 -3.5028643594636533 -3.6010248382490238 -2.245814966050141 3.4054590727470497 10.992028299439081 -1.9187698657868175 -4.790352647287156 8.813554063379506 8.235749935943934 11.667946013149418 -5.732194378547012 -2.38873271015166 1.536873095934146 -6.408507854625462 1.1048745997094533 9.323627833811674]
7,48.939,365264.000,0.000,[6.53630464693364 4.717069569061888 -2.3102643656253004 -2.4032940050501557 9.726747577426833 12.607585389536883 -6.583813270605393 -7.825082367508712 10.210049506954498 3.31716883465464 11.459483048026275 -7.718835289780319 -3.3137770500172734 2.4416205583571284 -8.242708191434122 1.5404398261437986 11.33764775197259]
8,49.248,382812.000,0.000,[8.912364848609378 3.5607717473160143 1.4024630459620742 -1.2510140466039432 7.555731423619057 17.105404789743226 0.2800135339431584 -8.833012847725144 8.490536538413629 2.6744191572605787 10.600237471724892 -8.511233159148155 -4.237227337241988 -2.1646078214876985 -4.517369405601535 1.5205530992854732 10.621275273033103]
9,65.881,402002.000,0.000,[12.83919933066485 7.079485400573979 0.9506599085905223 -2.065579503395268 5.774441382343582 12.087454694998524 2.071033426758685 -7.331350891323046 8.837716978301879 2.2771515820670767 11.052983177990843 -7.82753666061755 -7.438564257597399 -0.7236418265946032 -3.5198631550872914 0.8826320344452068 7.908152568713351]
10,53.322,420994.000,0.000,[12.994093041467972 -1.2501053922993477 -0.47335953982270684 0.5659115597253823 3.9193288400394763 9.884109417356587 2.260059323977176 -4.325201633456734 8.14058535224076 5.725981877259542 10.125988842364162 -2.509025178942232 -9.49083977255697 1.5025791792770287 -8.664026247421658 1.1951226054308572 8.367847978534737]
