RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 130
maxDropRem: 3
startingLines: 0
startingLevel: 18
averageAmount: 50
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,117.164,136792.000,0.000,[0.49799960677707944 0.21376456225665386 0.5080937615729836 0.36696252560648224 0.42368021506099607 0.980441965989281 0.42680453913086946 0.2029903329091537 0.9024144051833894 0.08602105510428615 0.07226653150698481 0.889816268927637 0.06688559644251402 0.1608207019551846 0.17202409591522227 0.7222646202767502 0.014757105525681213 0.8549399424354152 0.17665626313506377 0.5631527179993]
2,24.001,136792.000,0.000,[0.49799960677707944 0.21376456225665386 0.5080937615729836 0.36696252560648224 0.42368021506099607 0.980441965989281 0.42680453913086946 0.2029903329091537 0.9024144051833894 0.08602105510428615 0.07226653150698481 0.889816268927637 0.06688559644251402 0.1608207019551846 0.17202409591522227 0.7222646202767502 0.014757105525681213 0.8549399424354152 0.17665626313506377 0.5631527179993]
3,42.157,158004.000,0.000,[1.2876296827277605 1.6095450380349257 1.233319068937592 -0.8034804968680147 1.845517794955042 4.286510031493498 1.0859483129384127 -0.2133526533849659 0.2831844580761622 0.14159024635085782 0.5117823759988909 -1.5740502631095499 -2.8662741341195748 0.18474344285179883 2.732727076807828 0.332523468420999 0.03058862646915772 0.953734878619871 0.07831985563860222 0.32841970826619504]
4,51.777,314663.000,0.000,[0.8041755464924383 0.7919594220311463 3.304839241053444 2.846416458487121 2.6553859574931935 6.137174472684168 0.6810399853584852 -1.9631780102862189 -0.6291955441235846 5.535488914316911 1.776604761694739 -5.388797483725286 -1.9182539308490463 2.0474527177156414 -2.5052918934265005 1.277723636894173 3.480001125356456 2.1310371377044848 -2.6441759697319944 0.48390859944076414]
5,73.631,314663.000,0.000,[0.8041755464924383 0.7919594220311463 3.304839241053444 2.846416458487121 2.6553859574931935 6.137174472684168 0.6810399853584852 -1.9631780102862189 -0.6291955441235846 5.535488914316911 1.776604761694739 -5.388797483725286 -1.9182539308490463 2.0474527177156414 -2.5052918934265005 1.277723636894173 3.480001125356456 2.1310371377044848 -2.6441759697319944 0.48390859944076414]
6,76.828,346750.000,0.000,[2.560658966227722 -1.1542948197682832 -1.4937870630609504 4.329967365264538 1.5151785830439133 4.314361426645672 2.596267525415139 -2.4698432711309186 2.57587427690495 2.637569406871478 4.525304714521104 -5.11872547441884 -5.6778750440937085 -1.2792876668862814 -4.179249530694996 1.7243603989762084 1.1854185095111625 0.12150913853023182 -2.779199690165432 0.2913840647366044]
7,60.912,346750.000,0.000,[2.560658966227722 -1.1542948197682832 -1.4937870630609504 4.329967365264538 1.5151785830439133 4.314361426645672 2.596267525415139 -2.4698432711309186 2.57587427690495 2.637569406871478 4.525304714521104 -5.11872547441884 -5.6778750440937085 -1.2792876668862814 -4.179249530694996 1.7243603989762084 1.1854185095111625 0.12150913853023182 -2.779199690165432 0.2913840647366044]
8,64.141,410347.000,0.000,[4.382653884389433 -1.4621238799927012 -1.557975903345053 6.289174907153587 0.920188303722147 7.598287524017891 4.465114631614858 -1.6584314766594146 7.209611318973308 2.1650705462322857 8.993301568935971 -4.5271434741068 -6.965317504789387 -7.816235322968669 -13.43404565084393 2.7817143776210624 0.9087350709497315 -3.061763533964669 0.8989775200335992 0.47446643947095657]
9,89.805,456927.000,0.000,[6.1269215083408755 -0.1228195771754148 -2.2745568917652186 6.2417790505306305 0.7743391034326412 7.642836174414537 6.887031582599825 -0.28624080211922465 5.604248870249382 5.659716689966896 10.464455109044417 -6.166433456177106 -7.973208859337222 -3.2714405301223266 -10.182859448433758 1.9193424632321947 2.8082343954113638 -2.2930026842407605 -1.7606716050420848 3.2106176280804153]
10,81.359,456927.000,0.000,[6.1269215083408755 -0.1228195771754148 -2.2745568917652186 6.2417790505306305 0.7743391034326412 7.642836174414537 6.887031582599825 -0.28624080211922465 5.604248870249382 5.659716689966896 10.464455109044417 -6.166433456177106 -7.973208859337222 -3.2714405301223266 -10.182859448433758 1.9193424632321947 2.8082343954113638 -2.2930026842407605 -1.7606716050420848 3.2106176280804153]
11,68.906,456927.000,0.000,[6.1269215083408755 -0.1228195771754148 -2.2745568917652186 6.2417790505306305 0.7743391034326412 7.642836174414537 6.887031582599825 -0.28624080211922465 5.604248870249382 5.659716689966896 10.464455109044417 -6.166433456177106 -7.973208859337222 -3.2714405301223266 -10.182859448433758 1.9193424632321947 2.8082343954113638 -2.2930026842407605 -1.7606716050420848 3.2106176280804153]
