RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=21, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 130
maxDropRem: 3
startingLines: 0
startingLevel: 18
averageAmount: 50
========
MoveEvaluatorGroup used: Edge

iteration,time_taken,train_score,eval_score,vector
1,22.243,139133.000,0.000,[0.9752277689584183 0.7307790569909456 0.5667778570898876 0.18172853126737143 0.3451247961528231 0.8312716131282556 0.5685986824866556 0.12410913653995082 0.07225508457015739 0.7971516556522196 0.19748159254142317 0.14760454725275485 0.583446826620212 0.3840243983704046 0.1924404958260676 0.060196336935639194 0.6724660422582646 0.49188663995276183 0.5317665192281951 0.9106550948024223 0.47045124810266925]
2,5.368,150837.000,0.000,[-3.0943737455373377 -0.39380358397412507 0.2741233671476314 2.033367003477143 -1.5564324364751672 4.009250781717328 4.299863533858169 -3.5145504303201376 -3.503047115356736 1.7867253284385733 1.7683730051211353 -0.3356278878864708 -0.9563317909038976 -2.6197872190418887 3.9367125697566654 0.5063986440697484 1.9384518793003764 5.3307167955568815 -0.14100261661333746 4.595066533908675 3.5355637822511454]
3,12.367,183464.000,0.000,[-0.4236699194295639 -2.205426299074267 0.41309933575172497 1.5950216414752414 0.5060332909345613 4.162750378412435 2.5628043312546422 -0.8463880868001539 -3.738011499960438 -0.09079045553563958 2.8239778863439686 -3.1981423477186537 0.1428319270292917 -1.5449534554852873 1.2606427518133554 0.29652716116621225 2.2836243162296834 2.198589205611788 -0.8189382351245094 1.6513124102401666 3.2835147172699015]
4,11.566,213674.000,0.000,[-4.230340291885888 1.9230539855008502 -4.348677595604994 1.828423304390427 -4.2442927387204294 5.584840123675757 6.523327522514681 -5.883663557785985 -5.9506948999657086 0.18662522084513944 7.533878202059897 -4.270424844511712 -3.872515340643086 -3.4027534621887656 2.024085811872456 0.4079126930635332 6.629031656415712 2.482912027920617 -5.476612298318903 6.653780869177209 4.153870129367612]
5,14.574,313021.000,0.000,[-8.099194899946507 -0.9397185588352384 -4.286309887596501 1.8809467767264065 -7.716557311919195 4.404185386393502 11.363639730938559 -6.550709194292792 -12.103140033639038 1.4246343429657733 11.707828489399386 -8.823300449826341 -4.447712503577565 -6.470917608916008 1.1467235770290927 0.9114231628826983 3.6350882146326695 8.577841595477084 0.17097269707061669 -2.6544032032348106 7.557186168529972]
6,13.709,329050.000,0.000,[-1.681847709065376 2.571164336870018 -5.300045608146156 3.224727177854969 -10.09957683490512 3.9430768913545187 15.761852815737665 -3.8098534073406367 -8.565737685278695 6.273552201525506 4.930130671965182 -6.077860811950268 -6.1505030296699585 -7.844375247866475 2.2566658063702207 0.36357434867039945 7.8554747585050855 4.485835626077507 2.3763531687801738 -2.520005910657009 4.5104267515661025]
7,12.937,348209.000,0.000,[-10.116334351124031 6.566892176823811 -4.251542682474752 7.8048707890717655 -4.678443627088969 6.608505962208287 10.05116861920343 -4.988759806593051 -2.6925169977402748 10.223087171091901 11.528244414225217 -9.088249862860987 -8.507692940960151 -10.455249441684554 0.705639347206521 0.5041460765144208 1.09103926323922 5.242628863042617 4.627051727221583 -6.202261914245996 6.269695157991129]
8,12.049,348209.000,0.000,[-10.116334351124031 6.566892176823811 -4.251542682474752 7.8048707890717655 -4.678443627088969 6.608505962208287 10.05116861920343 -4.988759806593051 -2.6925169977402748 10.223087171091901 11.528244414225217 -9.088249862860987 -8.507692940960151 -10.455249441684554 0.705639347206521 0.5041460765144208 1.09103926323922 5.242628863042617 4.627051727221583 -6.202261914245996 6.269695157991129]
9,14.552,400946.000,0.000,[-5.842561870098767 9.50455101299171 -7.392377575030777 8.89031541703531 -2.7863515123449845 5.947868630657217 9.924541809310426 -4.707025628593924 -3.2218501579498877 6.280678135790964 9.839013523711163 -11.453362486282604 -6.19906665748887 -11.355389081011543 -0.01078438420184824 0.9498045282445169 3.958214825093197 5.385862860577008 0.7665182930033563 -2.884117147007721 3.560854688520645]
10,14.972,400946.000,0.000,[-5.842561870098767 9.50455101299171 -7.392377575030777 8.89031541703531 -2.7863515123449845 5.947868630657217 9.924541809310426 -4.707025628593924 -3.2218501579498877 6.280678135790964 9.839013523711163 -11.453362486282604 -6.19906665748887 -11.355389081011543 -0.01078438420184824 0.9498045282445169 3.958214825093197 5.385862860577008 0.7665182930033563 -2.884117147007721 3.560854688520645]
