RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 130
maxDropRem: 3
startingLines: 0
startingLevel: 18
averageAmount: 50
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,121.542,130918.000,0.000,[0.8041055580001377 0.44639350934453104 0.5724109860196586 0.003539474605303128 0.9033079224406098 0.4943021758616468 0.23037646905406495 0.03197137173207498 0.8181174542369551 0.6049560027865277 0.1633543174419404 0.5983452517978693 0.4888845591645937 0.3455205391499496 0.24984664829957814 0.46289917672906467 0.17775106773469895 0.9379002148763415 0.25543350551339183 0.5112321508501978]
2,25.980,160238.000,0.000,[-0.1822772270756452 -3.4738747199206874 0.37866449458289553 3.076149604710882 5.003301937367278 3.8648885846758336 -1.7071752303763077 3.597670743941497 0.7746658468647016 4.367791466867589 3.102108300831352 -3.142432941324041 0.6504173862664326 1.617440529883833 -0.6938853434117905 1.1057959994204398 -0.8351072094110222 4.448125926902928 -2.1323020049281647 2.94564382874675]
3,62.802,172003.000,0.000,[2.4514789421286 2.5752339247878324 -1.0421990702908381 3.0734989640200303 2.690518502784042 7.942174779552198 -2.168370731529585 1.8820917059158262 -5.223586547199589 6.704591373548977 1.9818494901760668 -3.055512024752376 0.8582043464484475 1.2255321981515812 -1.0965009266828185 1.9213188986612715 2.7979601892804493 3.698237559333549 -1.5622455717766672 -0.9172041583032025]
4,71.295,255383.000,0.000,[1.151800504313539 3.0411363130310147 -2.8053671484180396 5.925731148401743 8.587606678626845 5.931849281765663 -0.7979691073076387 -0.4707738857264916 -3.618209230521502 8.026289942998101 7.3163766957664915 -6.014707369105721 0.6248289279597583 5.841345543173412 -2.524139678176784 1.135475917924464 3.89462365948098 3.750827891439275 -6.714125307668663 -1.0740591877143073]
5,76.740,333131.000,0.000,[-6.486569992086997 6.850107699176528 -6.372541993815463 10.961901812112567 10.14564062464864 8.218486069874873 5.517921509472261 -2.53901509796569 -6.864866178234906 10.66850916271081 7.022197502637722 -8.162574617868604 0.9085469438802025 4.206287019827973 -2.15098946192343 1.4113180728022794 6.177464583894182 6.358441108920666 -5.325997067921187 1.109149339899504]
6,75.254,333131.000,0.000,[-6.486569992086997 6.850107699176528 -6.372541993815463 10.961901812112567 10.14564062464864 8.218486069874873 5.517921509472261 -2.53901509796569 -6.864866178234906 10.66850916271081 7.022197502637722 -8.162574617868604 0.9085469438802025 4.206287019827973 -2.15098946192343 1.4113180728022794 6.177464583894182 6.358441108920666 -5.325997067921187 1.109149339899504]
7,78.970,333131.000,0.000,[-6.486569992086997 6.850107699176528 -6.372541993815463 10.961901812112567 10.14564062464864 8.218486069874873 5.517921509472261 -2.53901509796569 -6.864866178234906 10.66850916271081 7.022197502637722 -8.162574617868604 0.9085469438802025 4.206287019827973 -2.15098946192343 1.4113180728022794 6.177464583894182 6.358441108920666 -5.325997067921187 1.109149339899504]
8,75.603,333131.000,0.000,[-6.486569992086997 6.850107699176528 -6.372541993815463 10.961901812112567 10.14564062464864 8.218486069874873 5.517921509472261 -2.53901509796569 -6.864866178234906 10.66850916271081 7.022197502637722 -8.162574617868604 0.9085469438802025 4.206287019827973 -2.15098946192343 1.4113180728022794 6.177464583894182 6.358441108920666 -5.325997067921187 1.109149339899504]
9,79.546,333678.000,0.000,[-11.720211914049948 5.998781590083739 -2.6799447010928237 12.165304508584445 11.230156647740971 9.136679440666974 8.042518276886991 -1.1664369049389363 -7.713292183370204 19.384559595093123 7.705328680190236 -8.663425534414248 -0.9963546745649541 0.1613715596979306 1.163710015417157 0.6362160850017746 6.682301439981273 6.923144549070989 -4.349941556465735 0.33445141476726903]
10,72.747,365537.000,0.000,[-4.855325419030542 3.1245135752219166 -0.9988179800093646 15.462334690880558 11.493789369130756 6.819561703436045 5.274362470730824 -1.7343567545428606 -5.313681246416672 12.892814898347812 9.953554306506312 -5.720152704007223 -3.0535415356684865 -0.9277224690404404 -3.5208507627675485 1.1719670750695506 1.8268733347109227 8.284567373325403 -4.32024268631463 0.5400513530900852]
11,86.850,432866.000,0.000,[-14.37359847693597 1.5249126403461015 -3.4117148618925106 17.14447559225011 15.256925543895111 7.296127763037601 9.332610877128758 -4.3222094764243355 -4.86864429317319 18.86311642517294 11.38098300664383 -8.443169164474586 -3.051693150703871 -0.7649876992506623 -5.743550022424725 1.1986153595098497 2.513967933204209 12.159078656591134 0.3694987708821458 -0.21496237223781067]
12,89.101,432866.000,0.000,[-14.37359847693597 1.5249126403461015 -3.4117148618925106 17.14447559225011 15.256925543895111 7.296127763037601 9.332610877128758 -4.3222094764243355 -4.86864429317319 18.86311642517294 11.38098300664383 -8.443169164474586 -3.051693150703871 -0.7649876992506623 -5.743550022424725 1.1986153595098497 2.513967933204209 12.159078656591134 0.3694987708821458 -0.21496237223781067]
13,71.984,432866.000,0.000,[-14.37359847693597 1.5249126403461015 -3.4117148618925106 17.14447559225011 15.256925543895111 7.296127763037601 9.332610877128758 -4.3222094764243355 -4.86864429317319 18.86311642517294 11.38098300664383 -8.443169164474586 -3.051693150703871 -0.7649876992506623 -5.743550022424725 1.1986153595098497 2.513967933204209 12.159078656591134 0.3694987708821458 -0.21496237223781067]
14,67.040,432866.000,0.000,[-14.37359847693597 1.5249126403461015 -3.4117148618925106 17.14447559225011 15.256925543895111 7.296127763037601 9.332610877128758 -4.3222094764243355 -4.86864429317319 18.86311642517294 11.38098300664383 -8.443169164474586 -3.051693150703871 -0.7649876992506623 -5.743550022424725 1.1986153595098497 2.513967933204209 12.159078656591134 0.3694987708821458 -0.21496237223781067]
15,80.860,448271.000,0.000,[-3.9999921998263748 6.49596658994024 4.300912574600569 17.21454434974771 4.553310988318055 6.929790308324555 11.95801139750735 -0.35852159441956744 -10.414487601661714 18.425914707135032 11.863833439339853 -4.3137024769626136 -6.952531314208109 -2.850670723156898 -8.017034808729468 0.9064938496201465 -0.007971241042245225 12.669194901173595 -3.567099686707989 0.9408548512097558]
16,86.474,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
17,80.031,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
18,63.324,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
19,71.801,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
20,83.558,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
21,73.138,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
22,64.772,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
23,72.105,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
24,79.172,462126.000,0.000,[-6.3346996185622935 3.8224923116070926 1.3383327293434326 16.22909662551948 5.905123061748704 5.122736453960306 11.861026837470419 -3.5906811824856297 -8.813808151326404 18.383796508798255 8.468306906771623 -6.711760764167638 -5.898694585040987 -1.1578949039315614 -7.260088086801517 1.1278579377040088 -0.5155482601428862 12.47179053099811 -0.09863941860101799 -0.09740416807344854]
