RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=10, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 2
numGames: -1
numLines: 230
seed: 800
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: AugmentedBottomLoc

iteration,time_taken,train_score,eval_score,vector
1,14.268,429943.000,0.000,[0.6480253773147746 0.8663682579139718 0.41929645216491596 0.44868446639777815 0.4403034329813996 0.7023201981519738 0.13094441557187464 0.06896078241856618 0.2637207200527715 0.6725108637898106]
2,14.339,429943.000,0.000,[0.6480253773147746 0.8663682579139718 0.41929645216491596 0.44868446639777815 0.4403034329813996 0.7023201981519738 0.13094441557187464 0.06896078241856618 0.2637207200527715 0.6725108637898106]
3,14.479,432740.000,0.000,[3.266840741628701 2.9174447367452516 0.836737200062341 2.1345654594853483 2.2156421857436603 -3.1430722127187667 -0.5937339936172037 -1.0756096389066365 4.113982249131781 -0.08087834996474452]
4,14.291,432740.000,0.000,[3.266840741628701 2.9174447367452516 0.836737200062341 2.1345654594853483 2.2156421857436603 -3.1430722127187667 -0.5937339936172037 -1.0756096389066365 4.113982249131781 -0.08087834996474452]
5,14.301,432740.000,0.000,[3.266840741628701 2.9174447367452516 0.836737200062341 2.1345654594853483 2.2156421857436603 -3.1430722127187667 -0.5937339936172037 -1.0756096389066365 4.113982249131781 -0.08087834996474452]
6,14.295,432971.000,0.000,[-0.603085077228227 5.470017883319489 0.17374138440966835 5.314634168481108 -1.0559828709141055 -0.5801661386667556 -0.5921055412677647 -0.5261818746988355 0.44164826312185657 2.2492781004313747]
7,14.335,432971.000,0.000,[-0.603085077228227 5.470017883319489 0.17374138440966835 5.314634168481108 -1.0559828709141055 -0.5801661386667556 -0.5921055412677647 -0.5261818746988355 0.44164826312185657 2.2492781004313747]
8,14.385,432971.000,0.000,[-0.603085077228227 5.470017883319489 0.17374138440966835 5.314634168481108 -1.0559828709141055 -0.5801661386667556 -0.5921055412677647 -0.5261818746988355 0.44164826312185657 2.2492781004313747]
9,14.398,432971.000,0.000,[-0.603085077228227 5.470017883319489 0.17374138440966835 5.314634168481108 -1.0559828709141055 -0.5801661386667556 -0.5921055412677647 -0.5261818746988355 0.44164826312185657 2.2492781004313747]
10,14.294,433040.000,0.000,[0.10690957798209111 9.968375006733588 -0.4421869083793277 2.6673573338945773 -1.2553961947746786 -5.567064373960121 -1.3179275135842259 -1.8689747687492835 0.17510760302304273 3.571443845904481]
11,14.376,433040.000,0.000,[0.10690957798209111 9.968375006733588 -0.4421869083793277 2.6673573338945773 -1.2553961947746786 -5.567064373960121 -1.3179275135842259 -1.8689747687492835 0.17510760302304273 3.571443845904481]
12,14.275,433040.000,0.000,[0.10690957798209111 9.968375006733588 -0.4421869083793277 2.6673573338945773 -1.2553961947746786 -5.567064373960121 -1.3179275135842259 -1.8689747687492835 0.17510760302304273 3.571443845904481]
13,14.274,433040.000,0.000,[0.10690957798209111 9.968375006733588 -0.4421869083793277 2.6673573338945773 -1.2553961947746786 -5.567064373960121 -1.3179275135842259 -1.8689747687492835 0.17510760302304273 3.571443845904481]
14,14.446,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
15,14.303,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
16,14.208,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
17,14.325,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
18,14.416,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
19,14.299,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
20,14.299,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
21,14.296,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
22,14.225,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
23,14.363,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
24,14.369,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
25,14.393,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
26,14.337,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
27,14.448,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
28,14.314,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
29,14.387,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
30,14.321,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
31,14.325,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
32,14.222,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
33,14.290,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
34,14.340,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
35,14.300,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
36,14.316,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
37,14.361,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
38,14.323,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
39,14.280,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
40,14.448,433618.000,0.000,[-1.2771862179144597 7.2125673289087775 -1.0673392040721565 0.017408750552611707 -1.3529272093184423 -3.194383060883265 -3.1823941360076673 -2.385119346977747 2.773532578082647 0.46923145167757196]
