RunnerSettings(num_particles=48, num_neighbours=48, iterations=1200, dimensions=10, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 250
maxDropRem: 2
numGames: 500
numLines: 230
seed: 800
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: AugmentedBottomLoc

iteration,time_taken,train_score,eval_score,vector
1,33.502,421048.000,0.000,[0.7843133830756405 0.5254072233222574 0.15392691584181695 0.8228367026603288 0.008355230465347807 0.8869406737250831 0.10549443117980362 0.6920585761781671 0.42196532398424014 0.1730237269228967]
2,33.150,421048.000,0.000,[0.7843133830756405 0.5254072233222574 0.15392691584181695 0.8228367026603288 0.008355230465347807 0.8869406737250831 0.10549443117980362 0.6920585761781671 0.42196532398424014 0.1730237269228967]
3,33.195,421134.000,0.000,[0.9089101747967683 -0.3966993603981077 -1.6262824442026451 -4.054360675005645 -0.5169238469376597 4.509475211631799 -2.7027156119996025 0.7205208288042817 0.6227515657626463 7.206855624632277]
4,33.344,421744.000,0.000,[-0.9097489166165058 5.11689303315486 -2.815267278592286 -6.404017646395186 -0.49933321968876276 2.8140058641405736 -5.0457043977472695 -0.08462557845341778 -2.9687625024983655 3.9052351006661197]
5,33.262,421744.000,0.000,[-0.9097489166165058 5.11689303315486 -2.815267278592286 -6.404017646395186 -0.49933321968876276 2.8140058641405736 -5.0457043977472695 -0.08462557845341778 -2.9687625024983655 3.9052351006661197]
6,33.167,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
7,33.250,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
8,33.336,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
9,33.309,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
10,33.342,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
11,33.382,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
12,33.277,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
13,33.263,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
14,33.452,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
15,33.425,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
16,33.313,423622.000,0.000,[2.951332540693167 3.4781902149932833 -4.67379721448689 2.2299269788396074 -0.7633753372456602 -0.04485423583373471 -2.9345682992457958 -0.5076634966970507 -6.912728778390665 0.025947448665656125]
