RunnerSettings(num_particles=48, num_neighbours=48, iterations=1200, dimensions=10, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 250
maxDropRem: 2
numGames: 500
numLines: 230
seed: 800
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: AugmentedLoc

iteration,time_taken,train_score,eval_score,vector
1,33.246,416325.000,0.000,[0.756106465921433 0.9792824771561429 0.41947265716606497 0.18034350638517616 0.2865040368499143 0.4017008490645564 0.1396014723509501 0.44999534734637947 0.8548761368738775 0.9886138133928645]
2,33.222,418421.000,0.000,[0.956780699942434 2.327191625294244 2.636081945488541 -4.033249122069641 -2.3763354507422667 2.996341774743829 -2.3214635010544304 1.7581241431892465 -3.610507941943339 0.09628169367035255]
3,33.791,418924.000,0.000,[-0.4111704443342319 4.348852805413309 -0.10288720556000897 -2.376080228023568 -3.7313751846245533 1.5819016579218312 -1.04172189883724 -0.3603841564968957 -3.799106829276672 1.5539226877714847]
4,33.102,419174.000,0.000,[2.2724698587236043 4.654525845540474 1.6806792958842873 -0.6367819284159033 -2.4989665653129505 4.62365088101192 1.250411858174814 0.518668234951293 -4.659862100360664 0.8970816911936931]
5,33.160,420217.000,0.000,[1.2957596831494334 3.94885280541331 0.6914956659368894 -1.9760802280235685 -3.3313751846245534 5.660322572813428 1.2814159339208455 1.1649124605440582 -4.962221558603902 -0.36603772356868625]
6,33.096,420692.000,0.000,[1.2945285170857668 6.685004293459508 1.1985122838019433 -1.5764091729031913 -0.9083768198148032 6.489389059088198 1.6699028994467873 4.47273191764608 -5.2448952847146995 3.502176557123068]
7,33.285,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
8,33.223,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
9,33.328,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
10,33.251,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
11,33.336,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
12,33.242,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
13,33.352,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
14,33.287,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
15,33.368,422781.000,0.000,[1.5464899198793614 6.735027995305324 -6.309841658400878 -1.340837126184491 -3.4582378808398127 3.461600019358924 -0.3864553486093416 1.2812435407420355 -3.611639673670905 1.8671777122225286]
16,33.346,423094.000,0.000,[2.0092174633515434 10.393872686081103 -12.531111604469544 -1.8911509522223124 -2.2206258219649913 4.552965506878479 -4.004970472479555 0.6053064121201595 -2.715262963692506 3.577911414775775]
17,33.313,423094.000,0.000,[2.0092174633515434 10.393872686081103 -12.531111604469544 -1.8911509522223124 -2.2206258219649913 4.552965506878479 -4.004970472479555 0.6053064121201595 -2.715262963692506 3.577911414775775]
18,33.369,423342.000,0.000,[3.9987107147652945 12.09751794383279 -12.406436419259418 2.4605670949040777 -3.0807553373494585 11.452418742947485 -1.4015351418293207 -2.00872621110135 -2.1222297713183185 3.830759542608304]
19,33.342,424120.000,0.000,[0.2721594460337249 13.316419106463771 -8.302074160814499 -1.7813870921529735 -0.3600238859202989 10.884819272460184 -2.7405188789545036 -2.3070572098523736 -0.5812116697141532 3.3601207746490034]
20,33.217,424120.000,0.000,[0.2721594460337249 13.316419106463771 -8.302074160814499 -1.7813870921529735 -0.3600238859202989 10.884819272460184 -2.7405188789545036 -2.3070572098523736 -0.5812116697141532 3.3601207746490034]
21,33.258,424120.000,0.000,[0.2721594460337249 13.316419106463771 -8.302074160814499 -1.7813870921529735 -0.3600238859202989 10.884819272460184 -2.7405188789545036 -2.3070572098523736 -0.5812116697141532 3.3601207746490034]
22,33.218,424120.000,0.000,[0.2721594460337249 13.316419106463771 -8.302074160814499 -1.7813870921529735 -0.3600238859202989 10.884819272460184 -2.7405188789545036 -2.3070572098523736 -0.5812116697141532 3.3601207746490034]
23,33.308,424244.000,0.000,[0.30596947089483884 10.969586418929532 -7.983508377672351 2.5077460599739383 -0.755053560252235 11.804455511971838 -2.0243920737485284 -2.087339242467248 -2.4166181657732877 3.522926896638264]
24,33.253,424244.000,0.000,[0.30596947089483884 10.969586418929532 -7.983508377672351 2.5077460599739383 -0.755053560252235 11.804455511971838 -2.0243920737485284 -2.087339242467248 -2.4166181657732877 3.522926896638264]
