RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 230
maxDropRem: 2
startingLines: 130
startingLevel: 19
averageAmount: 50
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,13.894,160180.000,0.000,[0.5652044525247377 0.12253743079321067 0.25728487148320334 0.4514894369447766 0.4078881810877073 0.8615895508808593 0.46678853537069265 0.05240689330550341 0.48216352056451905 0.4355566663787591 0.23852729947672358 0.025689680279937788 0.24796532018821815 0.07448050480199642 0.3474761531680095 0.003827521146164359 0.3324384986195046 0.8578704618726608 0.09177700653645127 0.12288951753064781]
2,2.827,218954.000,0.000,[3.843343179540239 2.2900337686177648 1.0645303243671482 -1.6912313236511562 2.9311888471785945 4.4859741122327845 4.0930801733668245 -3.427948368517259 -3.5131929946294926 2.980841950236186 2.5829381080775553 -3.189675072712224 1.8793511426530434 2.3474986910440427 -2.0474747776613644 0.7826004457144013 4.579802682824866 2.547249176723372 -1.735803313428837 0.9014209972275712]
3,8.805,252387.000,0.000,[2.2631144707461495 3.735647617951373 3.171019445884011 -0.7863916433234568 4.57668452114757 8.34984753509054 0.6847769875392844 -4.6129390661571446 -1.062486219097675 4.49829790781249 6.016237461291499 -4.901060449383477 -0.9022080636781631 4.156205968289146 -4.097268958105973 1.354251300360041 4.823270949600932 -4.328503034341518 -4.891611680518512 -6.83382811985037]
4,11.297,254137.000,0.000,[6.5095236218948616 4.145252387313427 4.649661879940378 -4.457295162269649 8.864229548970016 6.986337796974043 2.001406482571342 -5.521480817281152 0.42526646131975543 6.838249186110323 9.485481666018597 -7.239443986907581 -1.0609535949030016 0.3329745706620644 -8.393149330807276 3.338809710205563 5.9677874849514305 6.930825962039485 -8.8535946070732 5.106690595688864]
5,11.878,270484.000,0.000,[8.449573914668079 8.77543222639352 8.959637756639243 -2.2047056078358205 11.292342348773213 10.885321602647556 1.0137256518485165 -8.881960295880742 -2.5288628173731666 12.771294993532686 13.7724266198922 -8.651440000178107 -0.9665288498131286 2.3879662165320283 -9.070851841576342 3.1898508235981957 5.078023997566268 4.598592304114492 -12.619517108510854 2.108835505760648]
6,10.450,271269.000,0.000,[10.777407940457206 9.444598469032304 13.03521816655521 -6.804236367969879 10.356279916608749 5.902342471939107 1.1461509515186927 -6.047447473314565 0.42260222228110456 16.286859759543773 2.568839082426659 -6.73691989765109 -2.6779009347455736 -4.975122340217311 -10.804498951325483 3.534350414040604 3.9173988555678605 0.06089926786651123 -3.9839909331572487 4.21344032983545]
7,11.334,307614.000,0.000,[11.913503331234866 14.058223691975593 15.934479191072326 -9.35835658708492 15.70091821948998 17.6749346671439 -2.381892127421085 -8.57732339106538 -3.5114003594951795 20.95841551181033 17.588520989606693 -11.767266350089741 -5.894260918793197 -0.7690020304642395 -14.048799061144805 4.15745938904909 1.668992562122039 1.156525931953106 -8.361815164177084 3.880591514040276]
8,10.389,322486.000,0.000,[14.127835777014168 16.361645174682238 15.332884853385156 -4.3564479926952835 10.009932851641217 16.648220703653692 0.8724179536700434 -7.030194709702069 -3.9214624551011403 19.94692484189668 17.74955263836555 -5.0376454345185255 -10.578192636509293 -7.8382170504788355 -13.389293743567453 2.397848328409196 -0.04005645264149038 2.4778265186362938 -6.431813694877643 2.9440890220420304]
9,8.720,333744.000,0.000,[16.591280409906112 19.382726704989306 18.93495689535266 -5.805406195919722 14.368827685495589 11.731737584865723 6.41903860015125 -11.468122883172324 2.215058797896921 19.788156960621333 12.869449735293632 -8.10414110610903 -8.373137699457054 -8.357942986380703 -18.885436593798055 4.063587356867953 5.923954100143224 -1.9591417918226366 -5.784671632098018 -1.228912027215877]
10,10.942,333744.000,0.000,[16.591280409906112 19.382726704989306 18.93495689535266 -5.805406195919722 14.368827685495589 11.731737584865723 6.41903860015125 -11.468122883172324 2.215058797896921 19.788156960621333 12.869449735293632 -8.10414110610903 -8.373137699457054 -8.357942986380703 -18.885436593798055 4.063587356867953 5.923954100143224 -1.9591417918226366 -5.784671632098018 -1.228912027215877]
