RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=1, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 2
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: Augmented

iteration,time_taken,train_score,eval_score,vector
1,15.472,456355.000,0.000,[0.9513963716874004]
2,15.319,456355.000,0.000,[0.9513963716874004]
3,15.296,456355.000,0.000,[0.9513963716874004]
4,14.545,456355.000,0.000,[0.9513963716874004]
5,15.458,456355.000,0.000,[0.9513963716874004]
6,15.212,456355.000,0.000,[0.9513963716874004]
7,15.150,456355.000,0.000,[0.9513963716874004]
8,15.041,456355.000,0.000,[0.9513963716874004]
9,14.793,456355.000,0.000,[0.9513963716874004]
10,15.200,456355.000,0.000,[0.9513963716874004]
11,14.886,456355.000,0.000,[0.9513963716874004]
12,15.081,456355.000,0.000,[0.9513963716874004]
13,15.190,456355.000,0.000,[0.9513963716874004]
14,15.101,456355.000,0.000,[0.9513963716874004]
15,14.583,456355.000,0.000,[0.9513963716874004]
16,15.264,456355.000,0.000,[0.9513963716874004]
17,14.485,456355.000,0.000,[0.9513963716874004]
18,14.543,456355.000,0.000,[0.9513963716874004]
19,14.677,456355.000,0.000,[0.9513963716874004]
20,14.843,456355.000,0.000,[0.9513963716874004]
21,14.783,456355.000,0.000,[0.9513963716874004]
22,14.678,456355.000,0.000,[0.9513963716874004]
23,14.532,456355.000,0.000,[0.9513963716874004]
24,14.360,456355.000,0.000,[0.9513963716874004]
25,15.038,456355.000,0.000,[0.9513963716874004]
26,14.890,456355.000,0.000,[0.9513963716874004]
27,14.898,456355.000,0.000,[0.9513963716874004]
28,14.912,456355.000,0.000,[0.9513963716874004]
29,14.777,456355.000,0.000,[0.9513963716874004]
30,14.720,456355.000,0.000,[0.9513963716874004]
31,15.072,456355.000,0.000,[0.9513963716874004]
32,14.622,456355.000,0.000,[0.9513963716874004]
33,14.370,456355.000,0.000,[0.9513963716874004]
34,14.530,456355.000,0.000,[0.9513963716874004]
35,14.609,456355.000,0.000,[0.9513963716874004]
36,15.107,456355.000,0.000,[0.9513963716874004]
37,14.943,456355.000,0.000,[0.9513963716874004]
