RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=21, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 2
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: WellVeryLeft

iteration,time_taken,train_score,eval_score,vector
1,14.740,127051.000,0.000,[0.003813483014167507 0.5265992870346359 0.7048312336239789 0.746100539012126 0.9745335220799686 0.9717170895238535 0.15152744259883344 0.2999096372293679 0.1390780497127364 0.4685686209825942 0.368138789369565 0.950842368016138 0.6498916520173219 0.3229848391293533 0.4863220923198326 0.030756890355039812 0.5307483511514229 0.18109629369387414 0.34213497113560265 0.5023933141116169 0.18913477652934252]
2,3.929,185278.000,0.000,[4.194057918960115 -3.1428135916678883 0.22186348852902954 -1.3282994060979407 -0.23978956245912453 5.285209711647178 4.11986581764094 -1.4440554106467318 -0.9730048913186788 -2.543490515570233 1.5238602300058486 -0.1822363512247238 3.939171839708189 -3.328086260701639 -2.5577559628469952 0.6029167538482683 3.69742965786639 4.0715446748572495 -3.430923214823194 -1.3007605549234005 2.851542248420049]
3,9.215,239840.000,0.000,[3.288627278269092 -0.7490223887840175 1.7522780240325555 -2.688192011101481 1.412669015217519 3.400049545829329 4.987200307637915 -2.38905463102373 0.5362302723488082 -0.43036487119768285 3.3659224235051344 0.2292066762828293 6.075332564683665 -4.172494677542003 -4.477504182506268 0.4527965492175614 3.492982193113412 4.678280547428736 -2.7303455368362854 0.2306348221355048 5.087562688476589]
4,9.508,278322.000,0.000,[-2.3648747669509262 -1.2084504361067996 4.835536186959847 -1.8363719129955234 5.353380437984386 5.068954691040062 7.766401056321867 -0.38876060337033924 2.3017617335920244 -0.09642243242233661 3.821326301846076 -2.8890365064772405 6.868544464164475 -7.062453763184264 -6.359314035896142 1.4964493499845148 7.093568128721419 3.3022522928133853 -1.7457473084940531 -0.5963733013292285 4.789557594290445]
5,13.061,318363.000,0.000,[-1.5341257549415932 1.8149026334135518 6.884415531631436 0.3284838030014665 6.61228242932936 6.231375018683835 6.720245320714869 1.42106664400147 -1.694665049031344 -0.24154550757880777 3.5962478017014323 -6.615642773373299 6.572751536513815 -8.306102604593626 -6.22497369490981 2.1888230707972838 -2.0984299074371573 -0.48198980087303234 -0.8068315900896585 -0.23470041199506342 5.495542599574309]
6,9.845,318363.000,0.000,[-1.5341257549415932 1.8149026334135518 6.884415531631436 0.3284838030014665 6.61228242932936 6.231375018683835 6.720245320714869 1.42106664400147 -1.694665049031344 -0.24154550757880777 3.5962478017014323 -6.615642773373299 6.572751536513815 -8.306102604593626 -6.22497369490981 2.1888230707972838 -2.0984299074371573 -0.48198980087303234 -0.8068315900896585 -0.23470041199506342 5.495542599574309]
7,9.050,318489.000,0.000,[-2.3247350913750857 1.437105551100375 9.121317645329235 1.1433997913247254 11.722794575764745 7.002091999227174 10.635046974764933 -3.6594984632740424 -1.3879912890885198 -0.5850067285317397 4.819057980154895 -2.240578562530632 3.3462043430475754 -9.107034009460138 -13.186234152205445 2.7512775283051623 4.045815079433451 -3.2540069668105414 -3.228744898861614 1.6353495496902792 7.553832304585053]
8,11.798,318489.000,0.000,[-2.3247350913750857 1.437105551100375 9.121317645329235 1.1433997913247254 11.722794575764745 7.002091999227174 10.635046974764933 -3.6594984632740424 -1.3879912890885198 -0.5850067285317397 4.819057980154895 -2.240578562530632 3.3462043430475754 -9.107034009460138 -13.186234152205445 2.7512775283051623 4.045815079433451 -3.2540069668105414 -3.228744898861614 1.6353495496902792 7.553832304585053]
9,12.760,342413.000,0.000,[-3.0042415597650454 1.4402435634874031 12.321854728567603 0.7433997913247259 11.379149259136788 6.602091999227174 10.03060335765627 -2.4851991479001843 -1.1105129658968513 -0.18500672853174027 10.743475565961303 -2.910011008173578 4.365389484965297 -9.774674327364924 -12.45174147217492 1.474525200393185 4.445815079433451 -2.408282138483438 -1.0699382815458485 1.2353495496902802 5.619471865879762]
10,9.991,342413.000,0.000,[-3.0042415597650454 1.4402435634874031 12.321854728567603 0.7433997913247259 11.379149259136788 6.602091999227174 10.03060335765627 -2.4851991479001843 -1.1105129658968513 -0.18500672853174027 10.743475565961303 -2.910011008173578 4.365389484965297 -9.774674327364924 -12.45174147217492 1.474525200393185 4.445815079433451 -2.408282138483438 -1.0699382815458485 1.2353495496902802 5.619471865879762]
11,9.434,342413.000,0.000,[-3.0042415597650454 1.4402435634874031 12.321854728567603 0.7433997913247259 11.379149259136788 6.602091999227174 10.03060335765627 -2.4851991479001843 -1.1105129658968513 -0.18500672853174027 10.743475565961303 -2.910011008173578 4.365389484965297 -9.774674327364924 -12.45174147217492 1.474525200393185 4.445815079433451 -2.408282138483438 -1.0699382815458485 1.2353495496902802 5.619471865879762]
12,12.969,349127.000,0.000,[-0.10956367214187512 1.7741756692781108 11.330134455417747 1.6968852392919833 11.422560656622926 4.85901995034666 8.79472936259717 -3.0813479961138937 -2.883768358083209 2.60004262095412 9.677719896986998 -2.269180391722228 6.558711668087685 -11.63955424359964 -14.049016380634866 1.8290955261076982 2.8891586787124304 -2.159007784941 0.08546667932487417 1.5932680525578835 8.33491681476714]
13,11.779,349127.000,0.000,[-0.10956367214187512 1.7741756692781108 11.330134455417747 1.6968852392919833 11.422560656622926 4.85901995034666 8.79472936259717 -3.0813479961138937 -2.883768358083209 2.60004262095412 9.677719896986998 -2.269180391722228 6.558711668087685 -11.63955424359964 -14.049016380634866 1.8290955261076982 2.8891586787124304 -2.159007784941 0.08546667932487417 1.5932680525578835 8.33491681476714]
14,9.094,356632.000,0.000,[-0.2655621892057175 -1.072327243065251 9.509509161248241 0.7429807104542228 10.461869207476962 8.285883964150523 11.703956026234774 -3.9741249630818656 -0.028798577451027985 -2.418624322718813 11.803608845738303 -1.8696800033322827 3.242774225897669 -14.717778904690702 -15.541192315863599 2.380129674700807 2.1156307460205763 -3.4167382213540165 -0.20664803696601464 3.764114884487451 8.359224034199222]
15,10.481,356632.000,0.000,[-0.2655621892057175 -1.072327243065251 9.509509161248241 0.7429807104542228 10.461869207476962 8.285883964150523 11.703956026234774 -3.9741249630818656 -0.028798577451027985 -2.418624322718813 11.803608845738303 -1.8696800033322827 3.242774225897669 -14.717778904690702 -15.541192315863599 2.380129674700807 2.1156307460205763 -3.4167382213540165 -0.20664803696601464 3.764114884487451 8.359224034199222]
16,12.836,356632.000,0.000,[-0.2655621892057175 -1.072327243065251 9.509509161248241 0.7429807104542228 10.461869207476962 8.285883964150523 11.703956026234774 -3.9741249630818656 -0.028798577451027985 -2.418624322718813 11.803608845738303 -1.8696800033322827 3.242774225897669 -14.717778904690702 -15.541192315863599 2.380129674700807 2.1156307460205763 -3.4167382213540165 -0.20664803696601464 3.764114884487451 8.359224034199222]
17,12.195,357061.000,0.000,[3.6807310549917553 2.166041148876388 7.9043841910037145 0.44317413122169746 8.405396565458249 5.183664099464515 12.6978600061597 -9.27658693020971 -5.060778313342411 1.104190229971509 13.632634929663734 -4.725057817196745 4.469993464817719 -10.302651155969317 -15.986718539413868 2.5159185004842213 4.11016303660775 -3.7809874583775027 -4.093891063857981 -0.4664567851646164 8.780338371368071]
18,8.965,364395.000,0.000,[3.5580661680627665 3.7932523711012034 7.939702396866013 2.3260982431232105 8.673761688682792 9.569758776075124 14.71901014679463 -0.8309033569234447 -4.229886897407785 -1.041926790874722 10.475025897927097 -2.303039059309922 5.818496884763052 -11.851566100491517 -14.015027404511184 2.075548312347692 6.825469241674947 -1.4766618191959031 -3.32299152562529 -0.2556945634104564 8.63957046374737]
19,10.524,364395.000,0.000,[3.5580661680627665 3.7932523711012034 7.939702396866013 2.3260982431232105 8.673761688682792 9.569758776075124 14.71901014679463 -0.8309033569234447 -4.229886897407785 -1.041926790874722 10.475025897927097 -2.303039059309922 5.818496884763052 -11.851566100491517 -14.015027404511184 2.075548312347692 6.825469241674947 -1.4766618191959031 -3.32299152562529 -0.2556945634104564 8.63957046374737]
