RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=24, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinearAdvVar

iteration,time_taken,train_score,eval_score,vector
1,12.407,137914.000,0.000,[0.3840881702316883 0.31082674358183904 0.2571097478402109 0.8419246364225242 0.8960503525041057 0.7672215798484143 0.7164197841725402 0.1506839101283003 0.7380305350654042 0.41728836257983426 0.8748603110546469 0.12439062325544492 0.27048250263484497 0.06614998495224444 0.367809460844317 0.014395525282003718 0.47468402930165443 0.3090687599514985 0.11298906047298851 0.4663969780688123 0.0016733939730573244 0.7306330358675913 0.5622081087325016 0.23372128508247791]
2,2.837,137914.000,0.000,[0.3840881702316883 0.31082674358183904 0.2571097478402109 0.8419246364225242 0.8960503525041057 0.7672215798484143 0.7164197841725402 0.1506839101283003 0.7380305350654042 0.41728836257983426 0.8748603110546469 0.12439062325544492 0.27048250263484497 0.06614998495224444 0.367809460844317 0.014395525282003718 0.47468402930165443 0.3090687599514985 0.11298906047298851 0.4663969780688123 0.0016733939730573244 0.7306330358675913 0.5622081087325016 0.23372128508247791]
3,3.645,137914.000,0.000,[0.3840881702316883 0.31082674358183904 0.2571097478402109 0.8419246364225242 0.8960503525041057 0.7672215798484143 0.7164197841725402 0.1506839101283003 0.7380305350654042 0.41728836257983426 0.8748603110546469 0.12439062325544492 0.27048250263484497 0.06614998495224444 0.367809460844317 0.014395525282003718 0.47468402930165443 0.3090687599514985 0.11298906047298851 0.4663969780688123 0.0016733939730573244 0.7306330358675913 0.5622081087325016 0.23372128508247791]
4,3.219,137914.000,0.000,[0.3840881702316883 0.31082674358183904 0.2571097478402109 0.8419246364225242 0.8960503525041057 0.7672215798484143 0.7164197841725402 0.1506839101283003 0.7380305350654042 0.41728836257983426 0.8748603110546469 0.12439062325544492 0.27048250263484497 0.06614998495224444 0.367809460844317 0.014395525282003718 0.47468402930165443 0.3090687599514985 0.11298906047298851 0.4663969780688123 0.0016733939730573244 0.7306330358675913 0.5622081087325016 0.23372128508247791]
5,3.547,141485.000,0.000,[0.203408464748988 1.1995191894219128 1.1403941889958895 2.2506117463174053 3.3461604800230793 3.013848686198778 -3.8463422689908926 -5.86563689064522 1.4157033156305836 -1.4647709433090377 2.9275710608339107 2.2793534044105344 1.4102019198257802 1.627282683151218 1.4780041714503651 -0.24750985910008372 1.1346297861353234 -0.9799966924519815 3.120019415089361 -0.9317349273506572 -1.1100496977785888 -4.650171192264606 2.8418998615736646 0.8100499357415405]
6,5.919,143846.000,0.000,[3.687720590498931 1.5492282893159093 -1.3699959889094941 4.107803349508066 2.484290630171059 5.312358502323754 0.5835994758429903 -6.9137741360600184 3.2310443504569486 -1.041857444149053 2.0710510049590685 3.4956349337905293 0.8750589674035361 1.2156083892319793 0.018254528455905472 0.8686368841007055 1.2913814177530296 -0.08237496231047592 3.0104451373667125 3.6320546401834473 -0.5296737714189224 -3.1467175112873695 3.1514852366627335 1.6532480663034248]
7,8.282,156108.000,0.000,[4.26287236826821 2.244565295938254 -0.07681286900535333 5.117243360310519 0.24511798607963797 4.074921591651378 3.8219831835913656 -9.347363714982873 1.1681492680599337 -0.10509615404643291 4.7149659345791815 0.4913419578864957 -0.857007728611479 -2.2447289904631056 3.0197066867579077 0.07638888469995597 0.8498390066257945 -1.9654441745126232 2.8155196609928854 2.8355230644583367 -0.7532121821824074 -1.4367479280869562 4.5447223358369975 3.7793901799503824]
8,7.983,245016.000,0.000,[2.061792692675651 1.1243976692842388 2.7447076518687075 3.7548723167428095 -4.220160579820431 1.0537059987419704 1.858215406877492 -8.365810423878436 -0.11712242423651942 3.69318831034391 6.125482938232473 -2.5653718800539824 -0.7661297876214905 -4.520299185578412 -2.9544083071794436 0.8302593888078631 -2.3926321303195133 -2.0307094282454283 1.1768881820082278 2.052265142361274 3.0240764214609537 2.344532011604743 2.6096909027317787 3.555139077115431]
9,5.594,258111.000,0.000,[1.3132198515508495 0.13142457130458007 2.900082377002693 0.0794073545617282 -4.006463414451716 1.384582698424433 2.572215298446006 -1.6419730490788949 2.3648367018790326 2.384229263685878 6.310057797916435 -2.319507245349641 -0.24395973485333222 -9.017925632387861 -1.2843409309431708 0.3463464326406168 0.06804232943109678 1.74208278730209 2.3935773630909676 3.210156559862213 4.888463649513852 -5.469278461180398 4.544961010073328 4.501199179370931]
10,6.117,258111.000,0.000,[1.3132198515508495 0.13142457130458007 2.900082377002693 0.0794073545617282 -4.006463414451716 1.384582698424433 2.572215298446006 -1.6419730490788949 2.3648367018790326 2.384229263685878 6.310057797916435 -2.319507245349641 -0.24395973485333222 -9.017925632387861 -1.2843409309431708 0.3463464326406168 0.06804232943109678 1.74208278730209 2.3935773630909676 3.210156559862213 4.888463649513852 -5.469278461180398 4.544961010073328 4.501199179370931]
