RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: -1
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,19.073,131050.000,0.000,[0.21826595299903062 0.7388352532055616 0.20542203782574586 0.1723663074789865 0.08724677307757167 0.8699214213076722 0.10219281156052817 0.22205403049246675 0.523147450378361 0.9184260037546993 0.3909963582500239 0.9811024365006877 0.5960588694439172 0.5540859363304511 0.9711013255909944 0.4681470469309096 0.08966959134786212 0.8277867499011841 0.3110074040348111 0.7233200880050815]
2,3.713,138212.000,0.000,[3.2518751295406196 0.43069804702795256 2.535652499968667 4.7534664502093715 -0.6057509353004895 5.112079671685566 4.267232974579561 -4.364981804129088 -4.0340101814419045 -2.911718127492211 1.2712092469814134 3.8549669054874505 3.631364195970634 -3.182103471322963 -0.9477121270147442 1.8368200305809421 4.680131063128488 4.698683891985802 0.2534860873177779 3.9274673943992773]
3,16.370,163067.000,0.000,[1.8277307087629522 1.3402849707839475 -0.40054398092897125 1.3785896589480564 -0.9321763405359162 6.125456222286951 4.4675802463850935 -3.4533884692310246 -2.106745071001246 5.163724939564871 1.0553624659261915 3.1294997801881794 3.674327301064047 -3.473507256338579 -0.08634856013323872 -0.227644575777326 2.771438103790115 1.8640668306222987 0.6383881815556888 5.475893530506765]
4,10.492,168711.000,0.000,[5.14042641014585 5.679351875648902 -2.7481231817921348 5.878908776742085 1.2498093660062644 8.953961247874833 7.42242431927324 -6.709292204737324 -1.030053792319173 0.2920026593970304 5.804317730575218 5.882830644419654 6.334173491177277 -1.6992731373071575 -1.0279798149707635 -1.034103620914622 6.562660254926815 1.8333771352700108 -0.22864549857851868 7.179099914458753]
5,12.145,194722.000,0.000,[4.132950692032731 8.807064013157081 -0.35171097018373065 3.626894192830502 2.5401651587300087 9.493024832729109 1.1390445763559525 -5.554258337363626 0.0869945323431156 5.283212600113967 4.1370930573347495 -0.3806518873858993 -0.04609883499464651 -9.236810043187827 -3.3648510978834736 1.2257049975489287 2.899661469923527 -0.6232819650037404 -0.8874636470015069 4.960144323711296]
6,14.131,347134.000,0.000,[4.055158498772766 4.192282726082773 -0.2010396632805147 4.704015733409331 4.062068350481565 12.421522338433524 4.383438237582338 -4.363325634397973 4.05326636994382 -3.100218955830144 9.638430095865367 -1.5782710316339403 -2.3903198803356505 -7.77750617987433 -5.698940873520295 0.9817925965027745 3.8234547720517975 -1.670039824746535 -1.3056517086240769 4.549423239716173]
7,16.545,356449.000,0.000,[10.216643266481892 11.950955153646408 -7.0853632261324915 0.7443939066044805 1.7604039740680946 10.136490515291305 1.8522788606794043 -3.9842508621083246 6.670741373282244 -4.851641084996713 11.742325708332238 -3.7512465333479987 -1.3579786927219963 -7.4272096354692465 -10.235791026178074 2.1924865385465733 6.190500519483364 -5.263184356051541 -1.791861313024401 3.3369075517508917]
8,14.389,401356.000,0.000,[10.904280350045727 8.030413975662462 -5.84276373549828 3.1968105577979147 1.357833697867421 8.420468601809729 0.07730884408320282 -2.456809147304617 2.914500916666464 -2.7260954959824124 9.890302308641061 -4.473629528390365 -3.1111873221162214 -6.729157146828346 -6.819817489833083 1.690476342038949 4.308156987094521 -5.780909456618252 -0.9353255991747488 4.891192441617071]
9,11.981,401356.000,0.000,[10.904280350045727 8.030413975662462 -5.84276373549828 3.1968105577979147 1.357833697867421 8.420468601809729 0.07730884408320282 -2.456809147304617 2.914500916666464 -2.7260954959824124 9.890302308641061 -4.473629528390365 -3.1111873221162214 -6.729157146828346 -6.819817489833083 1.690476342038949 4.308156987094521 -5.780909456618252 -0.9353255991747488 4.891192441617071]
10,12.063,410532.000,0.000,[10.374436033337151 8.831403869952027 -2.1154528457166752 3.2117041359433385 3.3051278971425795 9.344995459809057 1.1812769384675348 -2.9806882012942384 8.668878087764762 -1.737967435758186 7.973100831997751 -6.000912268000447 -4.19305899493593 -5.288587923213672 -6.682484118465702 1.319312613739008 5.408813627861006 -3.555745686928674 1.4052024867446358 5.968075723098121]
