RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 200
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinear

iteration,time_taken,train_score,eval_score,vector
1,11.212,122534.000,0.000,[0.42318872735128954 0.6748917188996579 0.8297562006649639 0.5939505905286437 0.5683600932350709 0.7899273854143536 0.694598684625619 0.2097945357227501 0.9007792018030089 0.474867191359981 0.010210365758298812 0.9953513820033281 0.4473937819039374 0.6523941939267984 0.15868863379773268 0.5373676013803962 0.7885649331365091 0.23999301828952602 0.3387182036802737 0.2517830684522333]
2,2.942,189320.000,0.000,[2.5138325862649307 4.99583131066578 3.6261151291763483 2.8339845863853603 -1.9306457997081448 4.808646120466678 2.1486870609400515 -2.2834161337649745 3.464495529017137 -3.679111966474099 2.420755151124471 -0.5004879675937765 -3.0539359950810274 -1.9842422848108714 -0.24272167704917258 0.14455733638645596 -0.045842213622249384 2.8420509918999257 -2.099578975526765 0.3413552476826299]
3,6.404,227167.000,0.000,[2.7110634055809433 4.3523763686116546 1.8964295565395046 0.13026303179901166 -2.0945531278667673 4.898788596533208 3.6168940258733224 -1.5999018820952542 4.667156454930327 -1.4298375264248993 3.1537001973137007 -1.383455545443125 -4.371067424564826 -2.1170222197310777 -1.8916648338270496 0.7569479974951763 1.3673562500665442 3.3968437378849146 -4.039408925157495 0.2527302435269769]
4,5.551,262483.000,0.000,[6.45345893075921 8.141882514806447 3.0967916005054343 -0.4698443683210365 0.6376649631926843 6.301387102283789 3.7466986913401965 -6.2131455268947935 6.549834663709917 -5.013578977187274 6.3088523486929375 -5.237713039233562 -8.651725525666278 -0.6875443856928158 -3.196622121576521 1.5582297633219526 -2.262492805717139 -2.401744046206444 -4.0841677441858355 5.5276682286720895]
5,6.410,297675.000,0.000,[4.612485664025434 11.370378332835287 4.270351787875172 -1.1533324745671496 -10.337435426605506 9.445677044462947 10.122659716952082 -9.323681506635909 9.63332682639042 -5.117402141913282 10.923884310942837 -7.723044676621859 -7.952487319066167 -7.269613698197258 -3.034759736721953 1.697825220726326 2.053699796022972 1.159608699684152 -8.530419323366841 -1.3675442062633558]
6,7.444,322461.000,0.000,[-0.11412407085148057 8.637565228745629 5.751142325181807 -0.7152519103033708 -4.719641071474078 5.308847748857638 5.078823094129658 -4.042683788475076 7.524191448018386 -4.948641343279196 5.505472254415059 -3.605604485102489 -9.56908870517136 -3.6854730617532705 -5.9033088494134205 1.5861561130463109 2.263207074846657 -2.1544174930103845 -5.205766154537454 -0.21635656135571768]
7,7.293,329229.000,0.000,[-1.897676362341774 6.101687672599093 5.7513696508058985 -1.0602062195379265 0.8365307875842758 5.772412482458774 3.838235542057574 -8.322041927415038 8.399034810246638 -3.066750052106219 9.171887855264286 -4.822718985569066 -9.882731251126643 -1.7231200689576927 -5.679956318837643 1.0748696317724096 -0.29004101344999533 -4.8490342781561635 -2.2903765187520206 -0.7183650134095685]
8,6.844,329229.000,0.000,[-1.897676362341774 6.101687672599093 5.7513696508058985 -1.0602062195379265 0.8365307875842758 5.772412482458774 3.838235542057574 -8.322041927415038 8.399034810246638 -3.066750052106219 9.171887855264286 -4.822718985569066 -9.882731251126643 -1.7231200689576927 -5.679956318837643 1.0748696317724096 -0.29004101344999533 -4.8490342781561635 -2.2903765187520206 -0.7183650134095685]
9,6.170,342498.000,0.000,[0.12202882363465317 8.183611642723573 11.08507038670004 -1.2632769794739018 -7.961533555858489 6.337086346074392 4.246751519454832 -8.198409967987953 9.888836310143096 -2.2598866941290074 9.189641414529289 -3.493250325664027 -6.9730141798367224 -2.2435132973607783 -5.458945291292745 0.975731520306536 -1.284890227680572 -1.5925031571028798 -3.6334237667663842 0.3146916425027797]
10,8.322,342498.000,0.000,[0.12202882363465317 8.183611642723573 11.08507038670004 -1.2632769794739018 -7.961533555858489 6.337086346074392 4.246751519454832 -8.198409967987953 9.888836310143096 -2.2598866941290074 9.189641414529289 -3.493250325664027 -6.9730141798367224 -2.2435132973607783 -5.458945291292745 0.975731520306536 -1.284890227680572 -1.5925031571028798 -3.6334237667663842 0.3146916425027797]
11,8.089,342498.000,0.000,[0.12202882363465317 8.183611642723573 11.08507038670004 -1.2632769794739018 -7.961533555858489 6.337086346074392 4.246751519454832 -8.198409967987953 9.888836310143096 -2.2598866941290074 9.189641414529289 -3.493250325664027 -6.9730141798367224 -2.2435132973607783 -5.458945291292745 0.975731520306536 -1.284890227680572 -1.5925031571028798 -3.6334237667663842 0.3146916425027797]
12,7.385,342498.000,0.000,[0.12202882363465317 8.183611642723573 11.08507038670004 -1.2632769794739018 -7.961533555858489 6.337086346074392 4.246751519454832 -8.198409967987953 9.888836310143096 -2.2598866941290074 9.189641414529289 -3.493250325664027 -6.9730141798367224 -2.2435132973607783 -5.458945291292745 0.975731520306536 -1.284890227680572 -1.5925031571028798 -3.6334237667663842 0.3146916425027797]
13,7.416,342498.000,0.000,[0.12202882363465317 8.183611642723573 11.08507038670004 -1.2632769794739018 -7.961533555858489 6.337086346074392 4.246751519454832 -8.198409967987953 9.888836310143096 -2.2598866941290074 9.189641414529289 -3.493250325664027 -6.9730141798367224 -2.2435132973607783 -5.458945291292745 0.975731520306536 -1.284890227680572 -1.5925031571028798 -3.6334237667663842 0.3146916425027797]
