RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinear

iteration,time_taken,train_score,eval_score,vector
1,12.745,121444.000,0.000,[0.6137252089843473 0.4399078568009467 0.07568940233802868 0.12379494115074086 0.8994258168266311 0.6260098974870874 0.3666286499865654 0.027578038068661437 0.7350044729569288 0.21947460924344375 0.38351523324037773 0.9931960449526334 0.8656371281174758 0.7522302856415857 0.45620563102514433 0.04719766757461086 0.19301875530738077 0.10376344923047764 0.4798668948543181 0.06703888102979283]
2,3.033,154099.000,0.000,[-2.356263564605392 2.0363916307487657 1.6835519986720295 2.2354456917872416 0.3673344946897551 3.649052984341121 2.948024227191353 -3.6562001252322514 -0.9291656129561063 -1.2989761750654585 3.504816274871456 0.11936182534995171 2.7555292724232774 -2.6650957416534578 0.8506504471039269 0.3279409937809671 -0.37238670810856045 -0.4051223103679722 2.2779202935905265 -3.6273867464408664]
3,8.777,197804.000,0.000,[0.24828344663066337 1.2919209564541534 1.8726160419898978 3.903481588273766 0.47392106182536553 4.918273639764812 3.7336203826380245 -2.940779698801785 -0.773785861118627 -1.408056402898759 5.27912202148702 -2.5488379278122344 1.6776157798040443 -1.9404383653608375 -0.1765678078768218 0.012164916381603552 -0.2751291144646145 0.3264931537525628 4.773370947609882 -5.939951476789083]
4,8.861,279302.000,0.000,[-3.555541828775845 3.9069762600112563 1.7201413316922092 7.6800794150484055 -4.6722993135783675 6.925859236515199 4.62451384343799 -7.493978571600291 -1.893879517996513 -0.6313965737591807 7.735130367411896 -5.264525280046215 7.6019599625204055 2.2866099236339363 -5.575038786161914 1.0322356263739572 0.8667712225067759 -1.2067664969206096 5.902748438878487 -6.399044387974587]
5,8.652,308474.000,0.000,[-2.32000315057562 2.5307166337758966 2.1748347597086743 7.390868631813543 -3.176733989695154 10.551779646987299 7.860120632538649 -3.884600264438879 -2.9522158034844135 -0.4865754940430014 12.461486854951279 -9.467371688560497 9.77077227428316 2.013322300573423 -6.519267882048334 1.7047934152742457 0.7087914372187918 -2.546258901422174 10.503787459853717 -10.851202770167516]
6,9.019,308474.000,0.000,[-2.32000315057562 2.5307166337758966 2.1748347597086743 7.390868631813543 -3.176733989695154 10.551779646987299 7.860120632538649 -3.884600264438879 -2.9522158034844135 -0.4865754940430014 12.461486854951279 -9.467371688560497 9.77077227428316 2.013322300573423 -6.519267882048334 1.7047934152742457 0.7087914372187918 -2.546258901422174 10.503787459853717 -10.851202770167516]
7,9.401,308474.000,0.000,[-2.32000315057562 2.5307166337758966 2.1748347597086743 7.390868631813543 -3.176733989695154 10.551779646987299 7.860120632538649 -3.884600264438879 -2.9522158034844135 -0.4865754940430014 12.461486854951279 -9.467371688560497 9.77077227428316 2.013322300573423 -6.519267882048334 1.7047934152742457 0.7087914372187918 -2.546258901422174 10.503787459853717 -10.851202770167516]
8,8.820,319767.000,0.000,[-1.732016740880093 0.7552428046570503 2.6598696433114988 7.563726724082329 0.21653114143607866 7.848131903611344 6.15991088132244 -4.6375799639784026 -3.0970777732466566 -2.572810789502832 11.985509338146109 -6.548042981214367 4.749749771487111 1.5402494770126678 -6.024049343763978 1.123222619436473 1.6340937203518124 -0.392865542435886 10.964864723371909 -11.932516763306204]
9,8.176,319767.000,0.000,[-1.732016740880093 0.7552428046570503 2.6598696433114988 7.563726724082329 0.21653114143607866 7.848131903611344 6.15991088132244 -4.6375799639784026 -3.0970777732466566 -2.572810789502832 11.985509338146109 -6.548042981214367 4.749749771487111 1.5402494770126678 -6.024049343763978 1.123222619436473 1.6340937203518124 -0.392865542435886 10.964864723371909 -11.932516763306204]
10,8.716,319767.000,0.000,[-1.732016740880093 0.7552428046570503 2.6598696433114988 7.563726724082329 0.21653114143607866 7.848131903611344 6.15991088132244 -4.6375799639784026 -3.0970777732466566 -2.572810789502832 11.985509338146109 -6.548042981214367 4.749749771487111 1.5402494770126678 -6.024049343763978 1.123222619436473 1.6340937203518124 -0.392865542435886 10.964864723371909 -11.932516763306204]
