RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=22, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 100
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: WellLocations

iteration,time_taken,train_score,eval_score,vector
1,11.992,125738.000,0.000,[0.9855698242540242 0.1276472609594499 0.08279471267651128 0.7518709266078579 0.8475433980409292 0.7481510950454604 0.3850046590803967 0.22575967373804273 0.42468962400268784 0.593317575674821 0.561404115779127 0.5078309331308745 0.5228487009219497 0.19747323043039655 0.6735949016474196 0.12336504547908977 0.35647755132684866 0.2240389981364923 0.09044986123737442 0.2934626513339288 0.46416535147111615 0.8242273330742063]
2,3.034,125738.000,0.000,[0.9855698242540242 0.1276472609594499 0.08279471267651128 0.7518709266078579 0.8475433980409292 0.7481510950454604 0.3850046590803967 0.22575967373804273 0.42468962400268784 0.593317575674821 0.561404115779127 0.5078309331308745 0.5228487009219497 0.19747323043039655 0.6735949016474196 0.12336504547908977 0.35647755132684866 0.2240389981364923 0.09044986123737442 0.2934626513339288 0.46416535147111615 0.8242273330742063]
3,3.859,134726.000,0.000,[2.089830475248919 0.17156614320686936 0.700857149502923 -1.2204698183422864 -2.7920319853528377 4.485606582585544 0.23774734415785126 0.08128686697360188 1.4494169013591005 1.368567211163846 0.9714260484821634 0.5382202948672499 1.1049915552127483 0.457963598059838 -3.035958431087268 1.7939890990903482 -0.3313421214537726 -0.8844388544115436 2.9699381847349526 -1.8129271493806343 -0.603204423238134 -1.3082047526762892]
4,6.306,184488.000,0.000,[-0.7847724736630761 -1.9542740238131806 0.49044427051530404 -1.2269939814514785 -6.296259070797559 5.103466480373908 0.020249823792465094 1.841572031712432 2.343084927644135 -2.3588293907544333 2.1974420992108525 -0.07830100614191249 -2.3583517709221766 -1.9615924816094168 -3.902918464090222 1.090106368692608 3.579334304319554 1.0526343463175007 1.7673465904890282 -1.1766033437988923 -5.15383503875887 0.8677425214848578]
5,7.526,298288.000,0.000,[4.112919610836732 -2.045875630200018 0.8166090224051059 -3.288044738973279 -5.744676486153157 5.278746080158321 -0.5312229727754207 1.1714382288146998 0.7387438716854848 -3.838239688595786 4.569904980562962 -0.5634361171483642 -3.164691944567413 -4.28616637766352 -4.987314903960973 0.9969933141929284 0.1552882774077995 2.0646250722957546 2.549673073325972 2.515507775565139 -6.128873579340472 1.6547255028672692]
6,5.114,298288.000,0.000,[4.112919610836732 -2.045875630200018 0.8166090224051059 -3.288044738973279 -5.744676486153157 5.278746080158321 -0.5312229727754207 1.1714382288146998 0.7387438716854848 -3.838239688595786 4.569904980562962 -0.5634361171483642 -3.164691944567413 -4.28616637766352 -4.987314903960973 0.9969933141929284 0.1552882774077995 2.0646250722957546 2.549673073325972 2.515507775565139 -6.128873579340472 1.6547255028672692]
7,6.229,298288.000,0.000,[4.112919610836732 -2.045875630200018 0.8166090224051059 -3.288044738973279 -5.744676486153157 5.278746080158321 -0.5312229727754207 1.1714382288146998 0.7387438716854848 -3.838239688595786 4.569904980562962 -0.5634361171483642 -3.164691944567413 -4.28616637766352 -4.987314903960973 0.9969933141929284 0.1552882774077995 2.0646250722957546 2.549673073325972 2.515507775565139 -6.128873579340472 1.6547255028672692]
8,6.819,298288.000,0.000,[4.112919610836732 -2.045875630200018 0.8166090224051059 -3.288044738973279 -5.744676486153157 5.278746080158321 -0.5312229727754207 1.1714382288146998 0.7387438716854848 -3.838239688595786 4.569904980562962 -0.5634361171483642 -3.164691944567413 -4.28616637766352 -4.987314903960973 0.9969933141929284 0.1552882774077995 2.0646250722957546 2.549673073325972 2.515507775565139 -6.128873579340472 1.6547255028672692]
9,5.951,298288.000,0.000,[4.112919610836732 -2.045875630200018 0.8166090224051059 -3.288044738973279 -5.744676486153157 5.278746080158321 -0.5312229727754207 1.1714382288146998 0.7387438716854848 -3.838239688595786 4.569904980562962 -0.5634361171483642 -3.164691944567413 -4.28616637766352 -4.987314903960973 0.9969933141929284 0.1552882774077995 2.0646250722957546 2.549673073325972 2.515507775565139 -6.128873579340472 1.6547255028672692]
10,7.420,298288.000,0.000,[4.112919610836732 -2.045875630200018 0.8166090224051059 -3.288044738973279 -5.744676486153157 5.278746080158321 -0.5312229727754207 1.1714382288146998 0.7387438716854848 -3.838239688595786 4.569904980562962 -0.5634361171483642 -3.164691944567413 -4.28616637766352 -4.987314903960973 0.9969933141929284 0.1552882774077995 2.0646250722957546 2.549673073325972 2.515507775565139 -6.128873579340472 1.6547255028672692]
