RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=22, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 100
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: WellLocationsNotBoth

iteration,time_taken,train_score,eval_score,vector
1,12.648,124337.000,0.000,[0.5459079946015125 0.5879777432900425 0.33433187566035316 0.031171680461802853 0.6509979201533596 0.952240503883178 0.555235739232543 0.14388484645172772 0.32940262755426786 0.7319544964178801 0.8224950615715448 0.7220892251980694 0.7797979943380352 0.45161872689755955 0.2444541978147038 0.08802683835957503 0.2220455804070408 0.6737314700005054 0.09085784683559384 0.8444002817434629 0.2968669335418198 0.13435357523079572]
2,3.414,143597.000,0.000,[0.42039662660881966 0.8373032971114538 4.563523358099165 -2.7071907682889007 4.822177628165427 5.479758855497524 -1.3649230718057697 -2.145400561711301 -0.6900217444464785 -1.2246001781381408 5.126622786508959 1.7565113855618215 4.706365988024075 0.6941315528674752 0.8467980134365539 0.6345169777392697 0.21798688944440836 2.20176949060812 -0.583924557201374 -3.368421754570097 -3.72749865491287 3.6709102935232827]
3,10.151,158089.000,0.000,[-1.9462787286332985 1.2315822198207904 2.1522355085028773 1.1500873391691626 7.339329964904049 4.589294021267126 -0.37563273170776057 -0.013394125484057273 -0.1270662653481791 -3.476699581097919 4.9881015716360135 -0.6838651270384677 6.342400719487436 0.4172664111923394 1.2347074280013821 -0.3853952767430068 0.6165192405315865 -1.658970929917237 1.1840253818032305 -4.670553529495695 -4.595285395728071 -1.955741214571658]
4,7.992,158089.000,0.000,[-1.9462787286332985 1.2315822198207904 2.1522355085028773 1.1500873391691626 7.339329964904049 4.589294021267126 -0.37563273170776057 -0.013394125484057273 -0.1270662653481791 -3.476699581097919 4.9881015716360135 -0.6838651270384677 6.342400719487436 0.4172664111923394 1.2347074280013821 -0.3853952767430068 0.6165192405315865 -1.658970929917237 1.1840253818032305 -4.670553529495695 -4.595285395728071 -1.955741214571658]
5,7.391,163378.000,0.000,[-6.766572733647749 2.59847495240534 -2.026892611823233 -2.3497617100480594 12.500124554703635 9.959345544327896 2.5187421107415897 0.6946644173581693 -0.8732361249283027 -7.526599650286971 13.653517608369345 -3.0478693282543805 0.21217989261072212 1.1392014518102718 4.17906947275898 0.3375513695524036 1.5619510251256719 -8.366160106264575 3.205046406335302 -8.246229014392156 -5.202531307650239 -6.52642517333172]
6,10.338,164237.000,0.000,[-10.611027472854499 7.19847495240534 -4.989441136703331 -2.811680611516611 15.950995505301561 10.64275317629277 2.3161199108185584 3.16401007428803 -2.413840035409022 -10.012494997362586 17.8639656214297 -6.592702191214772 2.800625754365625 5.739201451810272 4.868195946569873 -0.32983712710032087 1.9826451365860336 -10.423304932950522 3.7151662769292075 -12.846229014392158 -1.9756721774134651 -10.342892328647572]
7,10.740,220189.000,0.000,[-4.353152519801683 4.717226543652866 5.400241445900107 -2.5442314047302776 12.373900737551743 11.64727990220166 3.3499186481679386 -1.2378670725051695 -2.8624496725346504 -10.34429882139738 12.799204467112137 -6.490163659288943 6.191488888021968 5.144279744431004 1.3867893000087692 0.034820921690094764 -2.691771600802765 -0.8485336342579015 2.6188157120486 -13.439138852228737 -8.318761190397414 -6.151481022680002]
8,6.959,220189.000,0.000,[-4.353152519801683 4.717226543652866 5.400241445900107 -2.5442314047302776 12.373900737551743 11.64727990220166 3.3499186481679386 -1.2378670725051695 -2.8624496725346504 -10.34429882139738 12.799204467112137 -6.490163659288943 6.191488888021968 5.144279744431004 1.3867893000087692 0.034820921690094764 -2.691771600802765 -0.8485336342579015 2.6188157120486 -13.439138852228737 -8.318761190397414 -6.151481022680002]
9,8.107,220189.000,0.000,[-4.353152519801683 4.717226543652866 5.400241445900107 -2.5442314047302776 12.373900737551743 11.64727990220166 3.3499186481679386 -1.2378670725051695 -2.8624496725346504 -10.34429882139738 12.799204467112137 -6.490163659288943 6.191488888021968 5.144279744431004 1.3867893000087692 0.034820921690094764 -2.691771600802765 -0.8485336342579015 2.6188157120486 -13.439138852228737 -8.318761190397414 -6.151481022680002]
10,10.238,220189.000,0.000,[-4.353152519801683 4.717226543652866 5.400241445900107 -2.5442314047302776 12.373900737551743 11.64727990220166 3.3499186481679386 -1.2378670725051695 -2.8624496725346504 -10.34429882139738 12.799204467112137 -6.490163659288943 6.191488888021968 5.144279744431004 1.3867893000087692 0.034820921690094764 -2.691771600802765 -0.8485336342579015 2.6188157120486 -13.439138852228737 -8.318761190397414 -6.151481022680002]
11,10.024,220189.000,0.000,[-4.353152519801683 4.717226543652866 5.400241445900107 -2.5442314047302776 12.373900737551743 11.64727990220166 3.3499186481679386 -1.2378670725051695 -2.8624496725346504 -10.34429882139738 12.799204467112137 -6.490163659288943 6.191488888021968 5.144279744431004 1.3867893000087692 0.034820921690094764 -2.691771600802765 -0.8485336342579015 2.6188157120486 -13.439138852228737 -8.318761190397414 -6.151481022680002]
12,7.896,220189.000,0.000,[-4.353152519801683 4.717226543652866 5.400241445900107 -2.5442314047302776 12.373900737551743 11.64727990220166 3.3499186481679386 -1.2378670725051695 -2.8624496725346504 -10.34429882139738 12.799204467112137 -6.490163659288943 6.191488888021968 5.144279744431004 1.3867893000087692 0.034820921690094764 -2.691771600802765 -0.8485336342579015 2.6188157120486 -13.439138852228737 -8.318761190397414 -6.151481022680002]
13,8.169,259596.000,0.000,[-1.9043550275386152 0.2822844875078365 4.377074305313194 -3.0789091907470945 3.528022153145142 13.328705046950567 -0.6576328213008171 2.1855057522702683 -3.6875753324084326 -14.36537560678416 15.307542213491995 -10.92788707229167 5.465954577124563 0.4789503360091105 -2.7168100539301614 2.0457566543431267 -1.12766715323411 -3.43539946817876 -5.233195803782338 -16.978382680106407 -13.013109179459406 -3.6565127099708543]
14,9.796,259596.000,0.000,[-1.9043550275386152 0.2822844875078365 4.377074305313194 -3.0789091907470945 3.528022153145142 13.328705046950567 -0.6576328213008171 2.1855057522702683 -3.6875753324084326 -14.36537560678416 15.307542213491995 -10.92788707229167 5.465954577124563 0.4789503360091105 -2.7168100539301614 2.0457566543431267 -1.12766715323411 -3.43539946817876 -5.233195803782338 -16.978382680106407 -13.013109179459406 -3.6565127099708543]
15,9.399,259596.000,0.000,[-1.9043550275386152 0.2822844875078365 4.377074305313194 -3.0789091907470945 3.528022153145142 13.328705046950567 -0.6576328213008171 2.1855057522702683 -3.6875753324084326 -14.36537560678416 15.307542213491995 -10.92788707229167 5.465954577124563 0.4789503360091105 -2.7168100539301614 2.0457566543431267 -1.12766715323411 -3.43539946817876 -5.233195803782338 -16.978382680106407 -13.013109179459406 -3.6565127099708543]
16,8.276,259596.000,0.000,[-1.9043550275386152 0.2822844875078365 4.377074305313194 -3.0789091907470945 3.528022153145142 13.328705046950567 -0.6576328213008171 2.1855057522702683 -3.6875753324084326 -14.36537560678416 15.307542213491995 -10.92788707229167 5.465954577124563 0.4789503360091105 -2.7168100539301614 2.0457566543431267 -1.12766715323411 -3.43539946817876 -5.233195803782338 -16.978382680106407 -13.013109179459406 -3.6565127099708543]
17,8.715,259596.000,0.000,[-1.9043550275386152 0.2822844875078365 4.377074305313194 -3.0789091907470945 3.528022153145142 13.328705046950567 -0.6576328213008171 2.1855057522702683 -3.6875753324084326 -14.36537560678416 15.307542213491995 -10.92788707229167 5.465954577124563 0.4789503360091105 -2.7168100539301614 2.0457566543431267 -1.12766715323411 -3.43539946817876 -5.233195803782338 -16.978382680106407 -13.013109179459406 -3.6565127099708543]
18,9.138,260199.000,0.000,[-5.013170243522585 -1.8332006644686083 3.8711407530440063 -3.540103154047736 4.433438475957872 13.346377247488677 1.4945497522720759 1.664066347564428 -1.5792297952362553 -13.59832377262161 16.630543788524047 -10.180042855204137 3.4309115494088793 0.7342343310637434 -3.176455879172803 1.9226870085681074 -1.1966841332288816 -3.920789894828725 -4.833370208054031 -16.7415002505662 -13.253518524829346 -2.895259606788079]
19,9.445,272330.000,0.000,[-8.94755761671927 2.67636317928325 6.115057206534319 -7.4944014340902685 10.330928324040409 12.67867396098443 3.4466159648609818 -1.9292761770740658 -1.057483960238955 -13.505872294194534 13.731823012537024 -10.16797039835662 5.712166454092978 -0.5118898777814955 -2.7027562762480866 1.2909544145775556 -1.9232494406609888 -3.3106790546153104 -0.948082528655604 -7.943612955677599 -0.49616299869859404 0.382495919650342]
20,9.109,292839.000,0.000,[-8.936802078781703 3.823894588536258 10.504938074155035 -6.267427308513943 9.935522172325935 14.383555420937244 -0.5643259025225644 -1.7875021027521782 -2.4908355823389563 -14.40446488005424 17.53855499433835 -9.552965600301789 2.029234404754129 -3.5997859910796044 -3.155921523980142 1.5406167111401867 -5.450306005780636 -8.968279997817515 2.5068203471609216 -14.979572170392649 -4.517066961831089 -1.6223992956199105]
21,8.493,299630.000,0.000,[-7.332944972526542 3.0835338811402355 11.401468564381542 -5.1543516196053085 6.526116022233499 14.336280257477451 1.8015934173235912 1.9745344945329908 -5.642368726026307 -11.344335950050747 18.317609819398672 -10.394387636664762 4.618132722400122 -4.4390428269364115 -2.6157296323878536 1.2571193659253241 -3.48873646089453 -7.054459712516531 1.3212423656488173 -16.079091527157797 -3.8202073481420324 -0.9245309668729593]
22,8.955,299630.000,0.000,[-7.332944972526542 3.0835338811402355 11.401468564381542 -5.1543516196053085 6.526116022233499 14.336280257477451 1.8015934173235912 1.9745344945329908 -5.642368726026307 -11.344335950050747 18.317609819398672 -10.394387636664762 4.618132722400122 -4.4390428269364115 -2.6157296323878536 1.2571193659253241 -3.48873646089453 -7.054459712516531 1.3212423656488173 -16.079091527157797 -3.8202073481420324 -0.9245309668729593]
