RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=17, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 150
numLines: 230
seed: -1
startingLevel: 19
startingLines: 0
========
MoveEvaluatorGroup used: Normal

iteration,time_taken,train_score,eval_score,vector
1,13.488,270275.000,0.000,[0.44359285343291144 0.8394717257858755 0.3704691483211965 0.11609285657286705 0.3882508467192124 0.9636817973357784 0.5716873397131467 0.6291030458115696 0.7584188971115373 0.6225414309646841 0.12362729763531932 0.721565775687187 0.20597890099498029 0.5822776778059895 0.4040714722263591 0.3394744949700581 0.4328924125175937]
2,3.524,542657.000,0.000,[0.1155259814245273 1.510171489968012 -1.0377275156507288 -2.9768617908295627 0.21074729025072214 4.959166159239253 -3.313075187441421 -0.7228556477556823 4.465355574921453 5.120577339254496 4.332645980876656 -2.5285802127114536 0.33004618119806384 -0.5121973759363767 -3.2400899403408276 1.0756314149550885 -0.15248965814581283]
3,6.382,793422.000,0.000,[4.996328611755088 0.3582663931234784 -1.3111054247455578 -1.8596982691146018 0.3011214237770714 5.900687495091775 -0.13721573761119465 0.6165143900136375 2.1192630616018553 5.507432742395075 5.719491428315668 -1.5315764859712262 -1.5314769474414693 0.5938567928291579 -5.80169546540065 0.8711837527276636 1.5410463170363982]
4,7.897,793422.000,0.000,[4.996328611755088 0.3582663931234784 -1.3111054247455578 -1.8596982691146018 0.3011214237770714 5.900687495091775 -0.13721573761119465 0.6165143900136375 2.1192630616018553 5.507432742395075 5.719491428315668 -1.5315764859712262 -1.5314769474414693 0.5938567928291579 -5.80169546540065 0.8711837527276636 1.5410463170363982]
5,7.930,793422.000,0.000,[4.996328611755088 0.3582663931234784 -1.3111054247455578 -1.8596982691146018 0.3011214237770714 5.900687495091775 -0.13721573761119465 0.6165143900136375 2.1192630616018553 5.507432742395075 5.719491428315668 -1.5315764859712262 -1.5314769474414693 0.5938567928291579 -5.80169546540065 0.8711837527276636 1.5410463170363982]
6,6.672,793422.000,0.000,[4.996328611755088 0.3582663931234784 -1.3111054247455578 -1.8596982691146018 0.3011214237770714 5.900687495091775 -0.13721573761119465 0.6165143900136375 2.1192630616018553 5.507432742395075 5.719491428315668 -1.5315764859712262 -1.5314769474414693 0.5938567928291579 -5.80169546540065 0.8711837527276636 1.5410463170363982]
7,7.759,793422.000,0.000,[4.996328611755088 0.3582663931234784 -1.3111054247455578 -1.8596982691146018 0.3011214237770714 5.900687495091775 -0.13721573761119465 0.6165143900136375 2.1192630616018553 5.507432742395075 5.719491428315668 -1.5315764859712262 -1.5314769474414693 0.5938567928291579 -5.80169546540065 0.8711837527276636 1.5410463170363982]
8,6.173,793422.000,0.000,[4.996328611755088 0.3582663931234784 -1.3111054247455578 -1.8596982691146018 0.3011214237770714 5.900687495091775 -0.13721573761119465 0.6165143900136375 2.1192630616018553 5.507432742395075 5.719491428315668 -1.5315764859712262 -1.5314769474414693 0.5938567928291579 -5.80169546540065 0.8711837527276636 1.5410463170363982]
9,7.922,793422.000,0.000,[4.996328611755088 0.3582663931234784 -1.3111054247455578 -1.8596982691146018 0.3011214237770714 5.900687495091775 -0.13721573761119465 0.6165143900136375 2.1192630616018553 5.507432742395075 5.719491428315668 -1.5315764859712262 -1.5314769474414693 0.5938567928291579 -5.80169546540065 0.8711837527276636 1.5410463170363982]
10,8.397,852426.000,0.000,[4.42273469160429 0.9388520299577068 0.9549260892713418 2.1201930521897623 0.35965656258262735 4.106365584698828 0.06331063866671283 -1.0150450140004428 4.121172862549924 4.481958322697208 4.657840278367429 1.842318107683354 -0.21496005529486517 -3.812909080627664 -6.308419843730686 0.3512728575067863 3.4397065654861256]
