RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=24, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinearAdv

iteration,time_taken,train_score,eval_score,vector
1,3.804,84034.400,0.000,[0.8067467568434296 0.3721727769982439 0.9914770241326377 0.9011307104351045 0.6787852517028804 0.8035860566245326 0.7092958661095063 0.01478664912932659 0.4455251751014718 0.5458394201173522 0.2663702695584632 0.8385187143320324 0.19829299401708345 0.8470018661557818 0.6950378033593744 0.8669142280337568 0.16161357650683994 0.9589464217183389 0.13211910723556497 0.32640384426848024 0.6856795035781422 0.11496296109156179 0.4649349584944472 0.055340410606359414]
2,2.135,85302.800,0.000,[4.662856960920248 4.58946416032313 -0.6095631561632243 4.1461291518195 -3.2429167653260604 4.661889697377883 5.097785690164095 0.10902932242984786 -0.19924235795826684 -3.9550669027139618 3.0199626530641606 -2.904494855276915 -2.355428595036649 4.9463967650317455 3.266834769840539 5.257421121163155 1.6080987838285443 2.711091930189234 -2.9498810173421317 -4.30722154074689 0.5364093794941056 4.662322911677392 -2.67539377752193 -0.7266843637047196]
3,5.946,117621.000,0.000,[6.085820101595397 4.050940257944534 0.007899196823925259 3.3923228817813404 -0.7548101104887737 4.4439681272849 1.734673383103671 -1.6749421071565114 -1.8115426507428074 -5.047438769144802 2.7211191640483854 -3.3274681742524734 -5.174359694241176 1.2421424061043846 -1.2639319037645713 1.8466911212285133 1.8503897872982251 2.942402968223032 -2.106478002773379 -1.394766185217632 -1.7628937503540874 5.463516671219603 -3.8159932604626867 -2.315173408341404]
4,6.594,195561.000,0.000,[8.143077279868006 5.679435031080681 -0.6511858848785408 7.401914160811545 -2.0749436378080564 6.098193325542859 7.081411798471419 -3.4108008212179586 -5.846948111699129 -6.07293283438276 7.46606567107197 -6.558789375009786 -6.118705906985253 4.349599052668282 -1.3509283945831578 1.4679823010158026 2.6533639017102546 5.279874392533329 -0.5146328218598675 -1.160855014135998 -4.423549000342272 9.367747986983062 -2.539948633428592 -1.5850730274045153]
5,6.437,195561.000,0.000,[8.143077279868006 5.679435031080681 -0.6511858848785408 7.401914160811545 -2.0749436378080564 6.098193325542859 7.081411798471419 -3.4108008212179586 -5.846948111699129 -6.07293283438276 7.46606567107197 -6.558789375009786 -6.118705906985253 4.349599052668282 -1.3509283945831578 1.4679823010158026 2.6533639017102546 5.279874392533329 -0.5146328218598675 -1.160855014135998 -4.423549000342272 9.367747986983062 -2.539948633428592 -1.5850730274045153]
6,5.233,195561.000,0.000,[8.143077279868006 5.679435031080681 -0.6511858848785408 7.401914160811545 -2.0749436378080564 6.098193325542859 7.081411798471419 -3.4108008212179586 -5.846948111699129 -6.07293283438276 7.46606567107197 -6.558789375009786 -6.118705906985253 4.349599052668282 -1.3509283945831578 1.4679823010158026 2.6533639017102546 5.279874392533329 -0.5146328218598675 -1.160855014135998 -4.423549000342272 9.367747986983062 -2.539948633428592 -1.5850730274045153]
7,7.727,195561.000,0.000,[8.143077279868006 5.679435031080681 -0.6511858848785408 7.401914160811545 -2.0749436378080564 6.098193325542859 7.081411798471419 -3.4108008212179586 -5.846948111699129 -6.07293283438276 7.46606567107197 -6.558789375009786 -6.118705906985253 4.349599052668282 -1.3509283945831578 1.4679823010158026 2.6533639017102546 5.279874392533329 -0.5146328218598675 -1.160855014135998 -4.423549000342272 9.367747986983062 -2.539948633428592 -1.5850730274045153]
8,7.069,195561.000,0.000,[8.143077279868006 5.679435031080681 -0.6511858848785408 7.401914160811545 -2.0749436378080564 6.098193325542859 7.081411798471419 -3.4108008212179586 -5.846948111699129 -6.07293283438276 7.46606567107197 -6.558789375009786 -6.118705906985253 4.349599052668282 -1.3509283945831578 1.4679823010158026 2.6533639017102546 5.279874392533329 -0.5146328218598675 -1.160855014135998 -4.423549000342272 9.367747986983062 -2.539948633428592 -1.5850730274045153]
9,5.995,239183.000,0.000,[8.296210486500788 6.207770911008794 1.5499215006509863 6.8196085890445515 -0.868869754430956 6.504527947141014 6.263515097303219 -3.056755646528157 -6.3593397279735004 -3.7229252709477283 7.357428306011503 -6.368221496973759 -6.4141932728132325 -1.4113834063451127 -3.4297206951863863 1.2405382560135578 3.2305910658805392 4.557694390068674 0.48604352742874934 0.6147891125938472 -3.847611896086759 11.176195756812312 -3.2528674061171348 -3.0006269330049493]
10,7.317,239183.000,0.000,[8.296210486500788 6.207770911008794 1.5499215006509863 6.8196085890445515 -0.868869754430956 6.504527947141014 6.263515097303219 -3.056755646528157 -6.3593397279735004 -3.7229252709477283 7.357428306011503 -6.368221496973759 -6.4141932728132325 -1.4113834063451127 -3.4297206951863863 1.2405382560135578 3.2305910658805392 4.557694390068674 0.48604352742874934 0.6147891125938472 -3.847611896086759 11.176195756812312 -3.2528674061171348 -3.0006269330049493]
