RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=24, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: -1
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: BothLinearAdvVar

iteration,time_taken,train_score,eval_score,vector
1,4.826,78130.800,0.000,[0.72371555981392 0.10850042482813693 0.7087681110349361 0.21871213489996677 0.35464964201731497 0.7258668579467522 0.8375924407109703 0.3647241786761707 0.7001515618764326 0.8339502287235185 0.15752923717698775 0.3965433976423933 0.6428295080663783 0.9507257415036212 0.25366998757978465 0.37481954765416803 0.08981268446187296 0.7925271614744908 0.05840320214110495 0.026748654242281678 0.9860195052073738 0.22372051833020978 0.599862943078976 0.3075752040279318]
2,2.923,141406.000,0.000,[1.9791867543458266 0.5052694141476884 4.367114868613018 3.719811745219772 4.206627443937436 5.396048578749437 1.2887216401023869 -0.1557101988391324 1.6473927212879018 -3.4037634064111604 3.523337274194356 1.5955384928753116 4.5420780589695395 -1.865359871060115 0.4816120495931693 0.650266544820581 2.0181861282436806 3.528582834729865 1.1424182386282324 1.5947982071083988 -2.650114400619781 -2.6086714401608546 3.233561500580083 -1.5911949709265203]
3,10.237,169750.000,0.000,[2.566759192783586 0.5844961336934023 4.105555431385789 -3.3135118338251095 2.0782357834938825 4.724195806881536 1.6742354427052564 -1.3311304049396018 -4.030540428127991 -2.0457897393570708 3.93669191700483 -0.6227198066068977 1.7755620910067709 0.9101059194245925 -1.2249495561858987 0.45590266582362227 2.872062476700421 1.8698456394853509 1.0654949541838346 0.6829487263109151 -1.8259296465348909 -1.4476883865411367 3.714566805246493 -0.7762141650019982]
4,10.054,207585.000,0.000,[5.286602642911566 5.274126160978348 4.481899543336626 -2.434708013901658 6.0402858452834405 8.02266089290833 -2.006050834350627 -0.16162955246287675 -1.2257564003125418 -6.507498598424473 5.798253993111986 -2.531917537535824 6.97715815296881 1.5126914136374574 -1.4911246012260846 0.4326471900457297 0.9751247888199637 6.213637626323443 5.020223709652333 1.8811220157472484 -1.3384245031661335 -5.015934985034571 8.636540037102034 -0.9175623835111759]
5,9.447,222028.000,0.000,[10.241876234459482 0.19372509402358196 4.925465673744036 -5.430468448781019 6.152584786953158 12.63578409144838 1.7752987487011893 1.176899638802266 -6.224450762119644 -9.632173373781557 7.4796753879922315 -6.381754623190716 8.50429913978362 6.2036550731137 -4.219202933199937 1.3532839067463742 3.2238168623417294 4.7215829823576785 5.37599103275458 0.9071036982221954 0.2918382037488769 -7.266846890204409 13.251786857136459 -1.6556097135220518]
6,11.143,295777.000,0.000,[4.544927073862178 -0.1348959431336325 5.085337616571159 -0.8246097225960973 6.827304208972403 9.254431613208055 -0.3465573237491486 0.3875353350218227 4.2570293750891555 -1.2068448423166611 8.913580321211583 -4.783648367676013 10.134424318672457 8.56408625716543 -6.830090713419335 0.9338373945001986 -4.466199407952111 0.6393442039961632 9.493623247458945 -1.6167955591693524 0.6698030569519102 -3.223378216507535 11.919508459022124 -1.0431224982808338]
7,9.582,295777.000,0.000,[4.544927073862178 -0.1348959431336325 5.085337616571159 -0.8246097225960973 6.827304208972403 9.254431613208055 -0.3465573237491486 0.3875353350218227 4.2570293750891555 -1.2068448423166611 8.913580321211583 -4.783648367676013 10.134424318672457 8.56408625716543 -6.830090713419335 0.9338373945001986 -4.466199407952111 0.6393442039961632 9.493623247458945 -1.6167955591693524 0.6698030569519102 -3.223378216507535 11.919508459022124 -1.0431224982808338]
8,8.252,295777.000,0.000,[4.544927073862178 -0.1348959431336325 5.085337616571159 -0.8246097225960973 6.827304208972403 9.254431613208055 -0.3465573237491486 0.3875353350218227 4.2570293750891555 -1.2068448423166611 8.913580321211583 -4.783648367676013 10.134424318672457 8.56408625716543 -6.830090713419335 0.9338373945001986 -4.466199407952111 0.6393442039961632 9.493623247458945 -1.6167955591693524 0.6698030569519102 -3.223378216507535 11.919508459022124 -1.0431224982808338]
9,9.996,295777.000,0.000,[4.544927073862178 -0.1348959431336325 5.085337616571159 -0.8246097225960973 6.827304208972403 9.254431613208055 -0.3465573237491486 0.3875353350218227 4.2570293750891555 -1.2068448423166611 8.913580321211583 -4.783648367676013 10.134424318672457 8.56408625716543 -6.830090713419335 0.9338373945001986 -4.466199407952111 0.6393442039961632 9.493623247458945 -1.6167955591693524 0.6698030569519102 -3.223378216507535 11.919508459022124 -1.0431224982808338]
10,11.110,295777.000,0.000,[4.544927073862178 -0.1348959431336325 5.085337616571159 -0.8246097225960973 6.827304208972403 9.254431613208055 -0.3465573237491486 0.3875353350218227 4.2570293750891555 -1.2068448423166611 8.913580321211583 -4.783648367676013 10.134424318672457 8.56408625716543 -6.830090713419335 0.9338373945001986 -4.466199407952111 0.6393442039961632 9.493623247458945 -1.6167955591693524 0.6698030569519102 -3.223378216507535 11.919508459022124 -1.0431224982808338]
