RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=24, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 3
numGames: -1
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: BothLinearAdv

iteration,time_taken,train_score,eval_score,vector
1,13.795,135672.000,0.000,[0.5584754949923432 0.6066915445560233 0.035814606913272984 0.5746838736901091 0.9849903676131305 0.9417827459948667 0.9533872002593142 0.2716499639969979 0.6526853966660006 0.7697106128385954 0.603790388864165 0.04637824343637542 0.41968219652344185 0.33562489607707646 0.42229663090836345 0.14984296676635311 0.5344470299116699 0.651786853731552 0.7625703440907124 0.6866526306715214 0.4565775422152831 0.6161368181878034 0.14730647906925043 0.47413935833541765]
2,4.364,135672.000,0.000,[0.5584754949923432 0.6066915445560233 0.035814606913272984 0.5746838736901091 0.9849903676131305 0.9417827459948667 0.9533872002593142 0.2716499639969979 0.6526853966660006 0.7697106128385954 0.603790388864165 0.04637824343637542 0.41968219652344185 0.33562489607707646 0.42229663090836345 0.14984296676635311 0.5344470299116699 0.651786853731552 0.7625703440907124 0.6866526306715214 0.4565775422152831 0.6161368181878034 0.14730647906925043 0.47413935833541765]
3,7.344,192582.000,0.000,[-4.026757379107127 0.6388432378021474 -0.1235370289692499 -0.11958974645363263 0.815535039868986 4.541947593905094 1.720515606105697 -1.911196392446997 0.4053643627925353 4.064025981102012 3.890453611590849 -4.095121239335084 3.899680861702684 0.9399741291778956 -1.7769584344546585 0.4396502379873706 -1.8134531399401759 2.0297823036395055 1.7701666168268502 -2.7669412319045037 0.057268390150434056 -0.7628561209966838 -7.877263496667187 -0.09273834690726335]
4,7.059,221346.000,0.000,[-5.833240790060082 -1.6103421250301495 3.553088889818926 -0.25682433913343483 3.2061652938454834 6.4206149103495225 7.307051104571366 -0.4279441236990791 0.705488411750063 6.493453168901248 6.490158122760093 -7.199344624351909 8.470657997732946 5.165802500920067 -0.6120571536770902 0.7127583388079397 -2.6678617977097896 -0.21630800042826603 3.918568292115227 -2.5568005166474053 0.26983154208887067 -0.4582836112564834 -2.429069943984392 3.731786930907857]
5,7.913,245954.000,0.000,[-7.338274114276935 0.7565118738809569 5.27475164440019 -1.4519145911837779 0.5010317562290623 9.470713584045782 7.169865362601768 -6.252881051231853 2.7169220170325667 11.030160644267394 11.345013389212653 -6.341291047223393 7.356855676691786 7.343218407783988 -2.4987070700139684 1.353504433782188 -5.613579741032124 1.1689361212879419 1.2564132261740815 -6.958833761696255 3.6569968939775674 0.05971204873417113 -7.106848791740438 5.912096675425852]
6,10.433,309131.000,0.000,[-10.764399629214859 2.5566188680872193 9.84651673885136 -2.4053927059700912 6.046458520049628 10.512246031848631 11.415170200794954 -6.055028761828114 4.55251983762167 11.413514287489697 14.167129665600747 -11.030022870282032 11.56984058668404 11.615006150803376 -6.6803848980501 1.666302934559729 -5.6398353006365545 8.706100839046965 1.0386701080840064 -8.262773225074524 2.5694978117621514 2.5833994008840833 -7.752694201251202 5.449002471636265]
7,10.754,309131.000,0.000,[-10.764399629214859 2.5566188680872193 9.84651673885136 -2.4053927059700912 6.046458520049628 10.512246031848631 11.415170200794954 -6.055028761828114 4.55251983762167 11.413514287489697 14.167129665600747 -11.030022870282032 11.56984058668404 11.615006150803376 -6.6803848980501 1.666302934559729 -5.6398353006365545 8.706100839046965 1.0386701080840064 -8.262773225074524 2.5694978117621514 2.5833994008840833 -7.752694201251202 5.449002471636265]
8,10.469,359851.000,0.000,[-13.331334917716294 1.9573334837809115 11.690302411742083 -7.420483219476914 5.422132574465445 14.799286634856372 14.457352186875855 -9.234257830489156 6.9018438888923255 14.98288540008356 15.427291850250189 -10.2692042368543 16.727025328753882 8.792146903068776 -11.018697442364555 2.1601561685409445 -2.326343943613107 12.024977988074006 -6.61910916660316 -10.15236962105482 4.705781969990555 2.4685190318918426 -9.042554262253809 8.221151219336022]
9,10.938,359851.000,0.000,[-13.331334917716294 1.9573334837809115 11.690302411742083 -7.420483219476914 5.422132574465445 14.799286634856372 14.457352186875855 -9.234257830489156 6.9018438888923255 14.98288540008356 15.427291850250189 -10.2692042368543 16.727025328753882 8.792146903068776 -11.018697442364555 2.1601561685409445 -2.326343943613107 12.024977988074006 -6.61910916660316 -10.15236962105482 4.705781969990555 2.4685190318918426 -9.042554262253809 8.221151219336022]
10,10.573,359851.000,0.000,[-13.331334917716294 1.9573334837809115 11.690302411742083 -7.420483219476914 5.422132574465445 14.799286634856372 14.457352186875855 -9.234257830489156 6.9018438888923255 14.98288540008356 15.427291850250189 -10.2692042368543 16.727025328753882 8.792146903068776 -11.018697442364555 2.1601561685409445 -2.326343943613107 12.024977988074006 -6.61910916660316 -10.15236962105482 4.705781969990555 2.4685190318918426 -9.042554262253809 8.221151219336022]
11,10.478,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
12,10.128,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
13,12.452,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
14,11.112,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
15,10.970,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
16,11.033,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
17,11.504,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
18,11.594,421076.000,0.000,[-9.630912643648095 6.580278218608045 13.315585526942176 -8.341008498132139 4.226408352849902 14.975945687520177 19.170535611164958 -13.830424764216989 7.585023559422055 6.991559606861198 13.526456807019969 -3.717174211770052 14.86315291035391 6.410908975033788 -13.722573036590664 1.2589025412090384 -1.6150840445368555 5.1072709537748935 -5.611646242746358 -5.686501728228045 6.369771986306078 4.728402744240495 -11.83079829312586 3.4722160009941962]
