RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 2
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,23.223,122608.000,0.000,[0.5253318005045301 0.8998644409636342 0.7965326752166142 0.5380444841302247 0.6401386513539093 0.8619335000831455 0.1442172555125899 0.21879447049267298 0.5896322575881656 0.8858694799000131 0.0363011554445416 0.41355986097739683 0.33328505544862186 0.8969321627100784 0.06262548628589526 0.10808557879852021 0.5118079532016783 0.6818886285818263 0.2974030938595106 0.8142136536854283]
2,5.074,240796.000,0.000,[4.564647914020568 -1.4995892111187685 0.4229184235620196 0.2294083499853682 2.643132594787334 3.497742589436151 3.513055892574569 -0.02803352527342093 5.284692820044381 -2.488229119559901 4.684448296506716 -1.8411871602733467 0.8054789697858526 -0.873944400120788 -3.0117679195733458 0.8291676420522824 2.270564497454565 4.029371484118913 0.6103766299429612 1.6753562881205353]
3,13.459,240796.000,0.000,[4.564647914020568 -1.4995892111187685 0.4229184235620196 0.2294083499853682 2.643132594787334 3.497742589436151 3.513055892574569 -0.02803352527342093 5.284692820044381 -2.488229119559901 4.684448296506716 -1.8411871602733467 0.8054789697858526 -0.873944400120788 -3.0117679195733458 0.8291676420522824 2.270564497454565 4.029371484118913 0.6103766299429612 1.6753562881205353]
4,12.957,260158.000,0.000,[1.4849639532484438 -6.166646499007895 1.4523388007486282 -0.09660527398533159 3.615128442881362 8.429784472543936 6.2841385180874285 -2.7323058896693353 9.342119303094538 -2.6190636400958667 6.92989894639984 -4.740469884935573 -0.5124430381285741 -0.7129866210029572 -5.261948102954001 1.6530883232864417 5.3572349046464165 2.4532413358329217 0.7795453010472411 -3.1422521734532034]
5,16.304,260158.000,0.000,[1.4849639532484438 -6.166646499007895 1.4523388007486282 -0.09660527398533159 3.615128442881362 8.429784472543936 6.2841385180874285 -2.7323058896693353 9.342119303094538 -2.6190636400958667 6.92989894639984 -4.740469884935573 -0.5124430381285741 -0.7129866210029572 -5.261948102954001 1.6530883232864417 5.3572349046464165 2.4532413358329217 0.7795453010472411 -3.1422521734532034]
6,14.715,269975.000,0.000,[1.9158767529334888 -7.971201110776963 6.221440870344669 -4.697312690429879 5.743702548986161 10.959377280628805 8.25792832135641 -2.196323273359585 14.67999302584083 -3.7759030100204303 9.352709760992118 -7.0480027701006005 1.0629216351136157 1.7339956469257816 -6.514110060541912 1.6978287102980756 6.051149371257327 -1.2853263489977467 -0.36646777719727863 -6.5295323874139015]
7,15.572,279811.000,0.000,[-1.208129187770461 -7.128123129625265 9.33986607878643 -1.0173400237536814 5.300498138973895 9.381193664767581 2.169393807917017 -0.18290099843574925 11.621696992815185 -5.122878549111087 8.875448486998145 -6.266443105004093 2.6370364366328403 -5.048097947519738 -8.037619012888303 1.890537493509784 4.948967852659885 -3.2598525339758084 -4.586243912628595 -9.854801871594287]
8,16.282,284162.000,0.000,[-0.011283262250502801 1.6187148940177725 4.211174454659865 0.17679310028744766 4.083460917975362 12.493452426394184 1.4216266448545527 -2.7903796381342545 8.595896727539857 -7.49085259022703 9.017497172971554 -5.3448095966363445 1.382132587858423 0.23705743424719117 -5.756877725059513 1.802512759126312 -0.2822082679872544 -4.727851008969301 -6.422625391648329 -4.88078729469321]
9,17.712,289690.000,0.000,[1.143641301940268 -8.003723071386347 5.785055002131722 1.4285021447762616 5.060889878590139 16.701129882482274 -1.4485687173446946 1.9697772697338833 5.020890198897935 -11.42522193127798 13.511085167532347 -8.912216165518739 0.2454139852152375 -0.8709267861943348 -13.720183023460695 3.860936000161242 4.572430113619319 -8.983898310575405 -8.3329992921505 -9.419351821854669]
10,19.177,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
11,16.046,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
12,15.936,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
13,16.304,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
14,19.348,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
15,16.906,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
16,15.429,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
17,15.959,327864.000,0.000,[-1.7707118515069293 -3.7071341361681442 8.506388036110522 2.6689865352689583 8.599468755222235 16.384573775750535 3.6124226653319695 0.6904514614283179 5.647322763758636 -7.275270745968495 12.330620445208247 -9.725498520470367 4.666062952458203 -0.9069620899044382 -15.205472625706829 4.043335727329261 4.069170021332111 -4.334509877567557 -4.201652585923025 -7.849653234349271]
18,17.683,332532.000,0.000,[-2.055481450006021 -4.9366136323193714 7.63347446451626 6.240316119590655 4.174969933921981 15.972981672390631 2.217445869808663 0.3344936789745607 3.7318427077853116 -4.066242109034215 12.588594022598638 -8.689390940904515 1.0603418552876036 -7.909261279277995 -20.803299129606824 4.8767935750498514 8.845228012898989 -4.501005655036108 -6.234795580996902 -2.944954435992728]
19,18.571,332532.000,0.000,[-2.055481450006021 -4.9366136323193714 7.63347446451626 6.240316119590655 4.174969933921981 15.972981672390631 2.217445869808663 0.3344936789745607 3.7318427077853116 -4.066242109034215 12.588594022598638 -8.689390940904515 1.0603418552876036 -7.909261279277995 -20.803299129606824 4.8767935750498514 8.845228012898989 -4.501005655036108 -6.234795580996902 -2.944954435992728]
20,18.398,334004.000,0.000,[-2.359689948300347 -4.3043468721270735 9.323366635856331 2.5691893083424877 5.151564460313445 17.079924333149453 6.047961326632892 0.12035564907675189 4.953340770946548 -4.969212412726714 12.541187670613727 -9.105013891513487 0.8726358218749759 -9.395082850290809 -17.34761642874394 3.9744109068688616 7.109527110790524 -2.528884970513694 -7.416357642867822 -3.7144693669737645]
21,14.702,334004.000,0.000,[-2.359689948300347 -4.3043468721270735 9.323366635856331 2.5691893083424877 5.151564460313445 17.079924333149453 6.047961326632892 0.12035564907675189 4.953340770946548 -4.969212412726714 12.541187670613727 -9.105013891513487 0.8726358218749759 -9.395082850290809 -17.34761642874394 3.9744109068688616 7.109527110790524 -2.528884970513694 -7.416357642867822 -3.7144693669737645]
22,15.684,334004.000,0.000,[-2.359689948300347 -4.3043468721270735 9.323366635856331 2.5691893083424877 5.151564460313445 17.079924333149453 6.047961326632892 0.12035564907675189 4.953340770946548 -4.969212412726714 12.541187670613727 -9.105013891513487 0.8726358218749759 -9.395082850290809 -17.34761642874394 3.9744109068688616 7.109527110790524 -2.528884970513694 -7.416357642867822 -3.7144693669737645]
23,19.473,334004.000,0.000,[-2.359689948300347 -4.3043468721270735 9.323366635856331 2.5691893083424877 5.151564460313445 17.079924333149453 6.047961326632892 0.12035564907675189 4.953340770946548 -4.969212412726714 12.541187670613727 -9.105013891513487 0.8726358218749759 -9.395082850290809 -17.34761642874394 3.9744109068688616 7.109527110790524 -2.528884970513694 -7.416357642867822 -3.7144693669737645]
