RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 2
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinear

iteration,time_taken,train_score,eval_score,vector
1,12.436,122172.000,0.000,[0.2996436645287771 0.6785313322930054 0.19263089842334558 0.3204046590786378 0.38448937178038833 0.43437770969221723 0.20628197526800796 0.14400730562197495 0.49909746783912456 0.932204310545668 0.30193652572066576 0.4914611269083041 0.19387904514317567 0.2902946617061608 0.6675270660753204 0.04716988524955168 0.7388898611146221 0.8305396801738324 0.09367166049545783 0.18563241311192136]
2,3.293,141813.000,0.000,[-1.9644103544461968 4.62982067234952 3.98050436311392 4.132324760056773 2.85541427812225 4.479909122751754 -1.3623184808026076 -1.0046537163383027 -2.4321557098293902 0.6325585983125739 -0.2314667886607289 -0.03225561709730951 0.7861072838098989 -1.0676957357561556 -2.314899849009946 0.8607693228141446 1.2761673632495039 -2.0886762849516867 2.264839727809715 -1.510573099598774]
3,7.546,176198.000,0.000,[-1.1212372073227925 5.144110627996974 -1.850204716205468 1.1577964812003727 4.308609122696606 1.098576806777836 -0.49667632075077595 -0.4245524571086321 -0.6457571043062353 0.644355187053878 1.983788158095468 3.0488012434091374 0.799198352127735 -2.049633901124807 -4.80686288980937 0.3487829039216326 1.3082047499975036 -1.0310263801674133 4.357035135553392 -0.30423837927696884]
4,6.744,200999.000,0.000,[0.06774615298423292 7.410960682888635 1.5590716766104198 0.9303331134916233 1.9003372924562498 4.005704751254289 -0.33359783245742575 -0.9087050162048286 -3.677083121594966 2.718964371465882 4.228506162826668 2.395239065007096 -1.2834803843714422 -2.334057857558971 -4.14424920703508 0.207714957267735 -0.6272313138215968 -1.1685414373664014 1.0999091851428247 2.9155052998201683]
5,7.381,252628.000,0.000,[-3.9928834803987114 8.853500463984107 1.743329782522911 -1.5874508705525614 4.306099889424127 4.2762389520945305 1.7670786757768804 0.13424787266770188 -0.17344271070649775 3.57114629504654 5.180382027155273 0.09244348303876837 -1.7055255479945988 -1.4255999517080218 -5.457696043844689 0.6321785633597052 0.9368929092875202 0.018478396317356705 3.9558648136348573 -0.6203331047113574]
6,8.095,252628.000,0.000,[-3.9928834803987114 8.853500463984107 1.743329782522911 -1.5874508705525614 4.306099889424127 4.2762389520945305 1.7670786757768804 0.13424787266770188 -0.17344271070649775 3.57114629504654 5.180382027155273 0.09244348303876837 -1.7055255479945988 -1.4255999517080218 -5.457696043844689 0.6321785633597052 0.9368929092875202 0.018478396317356705 3.9558648136348573 -0.6203331047113574]
7,8.219,316273.000,0.000,[-8.72788536367017 9.756364140585521 4.443190354704134 -0.3271933012555295 6.763413289898785 4.806715699283483 -1.3227367381868014 -2.761649400675388 3.8756474123004843 5.01024512813535 5.763260938314364 -4.267595350539515 -8.274483449383915 -4.223306314341238 -4.048756072225178 0.9266563701690224 3.592536929799036 1.3427439498366427 -3.139490934271042 2.959768719697773]
8,7.663,319410.000,0.000,[-8.490147709406482 9.803985019743703 4.66921748933788 -0.8060885595554939 3.148363006489651 3.7815575508639756 -0.6108244590781653 -0.9035597185168207 2.173062922093673 6.796443661303674 3.85362029062178 -4.37893532026298 -6.4713166770412744 -3.804337889511648 -2.947614871020481 1.0597069815262112 -0.40813648959343674 0.4247852765815274 3.4035564501154116 4.838700255489303]
9,7.431,319410.000,0.000,[-8.490147709406482 9.803985019743703 4.66921748933788 -0.8060885595554939 3.148363006489651 3.7815575508639756 -0.6108244590781653 -0.9035597185168207 2.173062922093673 6.796443661303674 3.85362029062178 -4.37893532026298 -6.4713166770412744 -3.804337889511648 -2.947614871020481 1.0597069815262112 -0.40813648959343674 0.4247852765815274 3.4035564501154116 4.838700255489303]
10,7.670,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
