RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 100
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,7.548,136806.000,0.000,[0.07283628488170224 0.6905483667564996 0.306636053846964 0.06865663129163424 0.7872138334408751 0.9995156216581236 0.05349054691561528 0.13492618441424364 0.4125435096314326 0.2709034671750393 0.2919171791806323 0.8434564973155826 0.43942137167654216 0.5629945660506356 0.3232229931872208 0.2976617419499906 0.5820142471612662 0.9633859290452853 0.1909292015840366 0.8956225989023252]
2,1.662,136806.000,0.000,[0.07283628488170224 0.6905483667564996 0.306636053846964 0.06865663129163424 0.7872138334408751 0.9995156216581236 0.05349054691561528 0.13492618441424364 0.4125435096314326 0.2709034671750393 0.2919171791806323 0.8434564973155826 0.43942137167654216 0.5629945660506356 0.3232229931872208 0.2976617419499906 0.5820142471612662 0.9633859290452853 0.1909292015840366 0.8956225989023252]
3,2.350,143386.000,0.000,[1.4605040203477668 0.02319278769091726 1.280403737072219 -0.9174702302815324 -0.29336405757755823 2.558183947302876 0.5852999581459811 -0.165185457074856 1.5359410526612454 0.9172131120451716 1.2868941142387302 -2.1218013585172093 -1.3803051109533822 2.0538935306384376 0.6060065889691875 0.9215316925637151 -0.2877140059589718 1.5846305460091092 -0.6033635585868247 0.8662974054433986]
4,3.562,151976.000,0.000,[1.3467853373501515 -1.4935529718312224 5.274026689826059 -1.9721164458205152 4.024929764529439 3.6697029169276405 1.1916056609139725 -0.8370031185259028 1.6441052483369893 -1.8071205493943916 3.906649633620072 -3.037934306146411 -0.42166418222523205 0.5734258825384796 1.4218853069895139 0.6831841192488599 0.16973070395065237 -1.90172814778356 -1.0910859801970574 0.7621839510345705]
5,5.083,221844.000,0.000,[3.2479863298771026 -0.8685773293328062 9.72140054346831 -3.576665977974982 -0.5750702354705615 6.256531728637535 0.04129659957783338 -0.9828604196457243 3.6067457572443873 -5.924651888749037 8.506649633620071 -7.637934306146411 -1.98726079254587 0.20623874853424556 2.2970635618531925 1.018548216235993 -0.504516241378508 -6.485904931049734 -2.218251890291346 -3.207711066913705]
6,4.809,313896.000,0.000,[3.7824409199508855 -0.6010569537743509 6.9090852085070775 0.7038015644877748 -1.4145978030124509 6.947944698856013 0.7250694714108553 -1.549994307605643 1.8002529685516555 -9.380326452496426 7.817625235937125 -7.035094370782584 1.5102264523073559 -3.2384966881927126 -2.339762814478584 1.3713903497013233 1.5416608679110602 -7.9558765618815634 -2.3394309804153877 -3.9194715385781578]
7,4.971,313896.000,0.000,[3.7824409199508855 -0.6010569537743509 6.9090852085070775 0.7038015644877748 -1.4145978030124509 6.947944698856013 0.7250694714108553 -1.549994307605643 1.8002529685516555 -9.380326452496426 7.817625235937125 -7.035094370782584 1.5102264523073559 -3.2384966881927126 -2.339762814478584 1.3713903497013233 1.5416608679110602 -7.9558765618815634 -2.3394309804153877 -3.9194715385781578]
8,4.698,364634.000,0.000,[8.487737710938166 3.9039537060164284 -0.5655254842261277 4.526692515436471 -4.767849162092434 10.469964508182054 2.693358140254032 -2.359344525096609 -3.148355306861731 -9.714497318375564 9.63029795990924 -8.469567104523199 -2.6803810131775387 -1.5409668188819552 -3.3877215228458724 1.7709174232021936 3.418037890768939 -10.213289634691629 -4.596949867527128 -4.412943991529897]
9,5.405,364634.000,0.000,[8.487737710938166 3.9039537060164284 -0.5655254842261277 4.526692515436471 -4.767849162092434 10.469964508182054 2.693358140254032 -2.359344525096609 -3.148355306861731 -9.714497318375564 9.63029795990924 -8.469567104523199 -2.6803810131775387 -1.5409668188819552 -3.3877215228458724 1.7709174232021936 3.418037890768939 -10.213289634691629 -4.596949867527128 -4.412943991529897]
10,5.835,364634.000,0.000,[8.487737710938166 3.9039537060164284 -0.5655254842261277 4.526692515436471 -4.767849162092434 10.469964508182054 2.693358140254032 -2.359344525096609 -3.148355306861731 -9.714497318375564 9.63029795990924 -8.469567104523199 -2.6803810131775387 -1.5409668188819552 -3.3877215228458724 1.7709174232021936 3.418037890768939 -10.213289634691629 -4.596949867527128 -4.412943991529897]
11,5.596,383883.000,0.000,[8.270361876141196 6.130236121075402 3.1107244886683367 4.332667483811983 -3.9541452918824307 11.177164029403073 2.5599694082717948 -2.0662062774074528 -2.19868575844808 -8.891235802652806 10.216147034297094 -6.059241593751447 0.6363409495049108 -3.0114723937468835 -6.820087104232181 1.4798072102985242 3.1109784343989824 -8.522337248666863 -4.409335949727512 -4.5676947730033115]
12,5.139,383883.000,0.000,[8.270361876141196 6.130236121075402 3.1107244886683367 4.332667483811983 -3.9541452918824307 11.177164029403073 2.5599694082717948 -2.0662062774074528 -2.19868575844808 -8.891235802652806 10.216147034297094 -6.059241593751447 0.6363409495049108 -3.0114723937468835 -6.820087104232181 1.4798072102985242 3.1109784343989824 -8.522337248666863 -4.409335949727512 -4.5676947730033115]
13,5.226,394779.000,0.000,[8.95060267377081 4.735858115079746 4.613513164942571 1.582042996506822 -2.413614070173889 11.321552574649555 5.2099634084854145 -2.0297953834502978 -1.0445636881361047 -8.417500916774785 8.542777542172026 -5.960027349369584 -3.740220651485026 -3.4092367471142744 -6.386090125455921 1.4241283590753948 5.087847889719539 -9.143074566866929 -3.5627974499070287 -5.911040907103704]
14,5.455,394779.000,0.000,[8.95060267377081 4.735858115079746 4.613513164942571 1.582042996506822 -2.413614070173889 11.321552574649555 5.2099634084854145 -2.0297953834502978 -1.0445636881361047 -8.417500916774785 8.542777542172026 -5.960027349369584 -3.740220651485026 -3.4092367471142744 -6.386090125455921 1.4241283590753948 5.087847889719539 -9.143074566866929 -3.5627974499070287 -5.911040907103704]
15,5.462,413554.000,0.000,[5.024537036182325 4.612355797811109 0.5767302049155063 6.408363376227564 -2.7792561291656632 9.769754608024781 7.0353327486500525 -3.567019180845891 2.801194043483588 -5.159398903512894 8.836037945834809 -3.7752470033181185 -8.063108020493114 -6.915080981460525 -9.369420690170847 1.4163016909424644 7.099110847203443 -15.171222162445648 -3.8505268486595425 -3.7794870051929204]
16,4.929,413554.000,0.000,[5.024537036182325 4.612355797811109 0.5767302049155063 6.408363376227564 -2.7792561291656632 9.769754608024781 7.0353327486500525 -3.567019180845891 2.801194043483588 -5.159398903512894 8.836037945834809 -3.7752470033181185 -8.063108020493114 -6.915080981460525 -9.369420690170847 1.4163016909424644 7.099110847203443 -15.171222162445648 -3.8505268486595425 -3.7794870051929204]
17,5.469,413554.000,0.000,[5.024537036182325 4.612355797811109 0.5767302049155063 6.408363376227564 -2.7792561291656632 9.769754608024781 7.0353327486500525 -3.567019180845891 2.801194043483588 -5.159398903512894 8.836037945834809 -3.7752470033181185 -8.063108020493114 -6.915080981460525 -9.369420690170847 1.4163016909424644 7.099110847203443 -15.171222162445648 -3.8505268486595425 -3.7794870051929204]
18,5.324,413554.000,0.000,[5.024537036182325 4.612355797811109 0.5767302049155063 6.408363376227564 -2.7792561291656632 9.769754608024781 7.0353327486500525 -3.567019180845891 2.801194043483588 -5.159398903512894 8.836037945834809 -3.7752470033181185 -8.063108020493114 -6.915080981460525 -9.369420690170847 1.4163016909424644 7.099110847203443 -15.171222162445648 -3.8505268486595425 -3.7794870051929204]
19,5.406,413554.000,0.000,[5.024537036182325 4.612355797811109 0.5767302049155063 6.408363376227564 -2.7792561291656632 9.769754608024781 7.0353327486500525 -3.567019180845891 2.801194043483588 -5.159398903512894 8.836037945834809 -3.7752470033181185 -8.063108020493114 -6.915080981460525 -9.369420690170847 1.4163016909424644 7.099110847203443 -15.171222162445648 -3.8505268486595425 -3.7794870051929204]
20,4.862,413554.000,0.000,[5.024537036182325 4.612355797811109 0.5767302049155063 6.408363376227564 -2.7792561291656632 9.769754608024781 7.0353327486500525 -3.567019180845891 2.801194043483588 -5.159398903512894 8.836037945834809 -3.7752470033181185 -8.063108020493114 -6.915080981460525 -9.369420690170847 1.4163016909424644 7.099110847203443 -15.171222162445648 -3.8505268486595425 -3.7794870051929204]
21,5.398,420145.000,0.000,[9.45325122975779 5.8779000280445235 0.18156623864468635 5.2458393780298 -6.5892105895779185 11.814879216830397 6.053170911999283 -5.942527011339826 3.1644511594250657 -7.356042810438083 8.656548630242614 -2.786045099705113 -6.1138580858191975 -3.4137845371523827 -7.315927138757607 1.1414018089205087 5.16334039977602 -6.238076714667848 0.15887301378419316 -7.6762738324013196]
22,5.180,420145.000,0.000,[9.45325122975779 5.8779000280445235 0.18156623864468635 5.2458393780298 -6.5892105895779185 11.814879216830397 6.053170911999283 -5.942527011339826 3.1644511594250657 -7.356042810438083 8.656548630242614 -2.786045099705113 -6.1138580858191975 -3.4137845371523827 -7.315927138757607 1.1414018089205087 5.16334039977602 -6.238076714667848 0.15887301378419316 -7.6762738324013196]
23,5.680,420145.000,0.000,[9.45325122975779 5.8779000280445235 0.18156623864468635 5.2458393780298 -6.5892105895779185 11.814879216830397 6.053170911999283 -5.942527011339826 3.1644511594250657 -7.356042810438083 8.656548630242614 -2.786045099705113 -6.1138580858191975 -3.4137845371523827 -7.315927138757607 1.1414018089205087 5.16334039977602 -6.238076714667848 0.15887301378419316 -7.6762738324013196]
24,5.476,420145.000,0.000,[9.45325122975779 5.8779000280445235 0.18156623864468635 5.2458393780298 -6.5892105895779185 11.814879216830397 6.053170911999283 -5.942527011339826 3.1644511594250657 -7.356042810438083 8.656548630242614 -2.786045099705113 -6.1138580858191975 -3.4137845371523827 -7.315927138757607 1.1414018089205087 5.16334039977602 -6.238076714667848 0.15887301378419316 -7.6762738324013196]
25,4.994,420145.000,0.000,[9.45325122975779 5.8779000280445235 0.18156623864468635 5.2458393780298 -6.5892105895779185 11.814879216830397 6.053170911999283 -5.942527011339826 3.1644511594250657 -7.356042810438083 8.656548630242614 -2.786045099705113 -6.1138580858191975 -3.4137845371523827 -7.315927138757607 1.1414018089205087 5.16334039977602 -6.238076714667848 0.15887301378419316 -7.6762738324013196]
26,4.601,423495.000,0.000,[9.083598909200433 2.38096490619923 -0.8446171396164459 2.562288582617505 -4.6804053607599165 8.293110991246039 5.700874953283138 -6.098595855681111 3.811001412198922 -7.283161400912677 12.704852572455621 -2.511161233301496 -8.576692420333147 -4.639231070995754 -11.75979458426387 1.5820491463896946 3.5156557488612545 -8.010675185316531 0.41379047879904496 -9.310769031683932]
