RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=22, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: -1
numGames: 100
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: WellLocationsNotBoth

iteration,time_taken,train_score,eval_score,vector
1,7.493,130506.000,0.000,[0.4223958565392595 0.7307260019200199 0.7169271209305972 0.1535041503537119 0.006622705799988693 0.8791046254393154 0.9750468340684468 0.26853860776480565 0.6737784467908718 0.5480341538398686 0.0989453361396263 0.9870555084156529 0.3626906350292134 0.1729835274198518 0.7540616404963122 0.11586836982597093 0.39200885216133163 0.18069741300262443 0.903429808378326 0.14700981581659933 0.48046071742009666 0.19582533225815935]
2,1.656,186504.000,0.000,[1.0866578030626242 0.8229535981312366 -0.8099618057078397 3.3482291166364915 3.882567249123001 4.908408090400039 4.4739595909019805 1.703517483613062 2.56204377164864 -0.008254406740939885 4.59280091055915 -1.9883042202190606 0.8501010238110149 2.2527865941711065 -3.9233888239981383 0.8794997485614123 -0.6973772100778742 0.8170505357128353 4.07139174639673 -1.8163053597070002 -3.0998047741143324 4.294315422744352]
3,3.185,193931.000,0.000,[0.7351647621413934 3.0421307615402418 -0.483900516740678 3.277407004313348 5.561539317895496 2.299087130067949 1.5012482861004175 0.6995934033532616 2.5950166953298277 -0.7744402517860021 4.287436681233414 0.10443486734844987 1.531394842895931 -0.5532603684990431 -0.8877185658046438 -0.15979642190071042 -0.2643835887671443 0.03254560879431334 1.8312005001430292 0.04233468585626987 0.34015975642879326 3.2852361007093873]
4,2.629,306748.000,0.000,[3.4344426926452596 0.916527828803811 -0.23934581491598794 1.4303412001248512 8.455924544094179 6.055092086041209 1.1431935311978045 2.373106623478066 1.8020756460163012 -3.901734885693881 4.347929442439316 -4.3415799620650155 4.090931997798936 -2.4337686188666208 -6.5316288133383695 1.2548954647598338 1.3101643484796632 2.6419253933579934 -0.8397281499593869 -1.7223850920174417 -0.2686079723118451 5.863438314694671]
5,3.896,306748.000,0.000,[3.4344426926452596 0.916527828803811 -0.23934581491598794 1.4303412001248512 8.455924544094179 6.055092086041209 1.1431935311978045 2.373106623478066 1.8020756460163012 -3.901734885693881 4.347929442439316 -4.3415799620650155 4.090931997798936 -2.4337686188666208 -6.5316288133383695 1.2548954647598338 1.3101643484796632 2.6419253933579934 -0.8397281499593869 -1.7223850920174417 -0.2686079723118451 5.863438314694671]
6,4.022,306748.000,0.000,[3.4344426926452596 0.916527828803811 -0.23934581491598794 1.4303412001248512 8.455924544094179 6.055092086041209 1.1431935311978045 2.373106623478066 1.8020756460163012 -3.901734885693881 4.347929442439316 -4.3415799620650155 4.090931997798936 -2.4337686188666208 -6.5316288133383695 1.2548954647598338 1.3101643484796632 2.6419253933579934 -0.8397281499593869 -1.7223850920174417 -0.2686079723118451 5.863438314694671]
7,3.895,375895.000,0.000,[2.0361534559648415 1.2967420101914966 0.7624145291739151 2.502641571205233 7.075464303169346 6.860697952028563 1.9872956519863159 1.2342036313130906 4.277522311230511 -7.615679971224878 6.377237024399474 -1.772837359139797 4.75057182156387 -2.3720254537081793 -10.615021961747374 1.561578368146726 1.672414475054456 0.7289770312008677 -0.16605716448350116 -2.952679373770526 -0.31693665156357165 2.5793903914583014]
8,4.428,375895.000,0.000,[2.0361534559648415 1.2967420101914966 0.7624145291739151 2.502641571205233 7.075464303169346 6.860697952028563 1.9872956519863159 1.2342036313130906 4.277522311230511 -7.615679971224878 6.377237024399474 -1.772837359139797 4.75057182156387 -2.3720254537081793 -10.615021961747374 1.561578368146726 1.672414475054456 0.7289770312008677 -0.16605716448350116 -2.952679373770526 -0.31693665156357165 2.5793903914583014]
9,4.923,380985.000,0.000,[2.1963683439220487 1.4258412099480895 2.8047291086288704 2.8123886496923287 10.576119482884145 11.208159540176252 0.19406610706368133 -0.7349262458738346 7.2177993525531505 -12.000908522471931 8.0432854962041 -1.3496779341934797 -0.6633273479633823 -4.6921017660800075 -13.809497260743417 1.7950580509415888 6.186469749445236 3.5515412963795683 -3.015161107063063 -2.9839177200869953 1.9343916707478344 3.7324777244030836]
10,5.363,383670.000,0.000,[0.6570348551324527 1.6395282288509907 4.007165036943999 3.3273213506574444 11.264718833217088 13.881680793986417 -0.29405375334240647 -1.1885858015235697 7.609748975459458 -14.16966685757952 12.6432854962041 -1.8160321145542744 -1.3212163363297171 -7.029722724936175 -18.409497260743418 1.9443162555336138 9.834044084801603 4.972855531410869 -4.424802637601987 1.6160822799130052 3.547778841919918 3.65383547193157]
11,4.920,383670.000,0.000,[0.6570348551324527 1.6395282288509907 4.007165036943999 3.3273213506574444 11.264718833217088 13.881680793986417 -0.29405375334240647 -1.1885858015235697 7.609748975459458 -14.16966685757952 12.6432854962041 -1.8160321145542744 -1.3212163363297171 -7.029722724936175 -18.409497260743418 1.9443162555336138 9.834044084801603 4.972855531410869 -4.424802637601987 1.6160822799130052 3.547778841919918 3.65383547193157]
12,5.367,396516.000,0.000,[1.2799005296087225 1.470417716402388 4.746279454712223 3.7132927672992633 11.279208875092852 19.04218476152146 -0.36037980902641586 -2.6754594094221953 6.723408300506847 -13.287932800969344 13.54185152021601 -0.8017152400756435 -1.2872402734619182 -6.276999128765141 -19.818128573540143 2.5180834327198216 7.032418869480903 5.97535480212267 -1.9472501707403795 2.6997507890597046 8.253211350439589 3.0318850608159966]
13,6.044,396516.000,0.000,[1.2799005296087225 1.470417716402388 4.746279454712223 3.7132927672992633 11.279208875092852 19.04218476152146 -0.36037980902641586 -2.6754594094221953 6.723408300506847 -13.287932800969344 13.54185152021601 -0.8017152400756435 -1.2872402734619182 -6.276999128765141 -19.818128573540143 2.5180834327198216 7.032418869480903 5.97535480212267 -1.9472501707403795 2.6997507890597046 8.253211350439589 3.0318850608159966]
14,6.063,405272.000,0.000,[2.715615139844387 0.914858073144738 5.533804627666578 4.922250750148258 10.311844339073506 16.259107885274567 -0.555504612114226 -1.0948571398652782 9.372334688128408 -10.604472235046018 12.49034595959932 -5.62791570249024 2.7133496920306936 -9.302729757312898 -21.40954842267148 3.002286841219764 8.32106662096843 8.116089182424759 -4.134573895294983 4.173903939913242 5.7180008567628775 1.7987259215755964]
15,5.008,405396.000,0.000,[4.715261188253122 9.47117167584688 4.075566513081306 3.4354876436312276 11.22380770287445 14.608906229879537 -2.707693457373944 -3.2834119619540125 10.043158179567218 -15.233157006231377 11.30564011943587 -6.204703981617428 2.8108726653010474 -9.511077732392305 -17.72432292124608 2.4180360267156855 3.7213111982942904 8.499686426890484 -1.1335061898090006 -8.352638813723074 3.9976311931827673 4.8368096498564865]
16,4.642,405396.000,0.000,[4.715261188253122 9.47117167584688 4.075566513081306 3.4354876436312276 11.22380770287445 14.608906229879537 -2.707693457373944 -3.2834119619540125 10.043158179567218 -15.233157006231377 11.30564011943587 -6.204703981617428 2.8108726653010474 -9.511077732392305 -17.72432292124608 2.4180360267156855 3.7213111982942904 8.499686426890484 -1.1335061898090006 -8.352638813723074 3.9976311931827673 4.8368096498564865]
