RunnerSettings(num_particles=72, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 60
maxDropRem: -1
numGames: 100
numLines: 130
seed: -1
startingLevel: 18
startingLines: 0
========
MoveEvaluatorGroup used: Linear

iteration,time_taken,train_score,eval_score,vector
1,7.214,134728.000,0.000,[0.19367231307255317 0.9442815795557602 0.6176610361597187 0.19172587584929224 0.13015530085558547 0.8757942167391939 0.5357783763015408 0.21284360090199006 0.5401553654452589 0.5859001837851722 0.08786598644278287 0.21886970410459516 0.11502233560158681 0.9979947093708009 0.3164529632914348 0.0007631246126003077 0.06289433222467355 0.13798699846836104 0.2476371703753446 0.6502120444497622]
2,1.496,151306.000,0.000,[-1.1676927063254567 4.54986039391714 2.677547163090276 4.073996802701615 0.48225990543673986 4.293022875561064 1.699271753084017 0.29161284370124063 -2.8248868067271395 2.2339850372288437 3.5837888455066684 -0.4243522813020679 4.819091624904027 5.309772511140869 0.7243119650274799 0.11486406580837871 0.15418995933717877 -0.36826256642415023 -1.592126324684521 -2.9305528905046723]
3,5.039,233559.000,0.000,[-2.5529852073872537 2.1964413553813484 0.5903659974932207 -0.7428418924938862 2.3783881869621366 3.073314982849913 0.045737789863319556 -0.95888750781458 1.677074467125065 2.667908023169014 1.3692421788113052 -2.532986658774022 6.203628430083279 0.061524642073328195 -0.1812741051273462 0.10211387772989333 1.5399511588583383 0.06080386190906539 -0.12374754586311876 0.5143816465883582]
4,3.651,233559.000,0.000,[-2.5529852073872537 2.1964413553813484 0.5903659974932207 -0.7428418924938862 2.3783881869621366 3.073314982849913 0.045737789863319556 -0.95888750781458 1.677074467125065 2.667908023169014 1.3692421788113052 -2.532986658774022 6.203628430083279 0.061524642073328195 -0.1812741051273462 0.10211387772989333 1.5399511588583383 0.06080386190906539 -0.12374754586311876 0.5143816465883582]
5,2.474,279301.000,0.000,[-4.515580126681216 3.9844564672226106 0.23370467163004188 3.306906320901037 6.751543411863283 6.936610793166578 1.3907451265762474 -5.735336437411124 4.267696090509 7.598827535408668 4.517053743617527 -4.268286991653435 6.6771638717266555 -1.5375481979670695 -1.8724355804081307 0.7014764302331007 2.9873793276310425 0.9686605486704374 -2.420316625653814 3.090121658603161]
6,4.940,283558.000,0.000,[-4.858659492937578 4.823720694362606 2.872362627050207 1.9681395158452943 7.219247802207377 7.124109007241122 4.10223479586794 -6.558740159232903 3.8669977549729246 3.5779699207801823 7.340352291466996 -3.7328724790537016 10.024020793653893 -7.925866383201946 -1.8097910984270102 0.32234402229822434 4.635901271975186 1.3182668120931131 -2.575507599075518 1.065180141171206]
7,6.308,333322.000,0.000,[-7.068096807725038 8.36866991435029 7.350648367584689 5.233783003570138 7.636951402369278 10.715722169170968 5.821544455975952 -1.849359118241757 2.8486387750007034 11.31882825380402 11.122526310364629 -5.093268294453884 -4.038499795477653 -6.106309227058765 -6.6893578805674725 1.7366191665552484 0.26402254077739595 0.03259170143713597 -4.672813735525002 5.730713949844891]
8,6.211,379493.000,0.000,[-7.606424326650599 10.087154240836691 6.259523748831873 6.172370089391915 11.756748218039524 11.363947798953879 7.487958144502579 -7.644196482790257 5.026978054281507 9.356585262327485 12.498177299587114 -8.138892834965418 5.046110829632525 -7.250806338980336 -7.478606473516674 1.2629926331751338 5.055159305143118 1.3755775543006612 -6.57116247757771 5.140739955013134]
9,4.700,402818.000,0.000,[-11.940077511729163 11.312888688057614 6.554767249460867 8.567964553992365 16.316472050340543 14.567998918540582 12.885962404542783 -1.7373645927670216 2.5944700298600614 12.454554868662623 12.548408265424952 -7.986548958146684 -0.3006673036700729 -8.73809293289803 -7.769449448809667 1.197526407513351 -0.20600903626441003 0.9835891115982225 -3.136556540076741 8.341100525211921]
10,4.987,411062.000,0.000,[-7.114872272570642 9.069196389713131 5.631645488076465 4.25814976039017 13.288527506140749 15.968933802220649 12.6083668664185 -0.25335882461209636 1.664567990577499 15.86224733253312 13.592538977761615 -8.704595680409764 -0.00440163651645431 -5.703734808282947 -13.887642647776564 2.606919871200308 3.6718648102062246 0.2662025431281805 -2.02122229960401 11.544902441363856]
