RunnerSettings(num_particles=99, num_neighbours=99, iterations=6900, dimensions=21, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
seed: -1
numGames: -1
numLines: 230
maxDropRem: 2
startingLines: 130
========
MoveEvaluator used: 27MoveEvaluatorBlockQuadratic

iteration,time_taken,train_score,eval_score,vector
1,747.531,142545.000,0.000,[0.5162199498003435 0.3715708177401207 0.5284259854427965 0.38595212724441696 0.6084971554605229 0.746250690256091 0.7170200182604491 0.18994605788570318 0.7333845559511425 0.41283790593286906 0.02524027950781793 0.32518372090222414 0.5269530529920146 0.44287397812988805 0.8766480759223655 0.4353402623011884 0.3920346375243289 0.08562042446713647 0.3815579987922654 0.7770905953267929 0.7170130930694558]
2,121.961,142545.000,0.000,[0.5162199498003435 0.3715708177401207 0.5284259854427965 0.38595212724441696 0.6084971554605229 0.746250690256091 0.7170200182604491 0.18994605788570318 0.7333845559511425 0.41283790593286906 0.02524027950781793 0.32518372090222414 0.5269530529920146 0.44287397812988805 0.8766480759223655 0.4353402623011884 0.3920346375243289 0.08562042446713647 0.3815579987922654 0.7770905953267929 0.7170130930694558]
3,278.035,195068.000,0.000,[0.8208591771940248 2.410545177238682 0.22331879914870978 0.9996128881642683 -0.41947096117895066 5.879603939691817 0.1276446987009736 0.40977913923426934 1.3410302530401559 0.4728362145120544 1.0302942056482471 1.0528763732585937 -0.19381945297866032 2.499664626594024 2.597071576862011 -0.20580646184132934 1.1115124503608111 -3.29823439670547 -0.6830826634614624 0.9846255726808071 1.4947237732083445]
4,366.374,195068.000,0.000,[0.8208591771940248 2.410545177238682 0.22331879914870978 0.9996128881642683 -0.41947096117895066 5.879603939691817 0.1276446987009736 0.40977913923426934 1.3410302530401559 0.4728362145120544 1.0302942056482471 1.0528763732585937 -0.19381945297866032 2.499664626594024 2.597071576862011 -0.20580646184132934 1.1115124503608111 -3.29823439670547 -0.6830826634614624 0.9846255726808071 1.4947237732083445]
5,423.918,195526.000,0.000,[4.219786773459698 -0.07423926675499892 1.865801406077725 1.6520662345330916 1.0366242981037523 7.185166949161989 -1.4232897221659422 -2.488186211327937 3.2816277980587296 0.27960951163879444 2.5356410658311885 -2.160381746061097 -1.0169797595337553 1.9151643363568587 -2.7740440160295896 1.6025769623149932 1.9531319983368134 -4.731820806641499 -1.2278684522154135 0.3519098587967209 1.8394705072443127]
6,540.724,302341.000,0.000,[6.603487947294264 2.831241612821427 4.880327406409746 -1.6388035132233085 2.749408006612193 6.408266638272591 -1.3695188308276363 -6.635459946769333 2.073856036314017 -1.4173025466726616 5.044966431676899 -4.3803256993952235 -1.3336833263323875 2.587886717541684 -5.683462524641227 1.8699178666144056 1.3904102840573003 -7.807975022957946 2.4233240484503646 2.497887606850425 -0.6932305032199184]
7,568.738,328669.000,0.000,[7.745445076594802 1.0860079133822014 5.987770953209932 -2.920665070759312 -0.3947012553774627 6.03315271412016 -5.358606661159299 -10.123082514931262 2.542453794678915 1.1824648931481965 6.257826972733785 -4.3186497548959695 1.184316671667896 3.017795668818872 -9.390838435858457 2.207909940812339 -2.242452789437108 -8.881979123529028 2.6199070506438016 1.7845361885022089 1.7942195719501641]
8,428.046,408395.000,0.000,[5.090439115873917 2.247804883777148 3.649136894919057 -0.5639782123420458 1.141274779825003 6.475460916866142 -3.0203913745509685 -1.0715275914884765 1.9600059133787404 0.5941177053101825 6.942331806221784 -1.7354922632783119 1.7922299984810142 3.411045885734883 -8.018127758648568 1.1577919600695665 -1.2099494427316206 -2.7973188909132043 0.3513026167991824 3.210357190431524 1.7916795465414133]
9,377.970,408395.000,0.000,[5.090439115873917 2.247804883777148 3.649136894919057 -0.5639782123420458 1.141274779825003 6.475460916866142 -3.0203913745509685 -1.0715275914884765 1.9600059133787404 0.5941177053101825 6.942331806221784 -1.7354922632783119 1.7922299984810142 3.411045885734883 -8.018127758648568 1.1577919600695665 -1.2099494427316206 -2.7973188909132043 0.3513026167991824 3.210357190431524 1.7916795465414133]
10,466.392,408395.000,0.000,[5.090439115873917 2.247804883777148 3.649136894919057 -0.5639782123420458 1.141274779825003 6.475460916866142 -3.0203913745509685 -1.0715275914884765 1.9600059133787404 0.5941177053101825 6.942331806221784 -1.7354922632783119 1.7922299984810142 3.411045885734883 -8.018127758648568 1.1577919600695665 -1.2099494427316206 -2.7973188909132043 0.3513026167991824 3.210357190431524 1.7916795465414133]
11,503.196,408395.000,0.000,[5.090439115873917 2.247804883777148 3.649136894919057 -0.5639782123420458 1.141274779825003 6.475460916866142 -3.0203913745509685 -1.0715275914884765 1.9600059133787404 0.5941177053101825 6.942331806221784 -1.7354922632783119 1.7922299984810142 3.411045885734883 -8.018127758648568 1.1577919600695665 -1.2099494427316206 -2.7973188909132043 0.3513026167991824 3.210357190431524 1.7916795465414133]
12,504.488,408395.000,0.000,[5.090439115873917 2.247804883777148 3.649136894919057 -0.5639782123420458 1.141274779825003 6.475460916866142 -3.0203913745509685 -1.0715275914884765 1.9600059133787404 0.5941177053101825 6.942331806221784 -1.7354922632783119 1.7922299984810142 3.411045885734883 -8.018127758648568 1.1577919600695665 -1.2099494427316206 -2.7973188909132043 0.3513026167991824 3.210357190431524 1.7916795465414133]
13,393.941,408395.000,0.000,[5.090439115873917 2.247804883777148 3.649136894919057 -0.5639782123420458 1.141274779825003 6.475460916866142 -3.0203913745509685 -1.0715275914884765 1.9600059133787404 0.5941177053101825 6.942331806221784 -1.7354922632783119 1.7922299984810142 3.411045885734883 -8.018127758648568 1.1577919600695665 -1.2099494427316206 -2.7973188909132043 0.3513026167991824 3.210357190431524 1.7916795465414133]
14,445.613,408395.000,0.000,[5.090439115873917 2.247804883777148 3.649136894919057 -0.5639782123420458 1.141274779825003 6.475460916866142 -3.0203913745509685 -1.0715275914884765 1.9600059133787404 0.5941177053101825 6.942331806221784 -1.7354922632783119 1.7922299984810142 3.411045885734883 -8.018127758648568 1.1577919600695665 -1.2099494427316206 -2.7973188909132043 0.3513026167991824 3.210357190431524 1.7916795465414133]
15,455.876,418427.000,0.000,[4.7544898780701725 4.454817283700381 3.37579326141006 1.2382037263400756 1.4943214805657572 6.886993803566083 0.9942252778960015 -2.5938459543973584 3.9936009930477874 1.3295739933264477 8.247683261617063 -0.8424155102837334 1.5072568472789705 1.826253939640282 -10.424466103488772 1.451457206617858 -1.4905107749389102 -2.1106528345779245 -0.9817628101704106 2.977292759086659 3.032993424301927]
16,542.006,418427.000,0.000,[4.7544898780701725 4.454817283700381 3.37579326141006 1.2382037263400756 1.4943214805657572 6.886993803566083 0.9942252778960015 -2.5938459543973584 3.9936009930477874 1.3295739933264477 8.247683261617063 -0.8424155102837334 1.5072568472789705 1.826253939640282 -10.424466103488772 1.451457206617858 -1.4905107749389102 -2.1106528345779245 -0.9817628101704106 2.977292759086659 3.032993424301927]
17,451.207,418427.000,0.000,[4.7544898780701725 4.454817283700381 3.37579326141006 1.2382037263400756 1.4943214805657572 6.886993803566083 0.9942252778960015 -2.5938459543973584 3.9936009930477874 1.3295739933264477 8.247683261617063 -0.8424155102837334 1.5072568472789705 1.826253939640282 -10.424466103488772 1.451457206617858 -1.4905107749389102 -2.1106528345779245 -0.9817628101704106 2.977292759086659 3.032993424301927]
